nohup: ignoring input
experiment: HUVEC pseknc-new_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3192, TP=58, TN=2996, FP=44, FN=94; precision=0.569, recall=0.382
accuracy: (test=0.957) average_precision: (test=0.400) balanced_accuracy: (test=0.684) f1: (test=0.457) roc_auc: (test=0.805) 3.18s
[fit 2/34] END n_estimators=20; total=3192, TP=63, TN=3005, FP=35, FN=89; precision=0.643, recall=0.414
accuracy: (test=0.961) average_precision: (test=0.471) balanced_accuracy: (test=0.701) f1: (test=0.504) roc_auc: (test=0.870) 5.10s
[fit 3/34] END n_estimators=30; total=3192, TP=62, TN=3007, FP=33, FN=90; precision=0.653, recall=0.408
accuracy: (test=0.961) average_precision: (test=0.519) balanced_accuracy: (test=0.699) f1: (test=0.502) roc_auc: (test=0.861) 7.41s
[fit 4/34] END n_estimators=40; total=3192, TP=62, TN=3016, FP=24, FN=90; precision=0.721, recall=0.408
accuracy: (test=0.964) average_precision: (test=0.513) balanced_accuracy: (test=0.700) f1: (test=0.521) roc_auc: (test=0.856) 11.08s
[fit 5/34] END n_estimators=50; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.537) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.870) 13.77s
[fit 6/34] END n_estimators=60; total=3192, TP=69, TN=3010, FP=30, FN=83; precision=0.697, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.538) balanced_accuracy: (test=0.722) f1: (test=0.550) roc_auc: (test=0.873) 17.35s
[fit 7/34] END n_estimators=70; total=3192, TP=68, TN=3005, FP=35, FN=84; precision=0.660, recall=0.447
accuracy: (test=0.963) average_precision: (test=0.537) balanced_accuracy: (test=0.718) f1: (test=0.533) roc_auc: (test=0.878) 20.64s
[fit 8/34] END n_estimators=80; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.554) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.884) 23.52s
[fit 9/34] END n_estimators=90; total=3192, TP=64, TN=3012, FP=28, FN=88; precision=0.696, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.538) balanced_accuracy: (test=0.706) f1: (test=0.525) roc_auc: (test=0.863) 26.11s
[fit 10/34] END n_estimators=100; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.552) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.886) 28.89s
[fit 11/34] END n_estimators=110; total=3192, TP=69, TN=3009, FP=31, FN=83; precision=0.690, recall=0.454
accuracy: (test=0.964) average_precision: (test=0.554) balanced_accuracy: (test=0.722) f1: (test=0.548) roc_auc: (test=0.885) 32.02s
[fit 12/34] END n_estimators=120; total=3192, TP=64, TN=3009, FP=31, FN=88; precision=0.674, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.554) balanced_accuracy: (test=0.705) f1: (test=0.518) roc_auc: (test=0.885) 37.66s
[fit 13/34] END n_estimators=130; total=3192, TP=67, TN=3008, FP=32, FN=85; precision=0.677, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.561) balanced_accuracy: (test=0.715) f1: (test=0.534) roc_auc: (test=0.878) 41.79s
[fit 14/34] END n_estimators=140; total=3192, TP=67, TN=3009, FP=31, FN=85; precision=0.684, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.715) f1: (test=0.536) roc_auc: (test=0.893) 44.82s
[fit 15/34] END n_estimators=150; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.551) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.886) 47.77s
[fit 16/34] END n_estimators=160; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.569) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.882) 51.10s
[fit 17/34] END n_estimators=170; total=3192, TP=66, TN=3013, FP=27, FN=86; precision=0.710, recall=0.434
accuracy: (test=0.965) average_precision: (test=0.562) balanced_accuracy: (test=0.713) f1: (test=0.539) roc_auc: (test=0.885) 53.92s
[fit 18/34] END n_estimators=180; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.575) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.893) 57.26s
[fit 19/34] END n_estimators=190; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.893) 1.00min
[fit 20/34] END n_estimators=200; total=3192, TP=64, TN=3009, FP=31, FN=88; precision=0.674, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.547) balanced_accuracy: (test=0.705) f1: (test=0.518) roc_auc: (test=0.890) 1.06min
[fit 21/34] END n_estimators=210; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.566) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.890) 1.10min
[fit 22/34] END n_estimators=220; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.569) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.889) 1.16min
[fit 23/34] END n_estimators=230; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.564) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.892) 1.21min
[fit 24/34] END n_estimators=240; total=3192, TP=66, TN=3012, FP=28, FN=86; precision=0.702, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.713) f1: (test=0.537) roc_auc: (test=0.894) 1.28min
[fit 25/34] END n_estimators=250; total=3192, TP=63, TN=3013, FP=27, FN=89; precision=0.700, recall=0.414
accuracy: (test=0.964) average_precision: (test=0.576) balanced_accuracy: (test=0.703) f1: (test=0.521) roc_auc: (test=0.892) 1.31min
[fit 26/34] END n_estimators=260; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.889) 1.37min
[fit 27/34] END n_estimators=270; total=3192, TP=68, TN=3009, FP=31, FN=84; precision=0.687, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.561) balanced_accuracy: (test=0.719) f1: (test=0.542) roc_auc: (test=0.886) 1.42min
[fit 28/34] END n_estimators=280; total=3192, TP=68, TN=3007, FP=33, FN=84; precision=0.673, recall=0.447
accuracy: (test=0.963) average_precision: (test=0.570) balanced_accuracy: (test=0.718) f1: (test=0.538) roc_auc: (test=0.898) 1.47min
[fit 29/34] END n_estimators=290; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.555) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.901) 1.54min
[fit 30/34] END n_estimators=300; total=3192, TP=64, TN=3010, FP=30, FN=88; precision=0.681, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.574) balanced_accuracy: (test=0.706) f1: (test=0.520) roc_auc: (test=0.891) 1.58min
[fit 31/34] END n_estimators=310; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.579) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.902) 1.63min
[fit 32/34] END n_estimators=320; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.889) 1.69min
[fit 33/34] END n_estimators=330; total=3192, TP=63, TN=3009, FP=31, FN=89; precision=0.670, recall=0.414
accuracy: (test=0.962) average_precision: (test=0.573) balanced_accuracy: (test=0.702) f1: (test=0.512) roc_auc: (test=0.886) 1.73min
[fit 34/34] END n_estimators=340; total=3192, TP=63, TN=3012, FP=28, FN=89; precision=0.692, recall=0.414
accuracy: (test=0.963) average_precision: (test=0.566) balanced_accuracy: (test=0.703) f1: (test=0.519) roc_auc: (test=0.891) 1.77min
clf.best_estimator_params: {'n_estimators': 310}
best params found in line [32] for metric [roc_auc] in rank file
best params found in fit [31] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3192) TP: (test=68.000) TN: (test=3011.000) FP: (test=29.000) FN: (test=84.000) precision: (test=0.701) recall: (test=0.447) accuracy: (test=0.965) average_precision: (test=0.579) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.902) ]
write rank test to csv!!!
../../ex/epivan/base/pseknc-new_rf_base/rank/HUVEC_pseknc-new_rf_base_rank_1_3070.csv write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 310, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.891) 1.62min
[fit 2/150] END max_depth=1; total=3192, TP=89, TN=1713, FP=1327, FN=63; precision=0.063, recall=0.586
accuracy: (test=0.565) average_precision: (test=0.063) balanced_accuracy: (test=0.575) f1: (test=0.114) roc_auc: (test=0.595) 8.64s
[fit 3/150] END max_depth=2; total=3192, TP=88, TN=1716, FP=1324, FN=64; precision=0.062, recall=0.579
accuracy: (test=0.565) average_precision: (test=0.103) balanced_accuracy: (test=0.572) f1: (test=0.113) roc_auc: (test=0.624) 16.18s
[fit 4/150] END max_depth=3; total=3192, TP=89, TN=1770, FP=1270, FN=63; precision=0.065, recall=0.586
accuracy: (test=0.582) average_precision: (test=0.123) balanced_accuracy: (test=0.584) f1: (test=0.118) roc_auc: (test=0.640) 23.25s
[fit 5/150] END max_depth=4; total=3192, TP=87, TN=1897, FP=1143, FN=65; precision=0.071, recall=0.572
accuracy: (test=0.622) average_precision: (test=0.157) balanced_accuracy: (test=0.598) f1: (test=0.126) roc_auc: (test=0.659) 29.66s
[fit 6/150] END max_depth=5; total=3192, TP=87, TN=2039, FP=1001, FN=65; precision=0.080, recall=0.572
accuracy: (test=0.666) average_precision: (test=0.191) balanced_accuracy: (test=0.622) f1: (test=0.140) roc_auc: (test=0.683) 35.58s
[fit 7/150] END max_depth=6; total=3192, TP=82, TN=2230, FP=810, FN=70; precision=0.092, recall=0.539
accuracy: (test=0.724) average_precision: (test=0.224) balanced_accuracy: (test=0.637) f1: (test=0.157) roc_auc: (test=0.704) 41.34s
[fit 8/150] END max_depth=7; total=3192, TP=80, TN=2413, FP=627, FN=72; precision=0.113, recall=0.526
accuracy: (test=0.781) average_precision: (test=0.263) balanced_accuracy: (test=0.660) f1: (test=0.186) roc_auc: (test=0.734) 46.33s
[fit 9/150] END max_depth=8; total=3192, TP=78, TN=2633, FP=407, FN=74; precision=0.161, recall=0.513
accuracy: (test=0.849) average_precision: (test=0.309) balanced_accuracy: (test=0.690) f1: (test=0.245) roc_auc: (test=0.760) 51.60s
[fit 10/150] END max_depth=9; total=3192, TP=78, TN=2778, FP=262, FN=74; precision=0.229, recall=0.513
accuracy: (test=0.895) average_precision: (test=0.346) balanced_accuracy: (test=0.713) f1: (test=0.317) roc_auc: (test=0.789) 56.63s
[fit 11/150] END max_depth=10; total=3192, TP=76, TN=2888, FP=152, FN=76; precision=0.333, recall=0.500
accuracy: (test=0.929) average_precision: (test=0.389) balanced_accuracy: (test=0.725) f1: (test=0.400) roc_auc: (test=0.808) 1.03min
[fit 12/150] END max_depth=11; total=3192, TP=75, TN=2930, FP=110, FN=77; precision=0.405, recall=0.493
accuracy: (test=0.941) average_precision: (test=0.418) balanced_accuracy: (test=0.729) f1: (test=0.445) roc_auc: (test=0.824) 1.11min
[fit 13/150] END max_depth=12; total=3192, TP=77, TN=2957, FP=83, FN=75; precision=0.481, recall=0.507
accuracy: (test=0.951) average_precision: (test=0.456) balanced_accuracy: (test=0.740) f1: (test=0.494) roc_auc: (test=0.845) 1.17min
[fit 14/150] END max_depth=13; total=3192, TP=76, TN=2981, FP=59, FN=76; precision=0.563, recall=0.500
accuracy: (test=0.958) average_precision: (test=0.478) balanced_accuracy: (test=0.740) f1: (test=0.530) roc_auc: (test=0.856) 1.22min
[fit 15/150] END max_depth=14; total=3192, TP=73, TN=2988, FP=52, FN=79; precision=0.584, recall=0.480
accuracy: (test=0.959) average_precision: (test=0.508) balanced_accuracy: (test=0.732) f1: (test=0.527) roc_auc: (test=0.869) 1.28min
[fit 16/150] END max_depth=15; total=3192, TP=75, TN=2993, FP=47, FN=77; precision=0.615, recall=0.493
accuracy: (test=0.961) average_precision: (test=0.522) balanced_accuracy: (test=0.739) f1: (test=0.547) roc_auc: (test=0.873) 1.34min
[fit 17/150] END max_depth=16; total=3192, TP=76, TN=2996, FP=44, FN=76; precision=0.633, recall=0.500
accuracy: (test=0.962) average_precision: (test=0.531) balanced_accuracy: (test=0.743) f1: (test=0.559) roc_auc: (test=0.877) 1.38min
[fit 18/150] END max_depth=17; total=3192, TP=73, TN=2997, FP=43, FN=79; precision=0.629, recall=0.480
accuracy: (test=0.962) average_precision: (test=0.552) balanced_accuracy: (test=0.733) f1: (test=0.545) roc_auc: (test=0.882) 1.42min
[fit 19/150] END max_depth=18; total=3192, TP=73, TN=3002, FP=38, FN=79; precision=0.658, recall=0.480
accuracy: (test=0.963) average_precision: (test=0.557) balanced_accuracy: (test=0.734) f1: (test=0.555) roc_auc: (test=0.891) 1.43min
[fit 20/150] END max_depth=19; total=3192, TP=70, TN=3006, FP=34, FN=82; precision=0.673, recall=0.461
accuracy: (test=0.964) average_precision: (test=0.545) balanced_accuracy: (test=0.725) f1: (test=0.547) roc_auc: (test=0.888) 1.46min
[fit 21/150] END max_depth=20; total=3192, TP=71, TN=3008, FP=32, FN=81; precision=0.689, recall=0.467
accuracy: (test=0.965) average_precision: (test=0.560) balanced_accuracy: (test=0.728) f1: (test=0.557) roc_auc: (test=0.887) 1.48min
[fit 22/150] END max_depth=21; total=3192, TP=71, TN=3006, FP=34, FN=81; precision=0.676, recall=0.467
accuracy: (test=0.964) average_precision: (test=0.559) balanced_accuracy: (test=0.728) f1: (test=0.553) roc_auc: (test=0.885) 1.50min
[fit 23/150] END max_depth=22; total=3192, TP=73, TN=3008, FP=32, FN=79; precision=0.695, recall=0.480
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.735) f1: (test=0.568) roc_auc: (test=0.888) 1.51min
[fit 24/150] END max_depth=23; total=3192, TP=71, TN=3010, FP=30, FN=81; precision=0.703, recall=0.467
accuracy: (test=0.965) average_precision: (test=0.565) balanced_accuracy: (test=0.729) f1: (test=0.561) roc_auc: (test=0.892) 1.53min
[fit 25/150] END max_depth=24; total=3192, TP=69, TN=3007, FP=33, FN=83; precision=0.676, recall=0.454
accuracy: (test=0.964) average_precision: (test=0.560) balanced_accuracy: (test=0.722) f1: (test=0.543) roc_auc: (test=0.887) 1.56min
[fit 26/150] END max_depth=25; total=3192, TP=70, TN=3006, FP=34, FN=82; precision=0.673, recall=0.461
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.725) f1: (test=0.547) roc_auc: (test=0.890) 1.57min
[fit 27/150] END max_depth=26; total=3192, TP=67, TN=3007, FP=33, FN=85; precision=0.670, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.572) balanced_accuracy: (test=0.715) f1: (test=0.532) roc_auc: (test=0.888) 1.56min
[fit 28/150] END max_depth=27; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
