nohup: ignoring input
experiment: IMR90 pseknc-new_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=2625, TP=67, TN=2471, FP=29, FN=58; precision=0.698, recall=0.536
accuracy: (test=0.967) average_precision: (test=0.574) balanced_accuracy: (test=0.762) f1: (test=0.606) roc_auc: (test=0.875) 4.21s
[fit 2/34] END n_estimators=20; total=2625, TP=63, TN=2477, FP=23, FN=62; precision=0.733, recall=0.504
accuracy: (test=0.968) average_precision: (test=0.608) balanced_accuracy: (test=0.747) f1: (test=0.597) roc_auc: (test=0.884) 6.85s
[fit 3/34] END n_estimators=30; total=2625, TP=66, TN=2484, FP=16, FN=59; precision=0.805, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.648) balanced_accuracy: (test=0.761) f1: (test=0.638) roc_auc: (test=0.889) 8.93s
[fit 4/34] END n_estimators=40; total=2625, TP=66, TN=2476, FP=24, FN=59; precision=0.733, recall=0.528
accuracy: (test=0.968) average_precision: (test=0.652) balanced_accuracy: (test=0.759) f1: (test=0.614) roc_auc: (test=0.872) 11.77s
[fit 5/34] END n_estimators=50; total=2625, TP=66, TN=2482, FP=18, FN=59; precision=0.786, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.660) balanced_accuracy: (test=0.760) f1: (test=0.632) roc_auc: (test=0.877) 14.13s
[fit 6/34] END n_estimators=60; total=2625, TP=66, TN=2479, FP=21, FN=59; precision=0.759, recall=0.528
accuracy: (test=0.970) average_precision: (test=0.659) balanced_accuracy: (test=0.760) f1: (test=0.623) roc_auc: (test=0.878) 17.06s
[fit 7/34] END n_estimators=70; total=2625, TP=66, TN=2485, FP=15, FN=59; precision=0.815, recall=0.528
accuracy: (test=0.972) average_precision: (test=0.660) balanced_accuracy: (test=0.761) f1: (test=0.641) roc_auc: (test=0.901) 19.92s
[fit 8/34] END n_estimators=80; total=2625, TP=65, TN=2485, FP=15, FN=60; precision=0.812, recall=0.520
accuracy: (test=0.971) average_precision: (test=0.676) balanced_accuracy: (test=0.757) f1: (test=0.634) roc_auc: (test=0.926) 23.41s
[fit 9/34] END n_estimators=90; total=2625, TP=65, TN=2482, FP=18, FN=60; precision=0.783, recall=0.520
accuracy: (test=0.970) average_precision: (test=0.668) balanced_accuracy: (test=0.756) f1: (test=0.625) roc_auc: (test=0.905) 25.90s
