rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
97,199,199,145,79,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
175,55,91,145,175,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
121,91,97,67,127,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
175,97,79,145,175,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
199,43,43,187,199,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
85,1,1,31,115,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
199,49,49,187,199,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
151,205,205,187,103,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
175,151,151,145,175,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
85,109,109,31,115,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
121,25,25,67,127,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
31,7,13,67,25,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
121,19,19,67,127,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
193,13,7,187,193,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
31,181,181,67,25,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
157,139,139,67,157,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
25,145,145,7,55,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
139,169,169,31,145,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
67,157,133,7,109,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
7,37,37,7,7,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
73,31,31,67,67,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
97,193,193,145,79,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
157,133,157,67,157,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
157,127,127,67,157,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
97,61,67,145,79,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
139,121,121,31,145,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
13,79,55,31,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
73,103,103,67,67,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
97,187,187,145,79,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
61,175,175,31,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
19,163,163,7,19,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
31,85,85,67,25,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
1,115,115,1,1,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
31,67,61,67,25,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
31,73,73,67,25,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
97,199,199,145,79,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 50}"
175,55,91,145,175,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 100}"
121,91,97,67,127,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 150}"
175,97,79,145,175,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 200}"
199,43,43,187,199,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 250}"
85,1,1,31,115,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 300}"
199,49,49,187,199,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 400}"
151,205,205,187,103,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50}"
175,151,151,145,175,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100}"
85,109,109,31,115,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150}"
121,25,25,67,127,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200}"
31,7,13,67,25,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 250}"
121,19,19,67,127,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 300}"
193,13,7,187,193,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 400}"
31,181,181,67,25,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50}"
157,139,139,67,157,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100}"
25,145,145,7,55,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150}"
139,169,169,31,145,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200}"
67,157,133,7,109,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 250}"
7,37,37,7,7,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 300}"
73,31,31,67,67,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 400}"
97,193,193,145,79,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 50}"
157,133,157,67,157,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 100}"
157,127,127,67,157,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 150}"
97,61,67,145,79,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 200}"
139,121,121,31,145,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 250}"
13,79,55,31,13,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 300}"
73,103,103,67,67,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 400}"
97,187,187,145,79,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 50}"
61,175,175,31,61,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 100}"
19,163,163,7,19,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 150}"
31,85,85,67,25,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 200}"
1,115,115,1,1,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 250}"
31,67,61,67,25,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 300}"
31,73,73,67,25,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 400}"
97,199,199,145,79,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50}"
175,55,91,145,175,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
121,91,97,67,127,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
175,97,79,145,175,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
