rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
43,193,181,61,43,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
1,49,43,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
13,25,25,13,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
7,7,7,1,7,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
19,13,13,13,19,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
19,85,97,13,19,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
49,1,1,13,49,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
127,205,193,127,127,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
127,145,163,127,127,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
67,43,49,61,67,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
49,31,31,13,49,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
127,103,103,127,127,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
79,19,19,79,79,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
163,37,37,127,163,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
127,187,199,127,127,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
49,151,139,13,49,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
163,109,109,127,163,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
181,133,133,181,181,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
97,115,115,79,97,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
91,61,61,127,91,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
67,55,55,61,67,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
79,199,205,79,79,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
97,169,157,79,97,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
181,127,127,181,181,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
163,163,169,127,163,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
127,73,73,127,127,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
199,121,121,199,199,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
97,67,67,79,97,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
19,181,187,13,19,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
19,79,79,13,19,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
193,157,151,181,193,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
157,175,175,79,157,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
97,97,91,79,97,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
199,139,145,199,199,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
97,91,85,79,97,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
43,193,181,61,43,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 50}"
1,49,43,1,1,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 100}"
13,25,25,13,13,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 150}"
7,7,7,1,7,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 200}"
19,13,13,13,19,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 250}"
19,85,97,13,19,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 300}"
49,1,1,13,49,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 400}"
127,205,193,127,127,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50}"
127,145,163,127,127,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100}"
67,43,49,61,67,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150}"
49,31,31,13,49,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200}"
127,103,103,127,127,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 250}"
79,19,19,79,79,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 300}"
163,37,37,127,163,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 400}"
127,187,199,127,127,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50}"
49,151,139,13,49,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100}"
163,109,109,127,163,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150}"
181,133,133,181,181,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200}"
97,115,115,79,97,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 250}"
91,61,61,127,91,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 300}"
67,55,55,61,67,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 400}"
79,199,205,79,79,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 50}"
97,169,157,79,97,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 100}"
181,127,127,181,181,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 150}"
163,163,169,127,163,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 200}"
127,73,73,127,127,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 250}"
199,121,121,199,199,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 300}"
97,67,67,79,97,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 400}"
19,181,187,13,19,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 50}"
19,79,79,13,19,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 100}"
193,157,151,181,193,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 150}"
157,175,175,79,157,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 200}"
97,97,91,79,97,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 250}"
199,139,145,199,199,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 300}"
97,91,85,79,97,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 400}"
43,193,181,61,43,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50}"
1,49,43,1,1,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
13,25,25,13,13,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
7,7,7,1,7,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
19,13,13,13,19,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
19,85,97,13,19,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
49,1,1,13,49,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
127,205,193,127,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
127,145,163,127,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
67,43,49,61,67,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
49,31,31,13,49,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
127,103,103,127,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
79,19,19,79,79,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
163,37,37,127,163,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
127,187,199,127,127,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
49,151,139,13,49,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
