rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
37,1,16,35,55,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
85,9,32,75,84,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
20,45,5,13,37,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
37,1,16,35,55,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
20,48,7,13,37,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
16,40,23,22,12,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
78,18,94,48,96,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
50,5,48,53,29,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
27,42,1,43,15,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
55,27,85,62,45,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
42,22,40,22,69,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
18,25,19,13,26,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
6,35,3,2,18,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
52,21,44,48,60,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
6,36,4,2,18,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
58,37,57,43,83,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
84,19,28,81,81,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
8,44,39,7,23,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
2,50,15,2,1,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
29,59,68,22,54,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
64,67,51,64,62,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
90,91,77,72,98,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
42,30,12,22,69,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
64,68,52,64,62,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
42,28,10,22,69,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
3,71,33,7,2,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
80,95,80,75,79,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
82,79,64,88,35,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
76,63,45,84,33,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
11,85,43,13,5,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
33,4,41,48,17,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
85,8,31,75,84,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
24,77,21,22,40,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
37,1,16,35,55,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
20,47,6,13,37,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
16,39,22,22,12,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
78,17,93,48,96,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
50,5,48,53,29,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
27,43,2,43,15,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
55,26,86,62,45,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
64,69,53,64,62,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
90,91,77,72,98,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
42,31,13,22,69,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
64,66,50,64,62,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
