rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
58,28,38,42,121,"{'max_depth': -1, 'num_leaves': 221}"
21,33,25,26,71,"{'max_depth': -1, 'num_leaves': 231}"
13,24,21,10,82,"{'max_depth': -1, 'num_leaves': 241}"
36,4,14,33,87,"{'max_depth': -1, 'num_leaves': 251}"
61,19,29,33,128,"{'max_depth': -1, 'num_leaves': 261}"
17,1,17,12,94,"{'max_depth': -1, 'num_leaves': 271}"
29,12,19,23,110,"{'max_depth': -1, 'num_leaves': 281}"
5,16,7,3,51,"{'max_depth': -1, 'num_leaves': 291}"
23,14,12,12,116,"{'max_depth': -1, 'num_leaves': 301}"
9,5,5,6,67,"{'max_depth': -1, 'num_leaves': 311}"
34,9,10,12,126,"{'max_depth': -1, 'num_leaves': 321}"
53,8,4,8,129,"{'max_depth': -1, 'num_leaves': 331}"
1,38,1,1,49,"{'max_depth': -1, 'num_leaves': 341}"
58,27,39,42,121,"{'max_depth': 0, 'num_leaves': 221}"
21,32,24,26,71,"{'max_depth': 0, 'num_leaves': 231}"
13,25,22,10,82,"{'max_depth': 0, 'num_leaves': 241}"
36,3,13,33,87,"{'max_depth': 0, 'num_leaves': 251}"
44,40,28,30,120,"{'max_depth': 0, 'num_leaves': 261}"
17,2,16,12,94,"{'max_depth': 0, 'num_leaves': 271}"
29,11,18,23,110,"{'max_depth': 0, 'num_leaves': 281}"
5,17,8,3,51,"{'max_depth': 0, 'num_leaves': 291}"
23,13,11,12,116,"{'max_depth': 0, 'num_leaves': 301}"
9,6,6,6,67,"{'max_depth': 0, 'num_leaves': 311}"
34,10,9,12,126,"{'max_depth': 0, 'num_leaves': 321}"
53,7,3,8,129,"{'max_depth': 0, 'num_leaves': 331}"
1,39,2,1,49,"{'max_depth': 0, 'num_leaves': 341}"
157,163,163,157,144,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,144,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,144,"{'max_depth': 3, 'num_leaves': 241}"
