rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
36,114,71,31,109,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
135,223,109,137,97,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
35,79,149,44,88,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
134,21,85,200,21,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
90,86,40,137,32,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
88,25,38,175,15,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
130,53,67,175,51,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
22,91,112,76,14,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
102,100,88,137,47,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
36,123,81,31,109,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
135,57,125,137,97,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
182,65,179,210,72,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
61,59,107,67,57,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
218,111,208,214,217,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
135,16,209,137,97,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
61,64,182,67,57,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
109,55,190,162,49,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
106,54,170,76,133,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
36,116,73,31,109,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
