rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
33,4,12,20,72,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
7,7,8,4,54,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
15,64,41,11,33,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
33,4,14,20,72,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
15,63,40,11,33,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
68,23,66,48,94,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
71,97,61,70,63,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
51,38,52,40,76,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
1,59,3,1,31,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
29,41,10,20,40,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
22,9,22,20,12,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
51,29,27,40,76,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
13,85,83,4,70,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
22,9,21,20,12,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
13,86,84,4,70,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
84,94,39,77,86,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
7,93,37,4,54,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
84,82,73,77,86,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
3,12,5,3,9,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
67,40,75,61,78,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
84,47,31,77,86,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
53,27,44,48,42,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
63,61,50,61,59,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
84,50,34,77,86,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
63,55,48,61,59,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
40,37,58,40,23,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
4,76,81,4,10,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
58,80,62,48,57,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
80,98,79,70,96,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
46,68,35,31,83,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
33,3,11,20,72,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
7,8,9,4,54,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
15,65,43,11,33,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
33,1,6,20,72,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
15,65,42,11,33,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
68,24,68,48,94,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
71,96,60,70,63,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
77,46,54,70,85,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
1,60,4,1,31,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
10,70,7,11,20,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
84,48,32,77,86,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
53,28,45,48,42,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
63,55,48,61,59,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
84,49,33,77,86,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
63,62,51,61,59,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
40,36,59,40,23,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
4,75,80,4,10,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
58,81,63,48,57,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
80,99,82,70,96,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
46,69,36,31,83,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
15,13,90,11,33,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
32,91,74,31,22,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
60,18,2,61,47,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
15,14,91,11,33,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
