nohup: ignoring input
experiment: HUVEC cksnap_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3192, TP=59, TN=2955, FP=85, FN=93; precision=0.410, recall=0.388
accuracy: (test=0.944) average_precision: (test=0.373) balanced_accuracy: (test=0.680) f1: (test=0.399) roc_auc: (test=0.809) 1.88s
[fit 2/34] END n_estimators=20; total=3192, TP=62, TN=2974, FP=66, FN=90; precision=0.484, recall=0.408
accuracy: (test=0.951) average_precision: (test=0.413) balanced_accuracy: (test=0.693) f1: (test=0.443) roc_auc: (test=0.822) 2.51s
[fit 3/34] END n_estimators=30; total=3192, TP=73, TN=2984, FP=56, FN=79; precision=0.566, recall=0.480
accuracy: (test=0.958) average_precision: (test=0.456) balanced_accuracy: (test=0.731) f1: (test=0.520) roc_auc: (test=0.833) 3.51s
[fit 4/34] END n_estimators=40; total=3192, TP=61, TN=2993, FP=47, FN=91; precision=0.565, recall=0.401
accuracy: (test=0.957) average_precision: (test=0.462) balanced_accuracy: (test=0.693) f1: (test=0.469) roc_auc: (test=0.837) 4.72s
[fit 5/34] END n_estimators=50; total=3192, TP=66, TN=2998, FP=42, FN=86; precision=0.611, recall=0.434
accuracy: (test=0.960) average_precision: (test=0.476) balanced_accuracy: (test=0.710) f1: (test=0.508) roc_auc: (test=0.837) 5.78s
[fit 6/34] END n_estimators=60; total=3192, TP=66, TN=2997, FP=43, FN=86; precision=0.606, recall=0.434
accuracy: (test=0.960) average_precision: (test=0.470) balanced_accuracy: (test=0.710) f1: (test=0.506) roc_auc: (test=0.842) 6.81s
[fit 7/34] END n_estimators=70; total=3192, TP=63, TN=3000, FP=40, FN=89; precision=0.612, recall=0.414
accuracy: (test=0.960) average_precision: (test=0.486) balanced_accuracy: (test=0.701) f1: (test=0.494) roc_auc: (test=0.852) 8.88s
[fit 8/34] END n_estimators=80; total=3192, TP=66, TN=2998, FP=42, FN=86; precision=0.611, recall=0.434
accuracy: (test=0.960) average_precision: (test=0.472) balanced_accuracy: (test=0.710) f1: (test=0.508) roc_auc: (test=0.834) 11.60s
[fit 9/34] END n_estimators=90; total=3192, TP=68, TN=2994, FP=46, FN=84; precision=0.596, recall=0.447
accuracy: (test=0.959) average_precision: (test=0.500) balanced_accuracy: (test=0.716) f1: (test=0.511) roc_auc: (test=0.842) 13.72s
[fit 10/34] END n_estimators=100; total=3192, TP=63, TN=2996, FP=44, FN=89; precision=0.589, recall=0.414
accuracy: (test=0.958) average_precision: (test=0.491) balanced_accuracy: (test=0.700) f1: (test=0.486) roc_auc: (test=0.852) 18.71s
[fit 11/34] END n_estimators=110; total=3192, TP=63, TN=2997, FP=43, FN=89; precision=0.594, recall=0.414
accuracy: (test=0.959) average_precision: (test=0.508) balanced_accuracy: (test=0.700) f1: (test=0.488) roc_auc: (test=0.852) 22.54s
[fit 12/34] END n_estimators=120; total=3192, TP=67, TN=2997, FP=43, FN=85; precision=0.609, recall=0.441
accuracy: (test=0.960) average_precision: (test=0.494) balanced_accuracy: (test=0.713) f1: (test=0.511) roc_auc: (test=0.841) 24.29s
[fit 13/34] END n_estimators=130; total=3192, TP=65, TN=3000, FP=40, FN=87; precision=0.619, recall=0.428
accuracy: (test=0.960) average_precision: (test=0.493) balanced_accuracy: (test=0.707) f1: (test=0.506) roc_auc: (test=0.846) 25.59s
[fit 14/34] END n_estimators=140; total=3192, TP=65, TN=2994, FP=46, FN=87; precision=0.586, recall=0.428
accuracy: (test=0.958) average_precision: (test=0.498) balanced_accuracy: (test=0.706) f1: (test=0.494) roc_auc: (test=0.844) 28.86s
[fit 15/34] END n_estimators=150; total=3192, TP=65, TN=3003, FP=37, FN=87; precision=0.637, recall=0.428
accuracy: (test=0.961) average_precision: (test=0.498) balanced_accuracy: (test=0.708) f1: (test=0.512) roc_auc: (test=0.848) 30.89s
[fit 16/34] END n_estimators=160; total=3192, TP=63, TN=2997, FP=43, FN=89; precision=0.594, recall=0.414
accuracy: (test=0.959) average_precision: (test=0.493) balanced_accuracy: (test=0.700) f1: (test=0.488) roc_auc: (test=0.844) 33.06s
[fit 17/34] END n_estimators=170; total=3192, TP=64, TN=2997, FP=43, FN=88; precision=0.598, recall=0.421
accuracy: (test=0.959) average_precision: (test=0.492) balanced_accuracy: (test=0.703) f1: (test=0.494) roc_auc: (test=0.843) 34.53s
[fit 18/34] END n_estimators=180; total=3192, TP=62, TN=2999, FP=41, FN=90; precision=0.602, recall=0.408
accuracy: (test=0.959) average_precision: (test=0.503) balanced_accuracy: (test=0.697) f1: (test=0.486) roc_auc: (test=0.845) 36.49s
[fit 19/34] END n_estimators=190; total=3192, TP=67, TN=2998, FP=42, FN=85; precision=0.615, recall=0.441
accuracy: (test=0.960) average_precision: (test=0.505) balanced_accuracy: (test=0.713) f1: (test=0.513) roc_auc: (test=0.851) 39.36s
