nohup: ignoring input
experiment: IMR90 cksnap_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=2625, TP=61, TN=2450, FP=50, FN=64; precision=0.550, recall=0.488
accuracy: (test=0.957) average_precision: (test=0.457) balanced_accuracy: (test=0.734) f1: (test=0.517) roc_auc: (test=0.858) 2.18s
[fit 2/34] END n_estimators=20; total=2625, TP=64, TN=2476, FP=24, FN=61; precision=0.727, recall=0.512
accuracy: (test=0.968) average_precision: (test=0.564) balanced_accuracy: (test=0.751) f1: (test=0.601) roc_auc: (test=0.845) 2.51s
[fit 3/34] END n_estimators=30; total=2625, TP=61, TN=2483, FP=17, FN=64; precision=0.782, recall=0.488
accuracy: (test=0.969) average_precision: (test=0.582) balanced_accuracy: (test=0.741) f1: (test=0.601) roc_auc: (test=0.875) 3.77s
[fit 4/34] END n_estimators=40; total=2625, TP=65, TN=2472, FP=28, FN=60; precision=0.699, recall=0.520
accuracy: (test=0.966) average_precision: (test=0.610) balanced_accuracy: (test=0.754) f1: (test=0.596) roc_auc: (test=0.865) 4.68s
[fit 5/34] END n_estimators=50; total=2625, TP=65, TN=2480, FP=20, FN=60; precision=0.765, recall=0.520
accuracy: (test=0.970) average_precision: (test=0.628) balanced_accuracy: (test=0.756) f1: (test=0.619) roc_auc: (test=0.889) 5.89s
[fit 6/34] END n_estimators=60; total=2625, TP=65, TN=2480, FP=20, FN=60; precision=0.765, recall=0.520
accuracy: (test=0.970) average_precision: (test=0.625) balanced_accuracy: (test=0.756) f1: (test=0.619) roc_auc: (test=0.886) 8.08s
[fit 7/34] END n_estimators=70; total=2625, TP=63, TN=2478, FP=22, FN=62; precision=0.741, recall=0.504
accuracy: (test=0.968) average_precision: (test=0.628) balanced_accuracy: (test=0.748) f1: (test=0.600) roc_auc: (test=0.894) 9.89s
[fit 8/34] END n_estimators=80; total=2625, TP=65, TN=2481, FP=19, FN=60; precision=0.774, recall=0.520
accuracy: (test=0.970) average_precision: (test=0.607) balanced_accuracy: (test=0.756) f1: (test=0.622) roc_auc: (test=0.876) 12.26s
[fit 9/34] END n_estimators=90; total=2625, TP=67, TN=2484, FP=16, FN=58; precision=0.807, recall=0.536
accuracy: (test=0.972) average_precision: (test=0.647) balanced_accuracy: (test=0.765) f1: (test=0.644) roc_auc: (test=0.901) 14.75s
[fit 10/34] END n_estimators=100; total=2625, TP=65, TN=2485, FP=15, FN=60; precision=0.812, recall=0.520
accuracy: (test=0.971) average_precision: (test=0.631) balanced_accuracy: (test=0.757) f1: (test=0.634) roc_auc: (test=0.889) 15.67s
[fit 11/34] END n_estimators=110; total=2625, TP=65, TN=2483, FP=17, FN=60; precision=0.793, recall=0.520
accuracy: (test=0.971) average_precision: (test=0.650) balanced_accuracy: (test=0.757) f1: (test=0.628) roc_auc: (test=0.895) 17.17s
[fit 12/34] END n_estimators=120; total=2625, TP=66, TN=2484, FP=16, FN=59; precision=0.805, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.628) balanced_accuracy: (test=0.761) f1: (test=0.638) roc_auc: (test=0.881) 18.95s
[fit 13/34] END n_estimators=130; total=2625, TP=67, TN=2481, FP=19, FN=58; precision=0.779, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.640) balanced_accuracy: (test=0.764) f1: (test=0.635) roc_auc: (test=0.888) 20.45s
[fit 14/34] END n_estimators=140; total=2625, TP=66, TN=2480, FP=20, FN=59; precision=0.767, recall=0.528
accuracy: (test=0.970) average_precision: (test=0.639) balanced_accuracy: (test=0.760) f1: (test=0.626) roc_auc: (test=0.903) 21.96s
[fit 15/34] END n_estimators=150; total=2625, TP=69, TN=2480, FP=20, FN=56; precision=0.775, recall=0.552
accuracy: (test=0.971) average_precision: (test=0.629) balanced_accuracy: (test=0.772) f1: (test=0.645) roc_auc: (test=0.891) 23.69s
[fit 16/34] END n_estimators=160; total=2625, TP=69, TN=2481, FP=19, FN=56; precision=0.784, recall=0.552
accuracy: (test=0.971) average_precision: (test=0.650) balanced_accuracy: (test=0.772) f1: (test=0.648) roc_auc: (test=0.901) 25.77s
[fit 17/34] END n_estimators=170; total=2625, TP=67, TN=2481, FP=19, FN=58; precision=0.779, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.634) balanced_accuracy: (test=0.764) f1: (test=0.635) roc_auc: (test=0.897) 27.03s
[fit 18/34] END n_estimators=180; total=2625, TP=68, TN=2482, FP=18, FN=57; precision=0.791, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.636) balanced_accuracy: (test=0.768) f1: (test=0.645) roc_auc: (test=0.888) 29.46s
[fit 19/34] END n_estimators=190; total=2625, TP=66, TN=2483, FP=17, FN=59; precision=0.795, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.633) balanced_accuracy: (test=0.761) f1: (test=0.635) roc_auc: (test=0.890) 29.90s
[fit 20/34] END n_estimators=200; total=2625, TP=67, TN=2479, FP=21, FN=58; precision=0.761, recall=0.536
accuracy: (test=0.970) average_precision: (test=0.635) balanced_accuracy: (test=0.764) f1: (test=0.629) roc_auc: (test=0.895) 31.86s
[fit 21/34] END n_estimators=210; total=2625, TP=66, TN=2485, FP=15, FN=59; precision=0.815, recall=0.528
accuracy: (test=0.972) average_precision: (test=0.643) balanced_accuracy: (test=0.761) f1: (test=0.641) roc_auc: (test=0.901) 33.72s
[fit 22/34] END n_estimators=220; total=2625, TP=65, TN=2479, FP=21, FN=60; precision=0.756, recall=0.520
accuracy: (test=0.969) average_precision: (test=0.643) balanced_accuracy: (test=0.756) f1: (test=0.616) roc_auc: (test=0.903) 35.28s
[fit 23/34] END n_estimators=230; total=2625, TP=63, TN=2487, FP=13, FN=62; precision=0.829, recall=0.504
accuracy: (test=0.971) average_precision: (test=0.645) balanced_accuracy: (test=0.749) f1: (test=0.627) roc_auc: (test=0.906) 36.68s
[fit 24/34] END n_estimators=240; total=2625, TP=66, TN=2481, FP=19, FN=59; precision=0.776, recall=0.528
accuracy: (test=0.970) average_precision: (test=0.645) balanced_accuracy: (test=0.760) f1: (test=0.629) roc_auc: (test=0.910) 38.39s
[fit 25/34] END n_estimators=250; total=2625, TP=67, TN=2481, FP=19, FN=58; precision=0.779, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.637) balanced_accuracy: (test=0.764) f1: (test=0.635) roc_auc: (test=0.897) 39.90s
[fit 26/34] END n_estimators=260; total=2625, TP=66, TN=2481, FP=19, FN=59; precision=0.776, recall=0.528
accuracy: (test=0.970) average_precision: (test=0.634) balanced_accuracy: (test=0.760) f1: (test=0.629) roc_auc: (test=0.899) 41.36s
[fit 27/34] END n_estimators=270; total=2625, TP=67, TN=2482, FP=18, FN=58; precision=0.788, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.644) balanced_accuracy: (test=0.764) f1: (test=0.638) roc_auc: (test=0.895) 45.16s
[fit 28/34] END n_estimators=280; total=2625, TP=68, TN=2481, FP=19, FN=57; precision=0.782, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.647) balanced_accuracy: (test=0.768) f1: (test=0.642) roc_auc: (test=0.911) 45.40s
[fit 29/34] END n_estimators=290; total=2625, TP=69, TN=2481, FP=19, FN=56; precision=0.784, recall=0.552
accuracy: (test=0.971) average_precision: (test=0.646) balanced_accuracy: (test=0.772) f1: (test=0.648) roc_auc: (test=0.904) 48.34s
[fit 30/34] END n_estimators=300; total=2625, TP=67, TN=2480, FP=20, FN=58; precision=0.770, recall=0.536
accuracy: (test=0.970) average_precision: (test=0.636) balanced_accuracy: (test=0.764) f1: (test=0.632) roc_auc: (test=0.892) 48.85s
[fit 31/34] END n_estimators=310; total=2625, TP=66, TN=2482, FP=18, FN=59; precision=0.786, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.649) balanced_accuracy: (test=0.760) f1: (test=0.632) roc_auc: (test=0.898) 49.08s
[fit 32/34] END n_estimators=320; total=2625, TP=67, TN=2482, FP=18, FN=58; precision=0.788, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.642) balanced_accuracy: (test=0.764) f1: (test=0.638) roc_auc: (test=0.897) 52.56s
[fit 33/34] END n_estimators=330; total=2625, TP=67, TN=2482, FP=18, FN=58; precision=0.788, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.644) balanced_accuracy: (test=0.764) f1: (test=0.638) roc_auc: (test=0.898) 53.60s
[fit 34/34] END n_estimators=340; total=2625, TP=66, TN=2481, FP=19, FN=59; precision=0.776, recall=0.528
accuracy: (test=0.970) average_precision: (test=0.645) balanced_accuracy: (test=0.760) f1: (test=0.629) roc_auc: (test=0.902) 54.30s
clf.best_estimator_params: {'n_estimators': 280}
best params found in line [29] for metric [roc_auc] in rank file
best params found in fit [28] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=2625) TP: (test=68.000) TN: (test=2481.000) FP: (test=19.000) FN: (test=57.000) precision: (test=0.782) recall: (test=0.544) accuracy: (test=0.971) average_precision: (test=0.647) balanced_accuracy: (test=0.768) f1: (test=0.642) roc_auc: (test=0.911) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 280, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.642) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.906) 46.71s
[fit 2/150] END max_depth=1; total=2625, TP=89, TN=869, FP=1631, FN=36; precision=0.052, recall=0.712
accuracy: (test=0.365) average_precision: (test=0.056) balanced_accuracy: (test=0.530) f1: (test=0.096) roc_auc: (test=0.537) 5.50s
[fit 3/150] END max_depth=2; total=2625, TP=82, TN=941, FP=1559, FN=43; precision=0.050, recall=0.656
accuracy: (test=0.390) average_precision: (test=0.058) balanced_accuracy: (test=0.516) f1: (test=0.093) roc_auc: (test=0.541) 6.60s
[fit 4/150] END max_depth=3; total=2625, TP=72, TN=1242, FP=1258, FN=53; precision=0.054, recall=0.576
accuracy: (test=0.501) average_precision: (test=0.065) balanced_accuracy: (test=0.536) f1: (test=0.099) roc_auc: (test=0.556) 10.31s
[fit 5/150] END max_depth=4; total=2625, TP=63, TN=1438, FP=1062, FN=62; precision=0.056, recall=0.504
accuracy: (test=0.572) average_precision: (test=0.074) balanced_accuracy: (test=0.540) f1: (test=0.101) roc_auc: (test=0.580) 12.65s
[fit 6/150] END max_depth=5; total=2625, TP=57, TN=1619, FP=881, FN=68; precision=0.061, recall=0.456
accuracy: (test=0.638) average_precision: (test=0.090) balanced_accuracy: (test=0.552) f1: (test=0.107) roc_auc: (test=0.608) 14.95s
[fit 7/150] END max_depth=6; total=2625, TP=55, TN=1730, FP=770, FN=70; precision=0.067, recall=0.440
accuracy: (test=0.680) average_precision: (test=0.115) balanced_accuracy: (test=0.566) f1: (test=0.116) roc_auc: (test=0.647) 16.85s
[fit 8/150] END max_depth=7; total=2625, TP=62, TN=1875, FP=625, FN=63; precision=0.090, recall=0.496
accuracy: (test=0.738) average_precision: (test=0.152) balanced_accuracy: (test=0.623) f1: (test=0.153) roc_auc: (test=0.699) 19.93s
