rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,48,77,9,48,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,141,{'max_depth': 10}
140,140,140,140,140,{'max_depth': 11}
139,139,139,139,139,{'max_depth': 12}
138,138,138,138,138,{'max_depth': 13}
137,137,137,137,91,{'max_depth': 14}
136,136,136,136,30,{'max_depth': 15}
135,135,135,135,32,{'max_depth': 16}
134,133,134,134,2,{'max_depth': 17}
133,134,133,133,11,{'max_depth': 18}
132,132,132,132,18,{'max_depth': 19}
130,130,131,131,1,{'max_depth': 20}
129,131,130,130,5,{'max_depth': 21}
112,129,129,129,4,{'max_depth': 22}
90,127,127,126,3,{'max_depth': 23}
117,120,128,126,33,{'max_depth': 24}
32,93,124,83,9,{'max_depth': 25}
59,121,126,108,15,{'max_depth': 26}
34,128,125,68,14,{'max_depth': 27}
77,50,113,100,64,{'max_depth': 28}
91,114,120,108,67,{'max_depth': 29}
109,111,6,114,90,{'max_depth': 30}
32,38,118,83,9,{'max_depth': 31}
15,3,79,39,11,{'max_depth': 32}
77,95,91,100,64,{'max_depth': 33}
23,69,90,51,13,{'max_depth': 34}
35,56,41,51,29,{'max_depth': 35}
49,34,19,25,73,{'max_depth': 36}
36,113,89,39,42,{'max_depth': 37}
9,67,12,12,19,{'max_depth': 38}
55,102,43,39,77,{'max_depth': 39}
25,8,21,25,38,{'max_depth': 40}
74,107,25,51,94,{'max_depth': 41}
71,41,16,83,62,{'max_depth': 42}
64,124,78,51,79,{'max_depth': 43}
74,117,117,51,94,{'max_depth': 44}
118,5,36,108,126,{'max_depth': 45}
29,37,69,12,50,{'max_depth': 46}
73,40,58,68,85,{'max_depth': 47}
16,15,15,25,25,{'max_depth': 48}
101,87,92,100,105,{'max_depth': 49}
131,28,99,128,137,{'max_depth': 50}
80,110,55,83,86,{'max_depth': 51}
64,122,80,51,79,{'max_depth': 52}
24,13,61,39,28,{'max_depth': 53}
110,86,123,83,122,{'max_depth': 54}
60,53,31,68,58,{'max_depth': 55}
97,16,13,68,113,{'max_depth': 56}
46,90,110,39,54,{'max_depth': 57}
92,88,42,83,100,{'max_depth': 58}
7,64,29,5,35,{'max_depth': 59}
19,80,81,12,37,{'max_depth': 60}
113,76,83,108,119,{'max_depth': 61}
36,25,64,39,42,{'max_depth': 62}
80,22,104,83,86,{'max_depth': 63}
9,18,8,12,19,{'max_depth': 64}
103,108,26,83,116,{'max_depth': 65}
16,106,95,25,25,{'max_depth': 66}
43,21,62,51,45,{'max_depth': 67}
55,51,115,39,77,{'max_depth': 68}
39,98,54,25,52,{'max_depth': 69}
80,27,2,83,86,{'max_depth': 70}
106,103,98,68,120,{'max_depth': 71}
106,63,11,68,120,{'max_depth': 72}
119,43,50,114,127,{'max_depth': 73}
87,54,82,51,110,{'max_depth': 74}
25,60,32,25,38,{'max_depth': 75}
53,91,1,83,31,{'max_depth': 76}
1,2,5,1,6,{'max_depth': 77}
31,84,94,9,70,{'max_depth': 78}
83,115,86,68,96,{'max_depth': 79}
92,97,88,83,100,{'max_depth': 80}
60,49,45,68,58,{'max_depth': 81}
114,89,52,100,123,{'max_depth': 82}
101,33,103,100,105,{'max_depth': 83}
49,47,70,25,73,{'max_depth': 84}
60,24,68,68,58,{'max_depth': 85}
43,70,87,51,45,{'max_depth': 86}
97,75,67,68,113,{'max_depth': 87}
