rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,33,33,33,32,{'n_estimators': 20}
2,32,32,29,1,{'n_estimators': 30}
32,30,31,32,33,{'n_estimators': 40}
8,29,28,8,7,{'n_estimators': 50}
13,26,30,11,9,{'n_estimators': 60}
20,4,27,11,20,{'n_estimators': 70}
8,31,29,8,7,{'n_estimators': 80}
7,25,15,14,3,{'n_estimators': 90}
27,6,26,27,25,{'n_estimators': 100}
23,3,1,24,22,{'n_estimators': 110}
6,27,22,8,6,{'n_estimators': 120}
10,16,23,4,11,{'n_estimators': 130}
17,21,20,27,15,{'n_estimators': 140}
5,13,19,2,10,{'n_estimators': 150}
23,22,24,24,22,{'n_estimators': 160}
18,23,25,19,18,{'n_estimators': 170}
28,19,11,19,30,{'n_estimators': 180}
4,7,6,4,5,{'n_estimators': 190}
3,24,14,3,4,{'n_estimators': 200}
15,18,10,14,16,{'n_estimators': 210}
30,28,21,29,26,{'n_estimators': 220}
26,2,8,14,29,{'n_estimators': 230}
21,14,16,19,21,{'n_estimators': 240}
15,10,9,14,16,{'n_estimators': 250}
14,12,5,14,14,{'n_estimators': 260}
30,1,17,29,26,{'n_estimators': 270}
1,9,7,1,2,{'n_estimators': 280}
18,17,2,19,18,{'n_estimators': 290}
23,15,13,24,22,{'n_estimators': 300}
10,8,4,4,11,{'n_estimators': 310}
28,20,18,19,30,{'n_estimators': 320}
10,5,3,4,11,{'n_estimators': 330}
22,11,12,11,28,{'n_estimators': 340}
