rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,32,33,33,33,{'n_estimators': 20}
32,27,29,32,31,{'n_estimators': 30}
20,30,32,27,3,{'n_estimators': 40}
11,33,31,19,4,{'n_estimators': 50}
11,31,30,19,4,{'n_estimators': 60}
25,28,26,19,25,{'n_estimators': 70}
7,29,27,8,7,{'n_estimators': 80}
24,11,24,8,28,{'n_estimators': 90}
3,16,25,2,13,{'n_estimators': 100}
30,25,28,29,29,{'n_estimators': 110}
1,24,20,1,1,{'n_estimators': 120}
29,22,21,27,32,{'n_estimators': 130}
26,7,15,25,22,{'n_estimators': 140}
13,4,17,8,16,{'n_estimators': 150}
13,3,12,8,16,{'n_estimators': 160}
27,21,19,25,26,{'n_estimators': 170}
23,13,22,19,21,{'n_estimators': 180}
13,17,16,8,16,{'n_estimators': 190}
22,26,18,8,24,{'n_estimators': 200}
13,2,1,8,16,{'n_estimators': 210}
4,19,3,4,14,{'n_estimators': 220}
2,20,11,2,2,{'n_estimators': 230}
21,23,23,5,27,{'n_estimators': 240}
7,15,13,8,7,{'n_estimators': 250}
7,6,5,8,7,{'n_estimators': 260}
7,10,4,8,7,{'n_estimators': 270}
18,9,10,19,11,{'n_estimators': 280}
13,5,7,8,16,{'n_estimators': 290}
5,12,2,5,6,{'n_estimators': 300}
31,14,14,31,30,{'n_estimators': 310}
28,8,9,29,23,{'n_estimators': 320}
18,18,6,19,11,{'n_estimators': 330}
6,1,8,5,15,{'n_estimators': 340}
