rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
17,29,75,15,15,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,141,{'max_depth': 10}
140,140,140,140,140,{'max_depth': 11}
139,139,139,139,139,{'max_depth': 12}
138,138,138,138,137,{'max_depth': 13}
137,137,137,137,138,{'max_depth': 14}
136,135,136,136,117,{'max_depth': 15}
135,134,135,135,9,{'max_depth': 16}
133,130,134,133,72,{'max_depth': 17}
133,60,133,133,72,{'max_depth': 18}
117,136,132,127,2,{'max_depth': 19}
131,118,131,130,71,{'max_depth': 20}
129,121,130,130,31,{'max_depth': 21}
81,11,126,80,63,{'max_depth': 22}
64,87,128,80,8,{'max_depth': 23}
43,122,129,45,26,{'max_depth': 24}
43,17,124,45,26,{'max_depth': 25}
3,77,84,2,4,{'max_depth': 26}
49,21,33,45,48,{'max_depth': 27}
89,54,55,80,88,{'max_depth': 28}
111,74,96,110,103,{'max_depth': 29}
43,86,82,45,26,{'max_depth': 30}
15,53,32,15,6,{'max_depth': 31}
1,111,70,1,3,{'max_depth': 32}
13,4,54,9,35,{'max_depth': 33}
75,28,1,80,30,{'max_depth': 34}
104,32,41,80,118,{'max_depth': 35}
111,31,40,110,103,{'max_depth': 36}
76,100,104,45,112,{'max_depth': 37}
9,89,67,9,11,{'max_depth': 38}
65,6,64,45,78,{'max_depth': 39}
49,124,51,45,48,{'max_depth': 40}
89,36,2,80,88,{'max_depth': 41}
124,102,68,123,130,{'max_depth': 42}
49,24,71,45,48,{'max_depth': 43}
89,2,20,80,88,{'max_depth': 44}
104,132,90,80,118,{'max_depth': 45}
28,92,99,15,37,{'max_depth': 46}
39,15,23,15,74,{'max_depth': 47}
17,115,114,15,15,{'max_depth': 48}
17,14,45,15,15,{'max_depth': 49}
65,114,10,45,78,{'max_depth': 50}
89,126,107,80,88,{'max_depth': 51}
49,12,39,45,48,{'max_depth': 52}
17,98,91,15,15,{'max_depth': 53}
76,39,16,45,112,{'max_depth': 54}
17,27,53,15,15,{'max_depth': 55}
28,107,87,15,37,{'max_depth': 56}
9,106,26,9,11,{'max_depth': 57}
9,67,24,9,11,{'max_depth': 58}
49,131,61,45,48,{'max_depth': 59}
28,42,38,15,37,{'max_depth': 60}
6,23,47,2,32,{'max_depth': 61}
28,82,115,15,37,{'max_depth': 62}
49,26,78,45,48,{'max_depth': 63}
118,104,116,110,124,{'max_depth': 64}
9,90,59,9,11,{'max_depth': 65}
104,52,80,80,118,{'max_depth': 66}
17,20,22,15,15,{'max_depth': 67}
47,56,14,15,110,{'max_depth': 68}
28,22,8,15,37,{'max_depth': 69}
39,19,3,15,74,{'max_depth': 70}
28,58,100,15,37,{'max_depth': 71}
81,97,108,80,63,{'max_depth': 72}
81,41,76,80,63,{'max_depth': 73}
49,46,97,45,48,{'max_depth': 74}
17,59,63,15,15,{'max_depth': 75}
65,1,5,45,78,{'max_depth': 76}
89,105,36,80,88,{'max_depth': 77}
118,84,110,110,124,{'max_depth': 78}
28,72,34,15,37,{'max_depth': 79}
