rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,20,20,20,20,{'n_estimators': 50}
19,19,19,19,19,{'n_estimators': 100}
18,18,18,18,18,{'n_estimators': 150}
17,17,17,17,17,{'n_estimators': 200}
16,16,16,16,16,{'n_estimators': 250}
15,15,15,15,5,{'n_estimators': 300}
14,14,14,14,14,{'n_estimators': 350}
13,13,13,13,12,{'n_estimators': 400}
12,12,12,12,10,{'n_estimators': 450}
11,11,11,11,15,{'n_estimators': 500}
10,10,10,10,13,{'n_estimators': 550}
9,9,9,9,11,{'n_estimators': 600}
8,8,8,8,7,{'n_estimators': 650}
7,7,7,7,8,{'n_estimators': 700}
5,6,6,6,3,{'n_estimators': 750}
6,5,5,5,9,{'n_estimators': 800}
4,4,4,4,2,{'n_estimators': 850}
3,3,3,3,1,{'n_estimators': 900}
2,1,2,2,4,{'n_estimators': 950}
1,2,1,1,6,{'n_estimators': 1000}
