rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
13,1,4,13,5,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
6,5,3,3,11,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
2,4,12,3,3,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
12,3,1,5,14,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
11,11,13,11,13,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
15,8,7,13,15,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
10,6,10,11,9,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
5,9,6,5,4,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
2,13,15,5,2,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
16,16,16,16,16,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
9,2,5,5,12,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
1,10,2,1,1,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
14,7,11,15,10,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
7,15,14,9,7,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
2,12,9,2,6,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
7,14,8,9,7,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
