rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
15,2,2,15,11,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
9,6,4,10,9,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
6,5,1,6,5,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
13,4,11,13,14,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
8,8,10,11,6,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
5,12,3,6,4,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
3,14,5,2,7,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
1,16,6,1,2,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
4,15,15,4,1,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
10,10,13,6,12,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
10,1,7,6,12,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
14,3,12,11,15,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
12,13,16,13,10,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
2,11,8,2,3,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
16,9,14,16,16,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
7,7,9,4,8,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
