rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
7,181,193,55,7,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
61,43,67,31,73,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
13,25,25,7,19,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
163,19,31,127,169,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
151,31,19,97,163,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
115,1,1,55,145,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
115,7,13,55,145,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
193,187,181,187,193,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
109,49,103,97,121,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
205,85,79,187,205,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
145,61,43,127,127,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
175,73,55,151,175,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
115,55,49,55,145,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
61,37,37,31,73,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
175,193,187,151,175,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
133,163,163,151,103,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
193,91,121,187,193,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
79,103,85,127,61,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
37,109,91,31,37,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
97,67,61,55,115,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
1,13,7,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
133,199,199,151,103,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
85,175,169,97,85,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
157,133,139,151,133,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
169,97,97,187,139,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
55,127,115,55,49,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
37,115,109,31,37,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
13,79,73,7,19,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
31,205,205,55,13,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
103,169,175,127,97,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
73,157,151,97,55,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
85,121,127,97,85,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
175,145,157,151,175,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
13,151,145,7,19,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
49,139,133,7,67,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
7,181,193,55,7,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
61,43,67,31,73,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
13,25,25,7,19,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
163,19,31,127,169,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
151,31,19,97,163,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
115,1,1,55,145,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
115,7,13,55,145,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
193,187,181,187,193,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
109,49,103,97,121,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
205,85,79,187,205,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
145,61,43,127,127,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}"
175,73,55,151,175,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}"
115,55,49,55,145,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}"
61,37,37,31,73,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}"
175,193,187,151,175,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 50}"
133,163,163,151,103,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 100}"
193,91,121,187,193,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 150}"
79,103,85,127,61,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 200}"
37,109,91,31,37,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 250}"
97,67,61,55,115,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 300}"
1,13,7,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 400}"
133,199,199,151,103,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 50}"
85,175,169,97,85,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 100}"
157,133,139,151,133,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 150}"
169,97,97,187,139,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 200}"
55,127,115,55,49,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 250}"
37,115,109,31,37,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 300}"
13,79,73,7,19,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 400}"
31,205,205,55,13,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 50}"
103,169,175,127,97,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 100}"
73,157,151,97,55,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 150}"
85,121,127,97,85,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 200}"
175,145,157,151,175,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 250}"
13,151,145,7,19,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 300}"
49,139,133,7,67,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 400}"
7,181,193,55,7,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
61,43,67,31,73,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
13,25,25,7,19,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
163,19,31,127,169,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
151,31,19,97,163,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
115,1,1,55,145,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
115,7,13,55,145,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
193,187,181,187,193,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
109,49,103,97,121,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
205,85,79,187,205,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
145,61,43,127,127,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
175,73,55,151,175,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
