rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
506,506,515,503,506,"{'max_bin': 5, 'min_child_samples': 10}"
508,509,504,507,508,"{'max_bin': 5, 'min_child_samples': 20}"
508,511,507,507,508,"{'max_bin': 5, 'min_child_samples': 30}"
502,504,502,502,475,"{'max_bin': 5, 'min_child_samples': 40}"
511,513,511,511,513,"{'max_bin': 5, 'min_child_samples': 50}"
501,505,510,501,487,"{'max_bin': 5, 'min_child_samples': 60}"
507,507,505,505,507,"{'max_bin': 5, 'min_child_samples': 70}"
504,501,501,504,504,"{'max_bin': 5, 'min_child_samples': 80}"
503,516,513,506,491,"{'max_bin': 5, 'min_child_samples': 90}"
510,508,506,510,510,"{'max_bin': 5, 'min_child_samples': 100}"
505,512,508,507,503,"{'max_bin': 5, 'min_child_samples': 110}"
513,503,503,513,516,"{'max_bin': 5, 'min_child_samples': 120}"
514,514,512,512,518,"{'max_bin': 5, 'min_child_samples': 130}"
515,518,509,515,517,"{'max_bin': 5, 'min_child_samples': 140}"
512,502,518,513,512,"{'max_bin': 5, 'min_child_samples': 150}"
516,517,516,516,519,"{'max_bin': 5, 'min_child_samples': 160}"
518,519,519,517,515,"{'max_bin': 5, 'min_child_samples': 170}"
517,515,517,518,511,"{'max_bin': 5, 'min_child_samples': 180}"
519,510,514,519,514,"{'max_bin': 5, 'min_child_samples': 190}"
520,520,520,520,520,"{'max_bin': 5, 'min_child_samples': 200}"
301,494,352,289,317,"{'max_bin': 15, 'min_child_samples': 10}"
283,492,436,267,312,"{'max_bin': 15, 'min_child_samples': 20}"
452,496,449,437,441,"{'max_bin': 15, 'min_child_samples': 30}"
407,495,479,404,357,"{'max_bin': 15, 'min_child_samples': 40}"
463,482,489,429,491,"{'max_bin': 15, 'min_child_samples': 50}"
449,498,422,432,438,"{'max_bin': 15, 'min_child_samples': 60}"
316,490,485,361,160,"{'max_bin': 15, 'min_child_samples': 70}"
237,488,478,244,251,"{'max_bin': 15, 'min_child_samples': 80}"
408,483,450,377,451,"{'max_bin': 15, 'min_child_samples': 90}"
348,479,366,381,169,"{'max_bin': 15, 'min_child_samples': 100}"
