rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
506,499,393,504,442,"{'max_bin': 5, 'min_child_samples': 10}"
378,505,119,450,3,"{'max_bin': 5, 'min_child_samples': 20}"
501,504,332,502,172,"{'max_bin': 5, 'min_child_samples': 30}"
502,507,384,501,361,"{'max_bin': 5, 'min_child_samples': 40}"
505,503,398,505,335,"{'max_bin': 5, 'min_child_samples': 50}"
509,517,482,506,507,"{'max_bin': 5, 'min_child_samples': 60}"
511,509,444,508,501,"{'max_bin': 5, 'min_child_samples': 70}"
508,506,365,510,316,"{'max_bin': 5, 'min_child_samples': 80}"
512,502,460,512,486,"{'max_bin': 5, 'min_child_samples': 90}"
507,515,478,508,311,"{'max_bin': 5, 'min_child_samples': 100}"
517,510,509,513,519,"{'max_bin': 5, 'min_child_samples': 110}"
504,508,473,507,150,"{'max_bin': 5, 'min_child_samples': 120}"
510,511,505,511,342,"{'max_bin': 5, 'min_child_samples': 130}"
515,512,513,514,460,"{'max_bin': 5, 'min_child_samples': 140}"
519,516,517,517,474,"{'max_bin': 5, 'min_child_samples': 150}"
514,518,514,516,187,"{'max_bin': 5, 'min_child_samples': 160}"
513,513,515,515,124,"{'max_bin': 5, 'min_child_samples': 170}"
518,520,520,518,202,"{'max_bin': 5, 'min_child_samples': 180}"
520,519,518,520,464,"{'max_bin': 5, 'min_child_samples': 190}"
516,514,519,519,30,"{'max_bin': 5, 'min_child_samples': 200}"
200,479,5,279,100,"{'max_bin': 15, 'min_child_samples': 10}"
79,342,3,210,17,"{'max_bin': 15, 'min_child_samples': 20}"
130,298,12,74,304,"{'max_bin': 15, 'min_child_samples': 30}"
114,182,17,144,129,"{'max_bin': 15, 'min_child_samples': 40}"
139,197,76,234,50,"{'max_bin': 15, 'min_child_samples': 50}"
293,133,10,279,370,"{'max_bin': 15, 'min_child_samples': 60}"
217,216,61,294,105,"{'max_bin': 15, 'min_child_samples': 70}"
178,246,2,294,34,"{'max_bin': 15, 'min_child_samples': 80}"
307,403,290,294,373,"{'max_bin': 15, 'min_child_samples': 90}"
266,185,106,294,231,"{'max_bin': 15, 'min_child_samples': 100}"
162,394,150,340,4,"{'max_bin': 15, 'min_child_samples': 110}"
263,280,252,326,169,"{'max_bin': 15, 'min_child_samples': 120}"
394,459,281,390,242,"{'max_bin': 15, 'min_child_samples': 130}"
328,487,240,399,23,"{'max_bin': 15, 'min_child_samples': 140}"
383,467,211,408,126,"{'max_bin': 15, 'min_child_samples': 150}"
353,485,342,428,7,"{'max_bin': 15, 'min_child_samples': 160}"
468,471,391,475,272,"{'max_bin': 15, 'min_child_samples': 170}"
443,494,287,472,43,"{'max_bin': 15, 'min_child_samples': 180}"
456,497,437,475,137,"{'max_bin': 15, 'min_child_samples': 190}"
484,500,394,502,22,"{'max_bin': 15, 'min_child_samples': 200}"
85,356,60,74,165,"{'max_bin': 25, 'min_child_samples': 10}"
60,334,78,127,39,"{'max_bin': 25, 'min_child_samples': 20}"
201,490,146,170,329,"{'max_bin': 25, 'min_child_samples': 30}"
89,456,75,170,41,"{'max_bin': 25, 'min_child_samples': 40}"
85,163,1,74,165,"{'max_bin': 25, 'min_child_samples': 50}"
324,343,156,336,316,"{'max_bin': 25, 'min_child_samples': 60}"
235,358,90,267,217,"{'max_bin': 25, 'min_child_samples': 70}"
330,449,179,294,432,"{'max_bin': 25, 'min_child_samples': 80}"
102,101,38,97,175,"{'max_bin': 25, 'min_child_samples': 90}"
196,266,62,196,272,"{'max_bin': 25, 'min_child_samples': 100}"
337,357,42,351,266,"{'max_bin': 25, 'min_child_samples': 110}"
366,203,118,358,342,"{'max_bin': 25, 'min_child_samples': 120}"
343,273,264,358,271,"{'max_bin': 25, 'min_child_samples': 130}"
394,318,258,390,242,"{'max_bin': 25, 'min_child_samples': 140}"
387,177,353,379,294,"{'max_bin': 25, 'min_child_samples': 150}"
354,292,328,390,70,"{'max_bin': 25, 'min_child_samples': 160}"
372,208,304,416,41,"{'max_bin': 25, 'min_child_samples': 170}"
347,346,389,422,13,"{'max_bin': 25, 'min_child_samples': 180}"
457,275,467,491,54,"{'max_bin': 25, 'min_child_samples': 190}"
494,427,375,499,316,"{'max_bin': 25, 'min_child_samples': 200}"
115,214,65,116,178,"{'max_bin': 35, 'min_child_samples': 10}"
124,309,6,127,180,"{'max_bin': 35, 'min_child_samples': 20}"
41,249,7,45,100,"{'max_bin': 35, 'min_child_samples': 30}"
201,148,9,170,329,"{'max_bin': 35, 'min_child_samples': 40}"
22,202,4,45,30,"{'max_bin': 35, 'min_child_samples': 50}"
24,259,18,35,54,"{'max_bin': 35, 'min_child_samples': 60}"
296,402,186,256,417,"{'max_bin': 35, 'min_child_samples': 70}"
319,63,183,315,380,"{'max_bin': 35, 'min_child_samples': 80}"
46,283,14,97,37,"{'max_bin': 35, 'min_child_samples': 90}"
330,301,93,294,432,"{'max_bin': 35, 'min_child_samples': 100}"
239,8,131,223,349,"{'max_bin': 35, 'min_child_samples': 110}"
98,195,19,185,43,"{'max_bin': 35, 'min_child_samples': 120}"
252,405,148,315,165,"{'max_bin': 35, 'min_child_samples': 130}"
426,166,241,371,493,"{'max_bin': 35, 'min_child_samples': 140}"
325,439,321,353,193,"{'max_bin': 35, 'min_child_samples': 150}"
342,423,377,371,150,"{'max_bin': 35, 'min_child_samples': 160}"
453,22,370,440,364,"{'max_bin': 35, 'min_child_samples': 170}"
405,476,378,430,91,"{'max_bin': 35, 'min_child_samples': 180}"
499,486,508,498,436,"{'max_bin': 35, 'min_child_samples': 190}"
441,159,312,461,77,"{'max_bin': 35, 'min_child_samples': 200}"
206,493,112,144,394,"{'max_bin': 45, 'min_child_samples': 10}"
59,200,218,11,348,"{'max_bin': 45, 'min_child_samples': 20}"
77,267,26,45,226,"{'max_bin': 45, 'min_child_samples': 30}"
117,414,116,87,242,"{'max_bin': 45, 'min_child_samples': 40}"
137,241,24,116,252,"{'max_bin': 45, 'min_child_samples': 50}"
