rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
81,81,81,81,80,"{'learning_rate': 0.001, 'n_estimators': 50}"
80,80,80,80,81,"{'learning_rate': 0.001, 'n_estimators': 75}"
79,79,79,79,79,"{'learning_rate': 0.001, 'n_estimators': 100}"
78,78,78,78,77,"{'learning_rate': 0.001, 'n_estimators': 125}"
77,77,77,77,75,"{'learning_rate': 0.001, 'n_estimators': 150}"
76,76,76,76,76,"{'learning_rate': 0.001, 'n_estimators': 175}"
75,75,75,75,78,"{'learning_rate': 0.001, 'n_estimators': 200}"
74,74,74,74,74,"{'learning_rate': 0.001, 'n_estimators': 225}"
73,73,73,73,73,"{'learning_rate': 0.001, 'n_estimators': 250}"
72,72,72,72,72,"{'learning_rate': 0.01, 'n_estimators': 50}"
71,71,71,71,71,"{'learning_rate': 0.01, 'n_estimators': 75}"
70,70,70,70,70,"{'learning_rate': 0.01, 'n_estimators': 100}"
69,69,69,69,69,"{'learning_rate': 0.01, 'n_estimators': 125}"
68,68,68,68,59,"{'learning_rate': 0.01, 'n_estimators': 150}"
67,67,67,67,45,"{'learning_rate': 0.01, 'n_estimators': 175}"
66,57,65,66,41,"{'learning_rate': 0.01, 'n_estimators': 200}"
64,56,56,65,34,"{'learning_rate': 0.01, 'n_estimators': 225}"
63,54,54,63,31,"{'learning_rate': 0.01, 'n_estimators': 250}"
65,55,55,64,44,"{'learning_rate': 0.05, 'n_estimators': 50}"
52,43,43,61,27,"{'learning_rate': 0.05, 'n_estimators': 75}"
41,36,40,49,16,"{'learning_rate': 0.05, 'n_estimators': 100}"
33,34,28,37,3,"{'learning_rate': 0.05, 'n_estimators': 125}"
26,29,26,32,9,"{'learning_rate': 0.05, 'n_estimators': 150}"
19,26,18,24,7,"{'learning_rate': 0.05, 'n_estimators': 175}"
16,17,12,20,2,"{'learning_rate': 0.05, 'n_estimators': 200}"
11,15,10,15,11,"{'learning_rate': 0.05, 'n_estimators': 225}"
3,13,5,4,8,"{'learning_rate': 0.05, 'n_estimators': 250}"
53,44,44,62,32,"{'learning_rate': 0.07, 'n_estimators': 50}"
40,35,41,49,4,"{'learning_rate': 0.07, 'n_estimators': 75}"
34,21,27,38,5,"{'learning_rate': 0.07, 'n_estimators': 100}"
25,14,23,30,1,"{'learning_rate': 0.07, 'n_estimators': 125}"
18,11,13,22,6,"{'learning_rate': 0.07, 'n_estimators': 150}"
8,12,11,14,10,"{'learning_rate': 0.07, 'n_estimators': 175}"
2,8,2,3,12,"{'learning_rate': 0.07, 'n_estimators': 200}"
5,10,7,4,18,"{'learning_rate': 0.07, 'n_estimators': 225}"
1,9,1,1,15,"{'learning_rate': 0.07, 'n_estimators': 250}"
51,28,42,51,28,"{'learning_rate': 0.1, 'n_estimators': 50}"
35,16,39,39,17,"{'learning_rate': 0.1, 'n_estimators': 75}"
20,5,24,23,13,"{'learning_rate': 0.1, 'n_estimators': 100}"
17,7,22,16,20,"{'learning_rate': 0.1, 'n_estimators': 125}"
6,6,6,9,14,"{'learning_rate': 0.1, 'n_estimators': 150}"
7,4,3,6,26,"{'learning_rate': 0.1, 'n_estimators': 175}"
9,1,8,6,29,"{'learning_rate': 0.1, 'n_estimators': 200}"
9,2,9,6,29,"{'learning_rate': 0.1, 'n_estimators': 225}"
4,3,4,2,25,"{'learning_rate': 0.1, 'n_estimators': 250}"
27,33,29,31,18,"{'learning_rate': 0.2, 'n_estimators': 50}"
24,27,25,21,33,"{'learning_rate': 0.2, 'n_estimators': 75}"
12,23,15,10,21,"{'learning_rate': 0.2, 'n_estimators': 100}"
21,19,20,17,35,"{'learning_rate': 0.2, 'n_estimators': 125}"
21,19,20,17,35,"{'learning_rate': 0.2, 'n_estimators': 150}"
12,24,16,10,21,"{'learning_rate': 0.2, 'n_estimators': 175}"
21,18,19,17,35,"{'learning_rate': 0.2, 'n_estimators': 200}"
12,22,14,10,21,"{'learning_rate': 0.2, 'n_estimators': 225}"
12,25,17,10,21,"{'learning_rate': 0.2, 'n_estimators': 250}"
28,32,38,25,38,"{'learning_rate': 0.5, 'n_estimators': 50}"
28,31,37,25,38,"{'learning_rate': 0.5, 'n_estimators': 75}"
36,41,34,33,46,"{'learning_rate': 0.5, 'n_estimators': 100}"
28,30,36,25,38,"{'learning_rate': 0.5, 'n_estimators': 125}"
36,39,32,33,46,"{'learning_rate': 0.5, 'n_estimators': 150}"
36,40,33,33,46,"{'learning_rate': 0.5, 'n_estimators': 175}"
31,37,30,28,42,"{'learning_rate': 0.5, 'n_estimators': 200}"
36,41,35,33,46,"{'learning_rate': 0.5, 'n_estimators': 225}"
31,38,31,28,42,"{'learning_rate': 0.5, 'n_estimators': 250}"
42,45,45,40,50,"{'learning_rate': 0.75, 'n_estimators': 50}"
42,51,51,40,50,"{'learning_rate': 0.75, 'n_estimators': 75}"
42,51,51,40,50,"{'learning_rate': 0.75, 'n_estimators': 100}"
42,45,45,40,50,"{'learning_rate': 0.75, 'n_estimators': 125}"
42,51,51,40,50,"{'learning_rate': 0.75, 'n_estimators': 150}"
42,48,48,40,50,"{'learning_rate': 0.75, 'n_estimators': 175}"
42,49,49,40,50,"{'learning_rate': 0.75, 'n_estimators': 200}"
42,47,47,40,50,"{'learning_rate': 0.75, 'n_estimators': 225}"
42,49,49,40,50,"{'learning_rate': 0.75, 'n_estimators': 250}"
55,65,64,52,61,"{'learning_rate': 1.0, 'n_estimators': 50}"
55,60,59,52,61,"{'learning_rate': 1.0, 'n_estimators': 75}"
55,58,57,52,61,"{'learning_rate': 1.0, 'n_estimators': 100}"
55,58,57,52,61,"{'learning_rate': 1.0, 'n_estimators': 125}"
54,66,66,60,60,"{'learning_rate': 1.0, 'n_estimators': 150}"
55,60,59,52,61,"{'learning_rate': 1.0, 'n_estimators': 175}"
55,62,63,52,61,"{'learning_rate': 1.0, 'n_estimators': 200}"
55,62,61,52,61,"{'learning_rate': 1.0, 'n_estimators': 225}"
55,62,61,52,61,"{'learning_rate': 1.0, 'n_estimators': 250}"
