rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
24,63,65,27,18,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
22,118,133,17,42,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
198,211,211,199,193,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
224,120,210,222,219,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
150,123,142,118,182,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
176,160,120,199,126,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
198,166,212,199,193,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
177,220,153,169,175,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
137,124,157,169,97,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
80,60,70,87,71,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
106,88,188,118,91,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
172,162,124,111,209,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
207,158,203,199,206,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
94,131,90,27,131,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
193,101,167,210,158,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
211,195,225,199,213,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
198,180,217,199,193,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
164,167,163,169,151,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
46,68,66,53,35,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
45,119,75,17,85,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
148,191,119,148,146,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
124,161,88,148,95,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
201,225,192,169,210,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
181,185,164,159,187,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
177,172,168,169,175,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
147,197,218,103,199,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
154,154,202,134,168,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
24,69,73,27,18,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
115,95,115,118,115,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
88,112,146,87,87,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
161,216,185,148,171,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
79,74,101,27,86,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
150,136,112,118,182,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
54,93,94,17,101,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
6,139,99,15,3,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
53,117,127,87,40,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
80,70,74,87,71,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
80,66,71,87,71,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
24,58,59,27,18,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
55,67,68,53,47,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
80,64,64,87,71,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
55,62,67,53,47,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
51,65,69,27,45,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
55,61,62,53,47,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
24,59,63,27,18,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
100,51,54,103,108,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
164,83,177,169,151,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
44,202,117,6,127,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
216,108,195,208,215,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
171,76,106,192,125,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
192,107,197,186,190,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
181,184,113,159,187,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
205,181,208,186,212,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
158,186,161,159,148,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
10,2,15,12,14,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
146,143,223,130,167,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
158,103,89,159,148,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
222,121,132,218,218,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
154,152,189,134,168,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
196,217,216,192,191,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
193,204,179,210,158,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
220,215,215,224,198,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
209,208,199,221,181,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 80}"
96,44,47,87,105,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 0}"
125,53,72,118,139,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 10}"
42,223,104,22,43,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 20}"
109,155,138,134,77,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 30}"
122,169,136,130,116,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 40}"
188,168,172,148,202,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 50}"
86,188,150,22,129,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 60}"
164,137,160,169,151,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 70}"
157,159,109,192,99,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 80}"
88,49,58,87,87,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 0}"
2,56,21,2,2,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 10}"
3,80,61,4,4,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 20}"
111,127,100,111,113,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 30}"
51,75,85,27,45,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 40}"
