rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
61,60,60,67,61,"{'learning_rate': 0.001, 'n_estimators': 50}"
60,59,59,65,60,"{'learning_rate': 0.001, 'n_estimators': 75}"
59,58,56,63,58,"{'learning_rate': 0.001, 'n_estimators': 100}"
58,57,58,61,55,"{'learning_rate': 0.001, 'n_estimators': 125}"
56,56,57,60,54,"{'learning_rate': 0.001, 'n_estimators': 150}"
57,55,55,59,57,"{'learning_rate': 0.001, 'n_estimators': 175}"
55,54,54,57,56,"{'learning_rate': 0.001, 'n_estimators': 200}"
53,53,53,56,53,"{'learning_rate': 0.001, 'n_estimators': 225}"
52,52,52,55,52,"{'learning_rate': 0.001, 'n_estimators': 250}"
51,51,51,52,50,"{'learning_rate': 0.01, 'n_estimators': 50}"
50,50,50,51,51,"{'learning_rate': 0.01, 'n_estimators': 75}"
49,49,49,50,47,"{'learning_rate': 0.01, 'n_estimators': 100}"
48,48,48,49,48,"{'learning_rate': 0.01, 'n_estimators': 125}"
46,47,47,48,39,"{'learning_rate': 0.01, 'n_estimators': 150}"
47,46,45,47,49,"{'learning_rate': 0.01, 'n_estimators': 175}"
44,43,44,45,40,"{'learning_rate': 0.01, 'n_estimators': 200}"
43,40,43,43,43,"{'learning_rate': 0.01, 'n_estimators': 225}"
42,38,42,42,29,"{'learning_rate': 0.01, 'n_estimators': 250}"
45,44,46,45,46,"{'learning_rate': 0.05, 'n_estimators': 50}"
41,37,40,40,42,"{'learning_rate': 0.05, 'n_estimators': 75}"
37,29,36,37,31,"{'learning_rate': 0.05, 'n_estimators': 100}"
34,18,35,34,20,"{'learning_rate': 0.05, 'n_estimators': 125}"
27,13,28,28,5,"{'learning_rate': 0.05, 'n_estimators': 150}"
24,6,21,23,8,"{'learning_rate': 0.05, 'n_estimators': 175}"
22,22,23,21,24,"{'learning_rate': 0.05, 'n_estimators': 200}"
13,3,15,14,6,"{'learning_rate': 0.05, 'n_estimators': 225}"
14,7,13,15,10,"{'learning_rate': 0.05, 'n_estimators': 250}"
40,41,41,41,15,"{'learning_rate': 0.07, 'n_estimators': 50}"
38,31,38,38,28,"{'learning_rate': 0.07, 'n_estimators': 75}"
29,23,33,30,1,"{'learning_rate': 0.07, 'n_estimators': 100}"
21,15,24,24,2,"{'learning_rate': 0.07, 'n_estimators': 125}"
20,8,20,20,18,"{'learning_rate': 0.07, 'n_estimators': 150}"
16,14,18,18,4,"{'learning_rate': 0.07, 'n_estimators': 175}"
17,20,19,17,22,"{'learning_rate': 0.07, 'n_estimators': 200}"
6,16,10,10,7,"{'learning_rate': 0.07, 'n_estimators': 225}"
10,9,11,11,21,"{'learning_rate': 0.07, 'n_estimators': 250}"
39,33,39,39,33,"{'learning_rate': 0.1, 'n_estimators': 50}"
33,19,29,33,12,"{'learning_rate': 0.1, 'n_estimators': 75}"
25,11,22,24,23,"{'learning_rate': 0.1, 'n_estimators': 100}"
19,12,16,16,27,"{'learning_rate': 0.1, 'n_estimators': 125}"
15,10,17,12,41,"{'learning_rate': 0.1, 'n_estimators': 150}"
5,2,5,6,19,"{'learning_rate': 0.1, 'n_estimators': 175}"
9,4,7,8,30,"{'learning_rate': 0.1, 'n_estimators': 200}"
4,1,4,3,32,"{'learning_rate': 0.1, 'n_estimators': 225}"
1,5,2,2,14,"{'learning_rate': 0.1, 'n_estimators': 250}"
36,39,34,36,11,"{'learning_rate': 0.2, 'n_estimators': 50}"
30,34,27,29,13,"{'learning_rate': 0.2, 'n_estimators': 75}"
18,30,14,19,17,"{'learning_rate': 0.2, 'n_estimators': 100}"
12,28,12,13,9,"{'learning_rate': 0.2, 'n_estimators': 125}"
3,26,9,7,3,"{'learning_rate': 0.2, 'n_estimators': 150}"
7,24,8,5,37,"{'learning_rate': 0.2, 'n_estimators': 175}"
11,17,3,8,44,"{'learning_rate': 0.2, 'n_estimators': 200}"
2,21,1,1,34,"{'learning_rate': 0.2, 'n_estimators': 225}"
8,25,6,4,45,"{'learning_rate': 0.2, 'n_estimators': 250}"
32,36,32,31,26,"{'learning_rate': 0.5, 'n_estimators': 50}"
22,32,25,21,24,"{'learning_rate': 0.5, 'n_estimators': 75}"
54,61,61,53,59,"{'learning_rate': 0.5, 'n_estimators': 100}"
62,62,62,64,62,"{'learning_rate': 0.5, 'n_estimators': 125}"
64,64,64,70,64,"{'learning_rate': 0.5, 'n_estimators': 150}"
73,70,70,73,70,"{'learning_rate': 0.5, 'n_estimators': 175}"
70,72,72,76,72,"{'learning_rate': 0.5, 'n_estimators': 200}"
67,66,67,72,66,"{'learning_rate': 0.5, 'n_estimators': 225}"
77,68,68,57,68,"{'learning_rate': 0.5, 'n_estimators': 250}"
31,35,31,32,16,"{'learning_rate': 0.75, 'n_estimators': 50}"
26,27,26,26,38,"{'learning_rate': 0.75, 'n_estimators': 75}"
63,63,63,66,63,"{'learning_rate': 0.75, 'n_estimators': 100}"
76,78,79,77,78,"{'learning_rate': 0.75, 'n_estimators': 125}"
71,73,73,80,73,"{'learning_rate': 0.75, 'n_estimators': 150}"
80,79,80,62,79,"{'learning_rate': 0.75, 'n_estimators': 175}"
66,67,66,54,67,"{'learning_rate': 0.75, 'n_estimators': 200}"
81,80,78,44,80,"{'learning_rate': 0.75, 'n_estimators': 225}"
78,75,75,68,75,"{'learning_rate': 0.75, 'n_estimators': 250}"
35,45,37,35,36,"{'learning_rate': 1.0, 'n_estimators': 50}"
28,42,30,27,35,"{'learning_rate': 1.0, 'n_estimators': 75}"
65,65,65,71,65,"{'learning_rate': 1.0, 'n_estimators': 100}"
