rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
37,71,99,44,23,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
208,147,217,196,197,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
207,85,211,202,164,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
173,195,206,185,122,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
166,152,193,185,57,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
225,180,219,225,193,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
166,113,205,185,57,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
220,196,210,223,130,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
168,173,187,191,39,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
37,65,100,44,23,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
169,140,160,153,205,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
106,117,90,134,37,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
132,151,130,119,174,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
102,114,141,109,114,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
35,107,148,18,128,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
118,149,189,134,53,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
103,111,121,119,52,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
150,189,177,168,55,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
50,53,159,18,144,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
177,199,137,153,212,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
105,169,54,109,134,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
100,121,81,26,167,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
119,178,91,119,135,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
96,188,114,109,51,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
136,154,88,134,153,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
191,179,156,176,195,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
131,213,155,143,116,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
37,68,105,44,23,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
112,162,71,119,115,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
12,174,128,8,142,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
175,79,80,143,218,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
149,95,140,119,211,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
148,219,162,143,179,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
130,201,135,109,188,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
7,197,150,2,163,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
119,212,111,44,186,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
37,68,104,44,23,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
37,63,94,44,23,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
37,72,106,44,23,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
37,67,101,44,23,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
