rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
11,99,66,8,51,{'max_depth': None}
150,150,149,150,150,{'max_depth': 1}
149,149,150,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,141,{'max_depth': 10}
140,140,140,140,140,{'max_depth': 11}
139,139,139,139,139,{'max_depth': 12}
138,138,138,138,138,{'max_depth': 13}
137,137,137,137,137,{'max_depth': 14}
136,136,136,136,135,{'max_depth': 15}
135,135,135,135,117,{'max_depth': 16}
134,134,134,134,123,{'max_depth': 17}
133,133,133,133,128,{'max_depth': 18}
132,132,132,132,83,{'max_depth': 19}
131,130,131,131,2,{'max_depth': 20}
130,131,130,130,9,{'max_depth': 21}
129,118,129,129,6,{'max_depth': 22}
128,127,128,128,47,{'max_depth': 23}
127,117,127,127,41,{'max_depth': 24}
126,126,126,126,77,{'max_depth': 25}
124,90,115,125,12,{'max_depth': 26}
121,32,116,124,27,{'max_depth': 27}
119,109,120,122,50,{'max_depth': 28}
68,56,61,119,1,{'max_depth': 29}
112,59,96,122,14,{'max_depth': 30}
38,46,14,72,10,{'max_depth': 31}
85,23,63,101,48,{'max_depth': 32}
122,40,74,121,118,{'max_depth': 33}
85,95,69,101,48,{'max_depth': 34}
108,114,92,110,97,{'max_depth': 35}
82,74,25,72,88,{'max_depth': 36}
44,73,70,50,35,{'max_depth': 37}
103,71,12,93,111,{'max_depth': 38}
62,7,59,42,81,{'max_depth': 39}
15,86,6,26,18,{'max_depth': 40}
94,123,87,93,91,{'max_depth': 41}
125,57,99,120,136,{'max_depth': 42}
109,108,114,101,113,{'max_depth': 43}
116,78,16,116,115,{'max_depth': 44}
73,107,103,72,66,{'max_depth': 45}
92,9,13,101,72,{'max_depth': 46}
98,80,33,89,110,{'max_depth': 47}
44,16,23,50,35,{'max_depth': 48}
72,63,18,42,104,{'max_depth': 49}
73,94,35,72,66,{'max_depth': 50}
89,21,45,72,107,{'max_depth': 51}
18,96,8,12,54,{'max_depth': 52}
118,87,77,114,128,{'max_depth': 53}
28,48,105,34,31,{'max_depth': 54}
78,115,47,64,86,{'max_depth': 55}
9,12,1,16,17,{'max_depth': 56}
101,120,20,101,95,{'max_depth': 57}
93,97,89,64,122,{'max_depth': 58}
87,58,26,64,105,{'max_depth': 59}
17,10,3,50,5,{'max_depth': 60}
110,76,67,93,127,{'max_depth': 61}
32,18,36,50,20,{'max_depth': 62}
14,66,57,6,75,{'max_depth': 63}
11,84,56,8,51,{'max_depth': 64}
41,31,2,16,99,{'max_depth': 65}
71,20,22,93,24,{'max_depth': 66}
50,82,39,42,62,{'max_depth': 67}
94,61,122,93,91,{'max_depth': 68}
20,11,4,26,28,{'max_depth': 69}
65,51,97,72,45,{'max_depth': 70}
41,67,62,16,99,{'max_depth': 71}
113,44,19,101,130,{'max_depth': 72}
44,92,104,50,35,{'max_depth': 73}
11,26,29,8,51,{'max_depth': 74}
82,93,73,72,88,{'max_depth': 75}
113,34,112,101,130,{'max_depth': 76}
44,30,68,50,35,{'max_depth': 77}
56,112,100,64,41,{'max_depth': 78}
89,38,76,72,107,{'max_depth': 79}
28,4,10,34,31,{'max_depth': 80}
103,100,81,93,111,{'max_depth': 81}
1,98,27,1,7,{'max_depth': 82}
94,64,42,93,91,{'max_depth': 83}
40,101,80,26,78,{'max_depth': 84}
80,14,34,89,71,{'max_depth': 85}
31,29,11,26,59,{'max_depth': 86}
94,27,90,93,91,{'max_depth': 87}
6,1,38,6,25,{'max_depth': 88}
23,17,32,16,55,{'max_depth': 89}
32,106,98,50,20,{'max_depth': 90}
3,81,31,2,8,{'max_depth': 91}
54,50,78,72,23,{'max_depth': 92}
16,55,7,3,98,{'max_depth': 93}
113,122,125,101,130,{'max_depth': 94}
69,110,86,50,83,{'max_depth': 95}
69,128,110,50,83,{'max_depth': 96}
32,49,24,50,20,{'max_depth': 97}
52,119,108,34,79,{'max_depth': 98}
65,15,94,72,45,{'max_depth': 99}
44,53,44,50,35,{'max_depth': 100}
64,91,30,34,103,{'max_depth': 101}
73,13,41,72,66,{'max_depth': 102}
67,75,54,26,120,{'max_depth': 103}
36,36,88,34,60,{'max_depth': 104}
101,8,124,101,95,{'max_depth': 105}
106,25,53,89,125,{'max_depth': 106}
19,42,28,8,76,{'max_depth': 107}
100,72,84,72,123,{'max_depth': 108}
111,33,49,110,114,{'max_depth': 109}
23,104,117,16,55,{'max_depth': 110}
78,102,46,64,86,{'max_depth': 111}
60,70,48,50,64,{'max_depth': 112}
27,79,37,42,19,{'max_depth': 113}
60,60,85,50,64,{'max_depth': 114}
99,83,121,110,73,{'max_depth': 115}
2,111,40,3,3,{'max_depth': 116}
87,24,50,64,105,{'max_depth': 117}
116,5,82,116,115,{'max_depth': 118}
36,121,93,34,60,{'max_depth': 119}
5,43,71,16,4,{'max_depth': 120}
20,125,119,26,28,{'max_depth': 121}
20,3,95,26,28,{'max_depth': 122}
23,28,52,16,55,{'max_depth': 123}
56,69,64,64,41,{'max_depth': 124}
56,54,72,64,41,{'max_depth': 125}
73,37,118,72,66,{'max_depth': 126}
7,116,21,12,15,{'max_depth': 127}
10,124,91,12,26,{'max_depth': 128}
105,35,107,114,74,{'max_depth': 129}
23,47,15,16,55,{'max_depth': 130}
4,41,43,3,13,{'max_depth': 131}
7,6,5,12,15,{'max_depth': 132}
106,113,101,89,125,{'max_depth': 133}
41,45,106,16,99,{'max_depth': 134}
52,68,109,34,79,{'max_depth': 135}
44,22,17,50,35,{'max_depth': 136}
35,85,60,42,34,{'max_depth': 137}
123,89,83,116,134,{'max_depth': 138}
81,77,55,42,121,{'max_depth': 139}
73,19,65,72,66,{'max_depth': 140}
82,2,79,72,88,{'max_depth': 141}
62,105,102,42,81,{'max_depth': 142}
38,103,58,72,10,{'max_depth': 143}
59,52,113,16,119,{'max_depth': 144}
28,39,9,34,31,{'max_depth': 145}
55,65,51,26,102,{'max_depth': 146}
89,88,123,72,107,{'max_depth': 147}
50,129,111,42,62,{'max_depth': 148}
120,62,75,110,133,{'max_depth': 149}
