rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
115,82,59,102,132,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
148,149,149,149,148,{'max_depth': 2}
149,148,148,148,149,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,141,{'max_depth': 10}
140,140,140,140,140,{'max_depth': 11}
139,139,139,139,139,{'max_depth': 12}
138,138,138,138,118,{'max_depth': 13}
137,137,137,137,137,{'max_depth': 14}
136,136,136,136,126,{'max_depth': 15}
135,134,135,135,16,{'max_depth': 16}
134,135,134,134,47,{'max_depth': 17}
133,133,133,133,13,{'max_depth': 18}
132,121,132,132,6,{'max_depth': 19}
130,108,131,130,99,{'max_depth': 20}
131,130,130,131,110,{'max_depth': 21}
129,54,115,129,34,{'max_depth': 22}
128,85,101,128,72,{'max_depth': 23}
124,4,72,127,43,{'max_depth': 24}
76,49,30,116,4,{'max_depth': 25}
52,60,77,87,8,{'max_depth': 26}
122,126,111,124,95,{'max_depth': 27}
116,3,14,123,59,{'max_depth': 28}
83,41,58,102,33,{'max_depth': 29}
45,32,7,57,26,{'max_depth': 30}
47,25,44,68,15,{'max_depth': 31}
16,1,31,13,40,{'max_depth': 32}
116,100,50,117,94,{'max_depth': 33}
60,63,97,68,53,{'max_depth': 34}
89,77,39,102,58,{'max_depth': 35}
119,18,78,117,111,{'max_depth': 36}
19,84,35,19,20,{'max_depth': 37}
91,13,38,80,102,{'max_depth': 38}
123,87,40,117,133,{'max_depth': 39}
6,19,45,4,36,{'max_depth': 40}
10,42,36,8,18,{'max_depth': 41}
85,11,12,68,101,{'max_depth': 42}
25,26,16,24,22,{'max_depth': 43}
40,12,68,57,14,{'max_depth': 44}
60,27,1,68,53,{'max_depth': 45}
13,115,32,8,38,{'max_depth': 46}
110,75,84,102,121,{'max_depth': 47}
72,65,65,80,56,{'max_depth': 48}
102,128,71,80,128,{'max_depth': 49}
116,90,57,112,123,{'max_depth': 50}
2,123,69,2,34,{'max_depth': 51}
108,9,87,87,130,{'max_depth': 52}
70,98,126,68,70,{'max_depth': 53}
93,72,90,87,89,{'max_depth': 54}
53,107,129,30,114,{'max_depth': 55}
45,24,22,57,26,{'max_depth': 56}
93,15,82,87,89,{'max_depth': 57}
50,80,28,68,28,{'max_depth': 58}
104,74,98,87,119,{'max_depth': 59}
27,48,55,24,45,{'max_depth': 60}
33,81,3,30,46,{'max_depth': 61}
8,91,116,19,2,{'max_depth': 62}
36,17,26,37,47,{'max_depth': 63}
101,118,122,102,93,{'max_depth': 64}
12,109,104,4,78,{'max_depth': 65}
65,5,8,45,97,{'max_depth': 66}
30,31,92,24,61,{'max_depth': 67}
30,45,18,24,61,{'max_depth': 68}
102,131,112,80,128,{'max_depth': 69}
91,47,108,80,102,{'max_depth': 70}
57,46,61,57,67,{'max_depth': 71}
22,34,53,8,79,{'max_depth': 72}
57,102,89,57,67,{'max_depth': 73}
97,10,64,102,76,{'max_depth': 74}
28,23,23,30,23,{'max_depth': 75}
16,40,46,13,40,{'max_depth': 76}
78,70,88,45,115,{'max_depth': 77}
24,111,48,19,43,{'max_depth': 78}
54,94,51,37,96,{'max_depth': 79}
42,38,9,37,65,{'max_depth': 80}
119,119,118,117,111,{'max_depth': 81}
50,37,5,68,28,{'max_depth': 82}
39,7,15,45,25,{'max_depth': 83}
35,76,63,30,64,{'max_depth': 84}
55,16,52,45,82,{'max_depth': 85}
112,8,56,112,107,{'max_depth': 86}
6,30,17,4,36,{'max_depth': 87}
67,105,86,57,84,{'max_depth': 88}
3,93,62,3,17,{'max_depth': 89}
86,35,19,87,73,{'max_depth': 90}
81,113,41,68,87,{'max_depth': 91}
121,51,43,122,113,{'max_depth': 92}
11,110,70,13,10,{'max_depth': 93}
86,97,121,87,73,{'max_depth': 94}
86,69,83,87,73,{'max_depth': 95}
65,64,120,45,97,{'max_depth': 96}
93,125,107,87,89,{'max_depth': 97}
126,122,128,124,134,{'max_depth': 98}
16,28,13,13,40,{'max_depth': 99}
15,73,34,13,19,{'max_depth': 100}
19,78,21,19,20,{'max_depth': 101}
67,52,37,57,84,{'max_depth': 102}
21,68,24,24,11,{'max_depth': 103}
57,114,60,57,67,{'max_depth': 104}
81,57,96,68,87,{'max_depth': 105}
67,103,75,57,84,{'max_depth': 106}
63,22,113,80,30,{'max_depth': 107}
30,55,81,24,61,{'max_depth': 108}
99,71,109,68,127,{'max_depth': 109}
43,44,6,45,51,{'max_depth': 110}
55,62,95,45,82,{'max_depth': 111}
104,43,91,87,119,{'max_depth': 112}
84,120,74,57,117,{'max_depth': 113}
41,56,67,30,80,{'max_depth': 114}
36,66,123,37,47,{'max_depth': 115}
43,36,42,45,51,{'max_depth': 116}
108,92,73,87,130,{'max_depth': 117}
70,29,117,68,70,{'max_depth': 118}
8,21,10,19,2,{'max_depth': 119}
1,99,2,1,1,{'max_depth': 120}
112,20,47,112,107,{'max_depth': 121}
64,116,125,30,124,{'max_depth': 122}
77,14,11,37,125,{'max_depth': 123}
49,96,99,45,66,{'max_depth': 124}
90,79,85,45,135,{'max_depth': 125}
125,50,79,117,136,{'max_depth': 126}
127,106,100,126,138,{'max_depth': 127}
100,39,25,87,104,{'max_depth': 128}
23,112,29,13,60,{'max_depth': 129}
34,6,105,45,12,{'max_depth': 130}
28,132,94,30,23,{'max_depth': 131}
80,59,102,57,99,{'max_depth': 132}
112,104,103,112,107,{'max_depth': 133}
26,83,54,37,7,{'max_depth': 134}
5,2,4,8,5,{'max_depth': 135}
74,124,76,87,31,{'max_depth': 136}
106,86,127,102,105,{'max_depth': 137}
97,61,124,102,76,{'max_depth': 138}
60,101,106,68,53,{'max_depth': 139}
36,127,20,37,47,{'max_depth': 140}
74,117,49,87,31,{'max_depth': 141}
48,95,80,37,81,{'max_depth': 142}
72,89,110,80,56,{'max_depth': 143}
13,58,93,8,38,{'max_depth': 144}
106,129,119,102,105,{'max_depth': 145}
4,33,27,7,9,{'max_depth': 146}
78,53,33,45,115,{'max_depth': 147}
110,67,114,102,121,{'max_depth': 148}
93,88,66,87,89,{'max_depth': 149}
