rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
8,9,22,2,52,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
11,75,24,6,31,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
3,7,1,1,16,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
14,46,9,10,34,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
20,44,11,15,57,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
2,15,5,6,2,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
10,32,7,10,18,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
29,1,6,21,59,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
9,23,16,17,7,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
25,12,2,15,72,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
41,10,3,42,48,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
36,73,29,29,60,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
15,42,4,17,19,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
13,61,32,4,54,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
6,30,19,10,6,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
31,88,30,26,39,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
4,50,34,10,3,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
22,16,40,10,71,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
24,5,18,21,38,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
40,24,17,31,78,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
1,43,28,3,5,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
5,28,10,4,9,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
28,14,21,17,74,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
16,4,8,25,8,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
19,80,25,21,21,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
7,17,20,6,11,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
21,8,33,20,37,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
44,87,36,40,63,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
55,74,47,55,36,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
33,37,15,31,45,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
34,34,35,35,28,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
47,55,45,45,65,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
26,48,27,26,24,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
11,29,12,6,31,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
26,13,37,26,24,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
32,77,26,29,42,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
23,38,38,35,4,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
45,69,43,45,50,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
38,53,39,35,46,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
39,40,13,40,47,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
53,36,55,54,34,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
47,6,31,45,65,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
17,3,23,21,12,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
30,57,46,33,14,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
52,86,50,49,54,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
70,11,57,58,83,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
60,22,52,58,58,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
49,89,49,42,81,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
79,21,42,63,89,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
18,26,44,35,1,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
