rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
70,30,10,71,75,{'max_depth': None}
150,150,150,140,150,{'max_depth': 1}
149,149,149,142,149,{'max_depth': 2}
147,148,148,149,147,{'max_depth': 3}
148,147,147,150,148,{'max_depth': 4}
146,146,146,148,146,{'max_depth': 5}
145,145,145,147,145,{'max_depth': 6}
144,144,144,146,144,{'max_depth': 7}
143,143,143,145,143,{'max_depth': 8}
142,142,142,144,142,{'max_depth': 9}
141,141,141,143,141,{'max_depth': 10}
140,140,140,141,140,{'max_depth': 11}
139,139,139,139,139,{'max_depth': 12}
138,138,138,138,135,{'max_depth': 13}
137,137,137,137,138,{'max_depth': 14}
136,136,136,136,137,{'max_depth': 15}
135,135,135,135,51,{'max_depth': 16}
134,134,134,134,55,{'max_depth': 17}
133,132,133,133,59,{'max_depth': 18}
132,133,132,132,74,{'max_depth': 19}
131,131,131,131,91,{'max_depth': 20}
130,130,130,130,5,{'max_depth': 21}
129,128,129,129,28,{'max_depth': 22}
128,127,128,128,57,{'max_depth': 23}
127,117,127,127,111,{'max_depth': 24}
126,129,125,126,85,{'max_depth': 25}
125,126,126,125,81,{'max_depth': 26}
115,124,113,124,12,{'max_depth': 27}
116,122,122,112,112,{'max_depth': 28}
96,67,123,119,9,{'max_depth': 29}
96,32,2,119,9,{'max_depth': 30}
99,72,53,116,30,{'max_depth': 31}
57,16,8,54,68,{'max_depth': 32}
116,25,62,112,112,{'max_depth': 33}
122,65,94,116,131,{'max_depth': 34}
70,98,104,71,75,{'max_depth': 35}
70,46,76,71,75,{'max_depth': 36}
81,116,97,84,82,{'max_depth': 37}
49,115,36,34,66,{'max_depth': 38}
68,29,115,84,50,{'max_depth': 39}
45,51,19,54,45,{'max_depth': 40}
113,50,102,104,128,{'max_depth': 41}
108,2,12,71,133,{'max_depth': 42}
38,80,111,22,62,{'max_depth': 43}
9,40,21,4,31,{'max_depth': 44}
63,43,38,34,94,{'max_depth': 45}
84,81,58,71,100,{'max_depth': 46}
77,114,84,92,52,{'max_depth': 47}
91,109,29,92,86,{'max_depth': 48}
32,15,16,34,39,{'max_depth': 49}
57,89,64,54,68,{'max_depth': 50}
38,33,18,22,62,{'max_depth': 51}
84,85,42,71,100,{'max_depth': 52}
11,100,47,9,14,{'max_depth': 53}
100,49,17,92,103,{'max_depth': 54}
32,108,46,34,39,{'max_depth': 55}
32,79,57,34,39,{'max_depth': 56}
112,26,81,116,90,{'max_depth': 57}
25,113,106,22,35,{'max_depth': 58}
124,99,7,122,132,{'max_depth': 59}
77,11,22,92,52,{'max_depth': 60}
52,58,72,22,92,{'max_depth': 61}
42,14,20,71,24,{'max_depth': 62}
32,36,14,34,39,{'max_depth': 63}
81,125,120,84,82,{'max_depth': 64}
32,52,11,34,39,{'max_depth': 65}
10,7,34,12,7,{'max_depth': 66}
31,90,24,54,23,{'max_depth': 67}
81,31,23,84,82,{'max_depth': 68}
42,120,99,71,24,{'max_depth': 69}
25,47,95,22,35,{'max_depth': 70}
20,61,96,34,18,{'max_depth': 71}
86,45,9,54,121,{'max_depth': 72}
86,53,79,54,121,{'max_depth': 73}
116,64,109,112,112,{'max_depth': 74}
70,97,105,71,75,{'max_depth': 75}
104,55,48,84,126,{'max_depth': 76}
57,101,66,54,68,{'max_depth': 77}
29,6,15,12,60,{'max_depth': 78}
57,86,85,54,68,{'max_depth': 79}
18,78,61,12,33,{'max_depth': 80}
109,119,117,92,127,{'max_depth': 81}
113,104,70,104,128,{'max_depth': 82}
105,93,52,104,107,{'max_depth': 83}
32,106,32,34,39,{'max_depth': 84}
25,70,119,22,35,{'max_depth': 85}
54,41,59,71,49,{'max_depth': 86}
17,73,110,22,17,{'max_depth': 87}
5,121,45,12,2,{'max_depth': 88}
86,75,107,54,121,{'max_depth': 89}
86,69,86,54,121,{'max_depth': 90}
45,8,27,54,45,{'max_depth': 91}
29,22,13,12,60,{'max_depth': 92}
38,95,100,22,62,{'max_depth': 93}
120,118,116,92,136,{'max_depth': 94}
45,87,93,54,45,{'max_depth': 95}
77,82,73,92,52,{'max_depth': 96}
100,13,54,92,103,{'max_depth': 97}
105,48,88,104,107,{'max_depth': 98}
91,37,6,92,86,{'max_depth': 99}
94,24,87,112,29,{'max_depth': 100}
3,111,90,4,3,{'max_depth': 101}
91,21,80,92,86,{'max_depth': 102}
45,110,25,54,45,{'max_depth': 103}
55,84,74,12,117,{'max_depth': 104}
6,68,103,9,6,{'max_depth': 105}
14,71,75,9,32,{'max_depth': 106}
20,62,41,34,18,{'max_depth': 107}
119,56,89,110,130,{'max_depth': 108}
123,42,51,122,116,{'max_depth': 109}
15,23,92,34,8,{'max_depth': 110}
18,34,37,12,33,{'max_depth': 111}
76,17,82,54,99,{'max_depth': 112}
20,105,78,34,18,{'max_depth': 113}
57,5,63,54,68,{'max_depth': 114}
55,57,108,12,117,{'max_depth': 115}
69,66,65,22,119,{'max_depth': 116}
98,35,114,104,89,{'max_depth': 117}
3,27,3,4,3,{'max_depth': 118}
111,28,91,84,134,{'max_depth': 119}
12,54,44,12,15,{'max_depth': 120}
100,44,55,92,103,{'max_depth': 121}
12,91,68,12,15,{'max_depth': 122}
51,59,39,84,27,{'max_depth': 123}
110,123,121,110,110,{'max_depth': 124}
7,9,5,3,56,{'max_depth': 125}
20,12,4,34,18,{'max_depth': 126}
70,1,28,71,75,{'max_depth': 127}
63,76,60,34,94,{'max_depth': 128}
63,107,33,34,94,{'max_depth': 129}
16,10,101,7,58,{'max_depth': 130}
38,4,31,22,62,{'max_depth': 131}
95,102,112,84,102,{'max_depth': 132}
42,83,35,71,24,{'max_depth': 133}
70,39,67,71,75,{'max_depth': 134}
20,60,50,34,18,{'max_depth': 135}
