rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
28,33,32,28,16,{'n_estimators': 20}
32,32,33,33,28,{'n_estimators': 30}
31,26,31,31,32,{'n_estimators': 40}
26,30,26,25,25,{'n_estimators': 50}
20,29,29,25,6,{'n_estimators': 60}
3,24,23,4,2,{'n_estimators': 70}
30,25,30,30,31,{'n_estimators': 80}
18,21,28,16,20,{'n_estimators': 90}
16,23,22,16,9,{'n_estimators': 100}
29,3,24,28,27,{'n_estimators': 110}
26,31,25,25,25,{'n_estimators': 120}
6,2,17,4,17,{'n_estimators': 130}
23,28,27,21,22,{'n_estimators': 140}
23,27,21,21,22,{'n_estimators': 150}
2,7,8,2,1,{'n_estimators': 160}
9,15,9,10,8,{'n_estimators': 170}
23,8,15,21,22,{'n_estimators': 180}
8,13,1,10,5,{'n_estimators': 190}
11,18,11,10,11,{'n_estimators': 200}
21,10,12,21,15,{'n_estimators': 210}
33,14,20,32,33,{'n_estimators': 220}
3,4,6,4,2,{'n_estimators': 230}
15,5,13,8,29,{'n_estimators': 240}
6,19,7,4,17,{'n_estimators': 250}
11,20,10,10,11,{'n_estimators': 260}
1,22,16,1,4,{'n_estimators': 270}
11,12,3,10,11,{'n_estimators': 280}
11,17,18,10,11,{'n_estimators': 290}
16,1,2,16,9,{'n_estimators': 300}
18,9,5,16,20,{'n_estimators': 310}
5,11,14,3,7,{'n_estimators': 320}
22,16,19,16,30,{'n_estimators': 330}
10,6,4,8,19,{'n_estimators': 340}
