rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
232,240,240,238,232,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
234,239,239,238,234,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
238,235,235,238,238,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
230,230,229,231,230,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
218,222,220,220,215,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
207,210,206,210,186,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
189,190,191,190,169,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
172,175,174,171,140,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
160,162,159,155,131,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
140,138,141,141,103,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
115,118,124,129,92,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
62,86,86,29,107,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
104,80,38,52,179,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
111,106,54,63,190,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
131,112,69,77,208,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
147,160,104,81,221,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
233,238,238,237,233,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
240,237,237,236,240,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
236,232,232,234,236,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
219,224,224,224,214,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
211,215,215,215,192,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
201,199,199,204,180,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
177,180,181,179,155,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
162,167,165,161,128,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
143,132,146,143,101,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
110,88,128,131,46,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
99,84,101,119,33,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
76,82,81,107,52,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
38,81,37,2,108,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
111,107,55,63,190,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
131,131,82,77,208,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
147,161,109,81,221,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
237,236,236,235,237,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
235,233,233,233,235,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
223,227,227,228,217,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
212,219,219,216,195,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
210,205,205,206,194,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
195,188,189,193,176,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
173,172,172,169,143,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
151,152,154,151,120,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
128,87,135,135,37,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
98,44,113,120,12,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
74,33,63,106,9,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
60,47,40,94,23,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
13,79,39,28,71,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
67,104,53,27,133,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
131,134,83,77,208,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
147,159,103,81,221,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
239,234,234,232,239,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
225,229,230,229,220,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
214,223,223,221,207,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
216,214,214,212,212,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
203,200,200,200,184,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
181,181,182,178,160,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
165,166,167,164,135,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
142,114,148,145,96,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
106,63,129,127,33,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
77,27,84,109,16,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
56,2,23,94,14,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
25,46,31,52,39,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
12,76,36,26,76,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
14,105,52,1,99,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
63,115,68,25,129,"{'C': 0.5, 'gamma': 1024.0, 'kernel': 'rbf'}"
147,158,107,81,221,"{'C': 0.5, 'gamma': 2048.0, 'kernel': 'rbf'}"
228,231,231,230,228,"{'C': 1.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
226,226,226,225,226,"{'C': 1.0, 'gamma': 0.125, 'kernel': 'rbf'}"
221,216,218,217,218,"{'C': 1.0, 'gamma': 0.25, 'kernel': 'rbf'}"
209,206,207,205,189,"{'C': 1.0, 'gamma': 0.5, 'kernel': 'rbf'}"
191,192,192,191,170,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}"
176,174,175,174,158,"{'C': 1.0, 'gamma': 2.0, 'kernel': 'rbf'}"
157,153,156,154,125,"{'C': 1.0, 'gamma': 4.0, 'kernel': 'rbf'}"
129,89,140,137,64,"{'C': 1.0, 'gamma': 8.0, 'kernel': 'rbf'}"
102,36,118,122,65,"{'C': 1.0, 'gamma': 16.0, 'kernel': 'rbf'}"
65,1,67,102,4,"{'C': 1.0, 'gamma': 32.0, 'kernel': 'rbf'}"
37,4,1,80,27,"{'C': 1.0, 'gamma': 64.0, 'kernel': 'rbf'}"
31,59,12,51,66,"{'C': 1.0, 'gamma': 128.0, 'kernel': 'rbf'}"
11,65,34,13,89,"{'C': 1.0, 'gamma': 256.0, 'kernel': 'rbf'}"
40,95,51,13,109,"{'C': 1.0, 'gamma': 512.0, 'kernel': 'rbf'}"
82,133,70,30,144,"{'C': 1.0, 'gamma': 1024.0, 'kernel': 'rbf'}"
114,154,99,66,193,"{'C': 1.0, 'gamma': 2048.0, 'kernel': 'rbf'}"
229,228,228,227,229,"{'C': 2.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
224,220,222,223,225,"{'C': 2.0, 'gamma': 0.125, 'kernel': 'rbf'}"
215,211,212,211,211,"{'C': 2.0, 'gamma': 0.25, 'kernel': 'rbf'}"
206,201,201,199,187,"{'C': 2.0, 'gamma': 0.5, 'kernel': 'rbf'}"
184,184,185,183,164,"{'C': 2.0, 'gamma': 1.0, 'kernel': 'rbf'}"
168,168,168,167,136,"{'C': 2.0, 'gamma': 2.0, 'kernel': 'rbf'}"
146,129,150,149,101,"{'C': 2.0, 'gamma': 4.0, 'kernel': 'rbf'}"
113,64,132,132,35,"{'C': 2.0, 'gamma': 8.0, 'kernel': 'rbf'}"
81,17,111,115,25,"{'C': 2.0, 'gamma': 16.0, 'kernel': 'rbf'}"
61,3,56,96,10,"{'C': 2.0, 'gamma': 32.0, 'kernel': 'rbf'}"
36,8,2,63,51,"{'C': 2.0, 'gamma': 64.0, 'kernel': 'rbf'}"
15,54,16,41,54,"{'C': 2.0, 'gamma': 128.0, 'kernel': 'rbf'}"
1,74,32,3,79,"{'C': 2.0, 'gamma': 256.0, 'kernel': 'rbf'}"
40,94,42,13,109,"{'C': 2.0, 'gamma': 512.0, 'kernel': 'rbf'}"
82,130,80,30,144,"{'C': 2.0, 'gamma': 1024.0, 'kernel': 'rbf'}"
117,141,89,67,196,"{'C': 2.0, 'gamma': 2048.0, 'kernel': 'rbf'}"
231,225,225,226,231,"{'C': 4.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
222,217,217,218,219,"{'C': 4.0, 'gamma': 0.125, 'kernel': 'rbf'}"
208,207,208,209,188,"{'C': 4.0, 'gamma': 0.25, 'kernel': 'rbf'}"
