rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
53,53,50,49,53,"{'max_depth': 3, 'min_child_weight': 1}"
52,51,51,54,51,"{'max_depth': 3, 'min_child_weight': 2}"
51,50,53,50,52,"{'max_depth': 3, 'min_child_weight': 3}"
49,52,54,51,49,"{'max_depth': 3, 'min_child_weight': 4}"
50,49,49,52,50,"{'max_depth': 3, 'min_child_weight': 5}"
54,54,52,53,54,"{'max_depth': 3, 'min_child_weight': 6}"
43,44,43,43,8,"{'max_depth': 4, 'min_child_weight': 1}"
46,45,48,47,36,"{'max_depth': 4, 'min_child_weight': 2}"
48,48,45,48,48,"{'max_depth': 4, 'min_child_weight': 3}"
45,47,46,44,45,"{'max_depth': 4, 'min_child_weight': 4}"
44,46,47,45,40,"{'max_depth': 4, 'min_child_weight': 5}"
47,43,44,46,46,"{'max_depth': 4, 'min_child_weight': 6}"
40,35,38,38,47,"{'max_depth': 5, 'min_child_weight': 1}"
37,41,37,37,5,"{'max_depth': 5, 'min_child_weight': 2}"
41,42,41,40,43,"{'max_depth': 5, 'min_child_weight': 3}"
42,39,42,42,29,"{'max_depth': 5, 'min_child_weight': 4}"
39,40,40,39,34,"{'max_depth': 5, 'min_child_weight': 5}"
38,38,39,41,6,"{'max_depth': 5, 'min_child_weight': 6}"
32,32,30,31,28,"{'max_depth': 6, 'min_child_weight': 1}"
31,36,33,31,23,"{'max_depth': 6, 'min_child_weight': 2}"
33,29,32,33,25,"{'max_depth': 6, 'min_child_weight': 3}"
34,34,35,35,26,"{'max_depth': 6, 'min_child_weight': 4}"
35,33,34,34,36,"{'max_depth': 6, 'min_child_weight': 5}"
36,37,36,36,33,"{'max_depth': 6, 'min_child_weight': 6}"
22,19,22,18,19,"{'max_depth': 7, 'min_child_weight': 1}"
26,30,28,29,14,"{'max_depth': 7, 'min_child_weight': 2}"
28,20,24,28,18,"{'max_depth': 7, 'min_child_weight': 3}"
14,14,23,25,1,"{'max_depth': 7, 'min_child_weight': 4}"
30,31,31,30,35,"{'max_depth': 7, 'min_child_weight': 5}"
19,24,29,26,3,"{'max_depth': 7, 'min_child_weight': 6}"
12,5,10,6,32,"{'max_depth': 8, 'min_child_weight': 1}"
17,4,12,15,24,"{'max_depth': 8, 'min_child_weight': 2}"
21,28,18,23,10,"{'max_depth': 8, 'min_child_weight': 3}"
27,22,21,24,31,"{'max_depth': 8, 'min_child_weight': 4}"
29,17,26,27,22,"{'max_depth': 8, 'min_child_weight': 5}"
13,26,27,22,7,"{'max_depth': 8, 'min_child_weight': 6}"
24,16,6,16,41,"{'max_depth': 9, 'min_child_weight': 1}"
5,7,3,10,12,"{'max_depth': 9, 'min_child_weight': 2}"
3,11,17,5,11,"{'max_depth': 9, 'min_child_weight': 3}"
22,23,25,18,19,"{'max_depth': 9, 'min_child_weight': 4}"
9,13,19,17,4,"{'max_depth': 9, 'min_child_weight': 5}"
15,18,20,18,9,"{'max_depth': 9, 'min_child_weight': 6}"
18,6,2,6,44,"{'max_depth': 10, 'min_child_weight': 1}"
2,1,5,2,15,"{'max_depth': 10, 'min_child_weight': 2}"
4,2,7,3,21,"{'max_depth': 10, 'min_child_weight': 3}"
5,9,4,10,12,"{'max_depth': 10, 'min_child_weight': 4}"
7,3,14,8,16,"{'max_depth': 10, 'min_child_weight': 5}"
25,27,15,18,42,"{'max_depth': 10, 'min_child_weight': 6}"
1,10,1,1,2,"{'max_depth': 12, 'min_child_weight': 1}"
10,25,13,3,30,"{'max_depth': 12, 'min_child_weight': 2}"
16,12,11,8,38,"{'max_depth': 12, 'min_child_weight': 3}"
11,15,9,10,26,"{'max_depth': 12, 'min_child_weight': 4}"
8,8,8,10,17,"{'max_depth': 12, 'min_child_weight': 5}"
20,21,16,14,39,"{'max_depth': 12, 'min_child_weight': 6}"
