rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
10,9,8,13,4,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
5,13,2,5,3,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
3,12,4,3,2,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
2,4,15,1,5,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
14,8,12,11,15,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
8,6,10,8,7,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
9,3,5,11,8,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
6,2,3,5,9,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
6,16,9,5,9,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
13,14,16,13,11,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
1,1,1,1,1,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
16,5,7,13,16,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
12,10,13,8,14,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
15,15,14,16,13,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
10,7,11,8,12,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
4,11,6,4,6,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
