rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
11,13,15,12,11,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
2,3,1,4,2,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
16,11,10,14,16,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
15,16,9,15,13,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
12,9,16,11,12,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
6,7,12,7,3,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
7,14,5,4,7,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
1,15,6,1,1,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
8,1,8,9,9,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
5,10,4,2,6,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
3,5,2,2,4,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
14,12,13,13,15,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
13,4,7,15,8,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
10,2,3,8,14,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
8,8,14,9,9,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
4,6,11,4,5,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
