rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
31,81,59,33,22,"{'reg_alpha': 0, 'reg_lambda': 0}"
66,71,56,69,58,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
39,3,22,66,6,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
64,38,72,66,57,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
49,40,44,33,63,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
56,66,38,55,53,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
4,9,4,5,3,"{'reg_alpha': 0, 'reg_lambda': 1}"
16,64,42,16,16,"{'reg_alpha': 0, 'reg_lambda': 2}"
20,32,14,48,5,"{'reg_alpha': 0, 'reg_lambda': 3}"
21,53,49,22,18,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
12,51,46,8,28,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
31,72,65,33,22,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
66,78,68,69,58,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
49,44,70,33,63,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
43,54,24,33,50,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
78,55,37,78,77,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
48,6,34,22,72,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
8,67,51,8,11,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
6,29,67,8,7,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
26,50,25,29,20,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
70,43,50,62,74,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
31,68,54,33,22,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
18,56,47,13,30,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
52,61,48,51,37,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
18,60,13,13,30,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
9,65,77,3,43,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
6,19,11,8,7,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
62,69,69,55,67,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
79,34,71,81,71,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
