rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
82,476,116,65,392,"{'max_bin': 5, 'min_child_samples': 10}"
16,450,105,19,172,"{'max_bin': 5, 'min_child_samples': 20}"
9,513,184,2,231,"{'max_bin': 5, 'min_child_samples': 30}"
30,512,140,45,83,"{'max_bin': 5, 'min_child_samples': 40}"
64,509,194,59,259,"{'max_bin': 5, 'min_child_samples': 50}"
39,503,155,4,473,"{'max_bin': 5, 'min_child_samples': 60}"
47,504,150,45,250,"{'max_bin': 5, 'min_child_samples': 70}"
88,520,282,93,275,"{'max_bin': 5, 'min_child_samples': 80}"
34,444,170,19,311,"{'max_bin': 5, 'min_child_samples': 90}"
5,515,89,19,47,"{'max_bin': 5, 'min_child_samples': 100}"
128,508,72,93,464,"{'max_bin': 5, 'min_child_samples': 110}"
11,514,218,4,234,"{'max_bin': 5, 'min_child_samples': 120}"
85,510,84,77,330,"{'max_bin': 5, 'min_child_samples': 130}"
45,487,115,19,441,"{'max_bin': 5, 'min_child_samples': 140}"
17,518,175,27,129,"{'max_bin': 5, 'min_child_samples': 150}"
116,505,232,93,405,"{'max_bin': 5, 'min_child_samples': 160}"
105,517,277,121,206,"{'max_bin': 5, 'min_child_samples': 170}"
109,492,193,137,152,"{'max_bin': 5, 'min_child_samples': 180}"
277,519,307,236,444,"{'max_bin': 5, 'min_child_samples': 190}"
272,516,330,244,376,"{'max_bin': 5, 'min_child_samples': 200}"
29,318,133,39,133,"{'max_bin': 15, 'min_child_samples': 10}"
32,342,88,13,370,"{'max_bin': 15, 'min_child_samples': 20}"
24,482,125,27,174,"{'max_bin': 15, 'min_child_samples': 30}"
102,61,10,101,280,"{'max_bin': 15, 'min_child_samples': 40}"
17,455,43,27,129,"{'max_bin': 15, 'min_child_samples': 50}"
1,216,11,2,114,"{'max_bin': 15, 'min_child_samples': 60}"
14,380,20,13,240,"{'max_bin': 15, 'min_child_samples': 70}"
82,284,141,65,392,"{'max_bin': 15, 'min_child_samples': 80}"
77,33,25,65,325,"{'max_bin': 15, 'min_child_samples': 90}"
181,308,197,187,228,"{'max_bin': 15, 'min_child_samples': 100}"
218,436,317,199,435,"{'max_bin': 15, 'min_child_samples': 110}"
105,272,181,121,206,"{'max_bin': 15, 'min_child_samples': 120}"
270,273,219,269,256,"{'max_bin': 15, 'min_child_samples': 130}"
223,460,423,217,309,"{'max_bin': 15, 'min_child_samples': 140}"
349,175,265,294,457,"{'max_bin': 15, 'min_child_samples': 150}"
380,430,395,294,498,"{'max_bin': 15, 'min_child_samples': 160}"
319,339,266,269,454,"{'max_bin': 15, 'min_child_samples': 170}"
323,442,247,403,5,"{'max_bin': 15, 'min_child_samples': 180}"
315,261,250,344,99,"{'max_bin': 15, 'min_child_samples': 190}"
371,305,294,380,158,"{'max_bin': 15, 'min_child_samples': 200}"
208,83,87,177,471,"{'max_bin': 25, 'min_child_samples': 10}"
39,379,26,4,473,"{'max_bin': 25, 'min_child_samples': 20}"
186,453,216,160,430,"{'max_bin': 25, 'min_child_samples': 30}"
32,396,211,13,370,"{'max_bin': 25, 'min_child_samples': 40}"
53,500,139,39,376,"{'max_bin': 25, 'min_child_samples': 50}"
172,22,129,177,226,"{'max_bin': 25, 'min_child_samples': 60}"
91,133,206,101,202,"{'max_bin': 25, 'min_child_samples': 70}"
262,336,261,217,475,"{'max_bin': 25, 'min_child_samples': 80}"
201,478,229,199,306,"{'max_bin': 25, 'min_child_samples': 90}"
297,387,333,236,478,"{'max_bin': 25, 'min_child_samples': 100}"
318,412,322,284,390,"{'max_bin': 25, 'min_child_samples': 110}"
226,178,256,236,179,"{'max_bin': 25, 'min_child_samples': 120}"
214,468,402,217,239,"{'max_bin': 25, 'min_child_samples': 130}"
270,315,303,269,256,"{'max_bin': 25, 'min_child_samples': 140}"
203,501,341,217,170,"{'max_bin': 25, 'min_child_samples': 150}"
412,499,373,395,228,"{'max_bin': 25, 'min_child_samples': 160}"
