rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
41,40,53,27,113,"{'max_depth': -1, 'num_leaves': 221}"
44,5,9,39,106,"{'max_depth': -1, 'num_leaves': 231}"
52,12,27,27,122,"{'max_depth': -1, 'num_leaves': 241}"
20,29,44,19,92,"{'max_depth': -1, 'num_leaves': 251}"
5,24,6,1,89,"{'max_depth': -1, 'num_leaves': 261}"
74,34,47,39,137,"{'max_depth': -1, 'num_leaves': 271}"
32,1,5,5,130,"{'max_depth': -1, 'num_leaves': 281}"
57,36,22,32,123,"{'max_depth': -1, 'num_leaves': 291}"
24,22,8,9,110,"{'max_depth': -1, 'num_leaves': 301}"
29,15,13,9,119,"{'max_depth': -1, 'num_leaves': 311}"
56,50,17,14,134,"{'max_depth': -1, 'num_leaves': 321}"
11,42,1,3,102,"{'max_depth': -1, 'num_leaves': 331}"
77,8,15,49,139,"{'max_depth': -1, 'num_leaves': 341}"
41,39,52,27,113,"{'max_depth': 0, 'num_leaves': 221}"
44,6,10,39,106,"{'max_depth': 0, 'num_leaves': 231}"
87,18,35,61,142,"{'max_depth': 0, 'num_leaves': 241}"
20,28,43,19,92,"{'max_depth': 0, 'num_leaves': 251}"
57,10,29,32,123,"{'max_depth': 0, 'num_leaves': 261}"
74,35,48,39,137,"{'max_depth': 0, 'num_leaves': 271}"
72,3,30,32,136,"{'max_depth': 0, 'num_leaves': 281}"
57,37,24,32,123,"{'max_depth': 0, 'num_leaves': 291}"
24,21,7,9,110,"{'max_depth': 0, 'num_leaves': 301}"
29,16,14,9,119,"{'max_depth': 0, 'num_leaves': 311}"
53,72,31,19,132,"{'max_depth': 0, 'num_leaves': 321}"
100,38,25,61,143,"{'max_depth': 0, 'num_leaves': 331}"
32,55,2,5,130,"{'max_depth': 0, 'num_leaves': 341}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 261}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 271}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 281}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 291}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 301}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 311}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 321}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 331}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 341}"
144,145,149,144,144,"{'max_depth': 4, 'num_leaves': 221}"
144,148,145,144,144,"{'max_depth': 4, 'num_leaves': 231}"
144,148,145,144,144,"{'max_depth': 4, 'num_leaves': 241}"
144,152,152,144,144,"{'max_depth': 4, 'num_leaves': 251}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 261}"
144,152,152,144,144,"{'max_depth': 4, 'num_leaves': 271}"
144,145,149,144,144,"{'max_depth': 4, 'num_leaves': 281}"
144,152,152,144,144,"{'max_depth': 4, 'num_leaves': 291}"
144,148,145,144,144,"{'max_depth': 4, 'num_leaves': 301}"
144,145,149,144,144,"{'max_depth': 4, 'num_leaves': 311}"
144,152,152,144,144,"{'max_depth': 4, 'num_leaves': 321}"
144,152,152,144,144,"{'max_depth': 4, 'num_leaves': 331}"
144,148,145,144,144,"{'max_depth': 4, 'num_leaves': 341}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 221}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 231}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 241}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 251}"
131,141,141,131,63,"{'max_depth': 5, 'num_leaves': 261}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 271}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 281}"
131,141,141,131,63,"{'max_depth': 5, 'num_leaves': 291}"
131,141,141,131,63,"{'max_depth': 5, 'num_leaves': 301}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 311}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 321}"
131,131,131,131,63,"{'max_depth': 5, 'num_leaves': 331}"
131,132,132,131,63,"{'max_depth': 5, 'num_leaves': 341}"
118,108,128,118,46,"{'max_depth': 6, 'num_leaves': 221}"
118,111,130,118,46,"{'max_depth': 6, 'num_leaves': 231}"
118,101,118,118,46,"{'max_depth': 6, 'num_leaves': 241}"
118,102,119,118,46,"{'max_depth': 6, 'num_leaves': 251}"
118,106,123,118,46,"{'max_depth': 6, 'num_leaves': 261}"
118,108,128,118,46,"{'max_depth': 6, 'num_leaves': 271}"
118,104,121,118,46,"{'max_depth': 6, 'num_leaves': 281}"
118,107,124,118,46,"{'max_depth': 6, 'num_leaves': 291}"
118,104,121,118,46,"{'max_depth': 6, 'num_leaves': 301}"
118,102,119,118,46,"{'max_depth': 6, 'num_leaves': 311}"
118,112,126,118,46,"{'max_depth': 6, 'num_leaves': 321}"
118,108,125,118,46,"{'max_depth': 6, 'num_leaves': 331}"
118,113,127,118,46,"{'max_depth': 6, 'num_leaves': 341}"
109,125,113,105,25,"{'max_depth': 7, 'num_leaves': 221}"
105,120,109,105,17,"{'max_depth': 7, 'num_leaves': 231}"
109,124,112,105,25,"{'max_depth': 7, 'num_leaves': 241}"
105,118,106,105,17,"{'max_depth': 7, 'num_leaves': 251}"
105,121,107,105,17,"{'max_depth': 7, 'num_leaves': 261}"
109,129,116,105,25,"{'max_depth': 7, 'num_leaves': 271}"
117,122,105,117,21,"{'max_depth': 7, 'num_leaves': 281}"
109,128,111,105,25,"{'max_depth': 7, 'num_leaves': 291}"
109,130,117,105,25,"{'max_depth': 7, 'num_leaves': 301}"
109,123,110,105,25,"{'max_depth': 7, 'num_leaves': 311}"
109,127,115,105,25,"{'max_depth': 7, 'num_leaves': 321}"
109,126,114,105,25,"{'max_depth': 7, 'num_leaves': 331}"
105,119,108,105,17,"{'max_depth': 7, 'num_leaves': 341}"
103,91,101,102,59,"{'max_depth': 8, 'num_leaves': 221}"
96,93,103,101,1,"{'max_depth': 8, 'num_leaves': 231}"
81,97,92,93,3,"{'max_depth': 8, 'num_leaves': 241}"
81,98,93,93,3,"{'max_depth': 8, 'num_leaves': 251}"
97,94,104,102,2,"{'max_depth': 8, 'num_leaves': 261}"
88,115,98,96,8,"{'max_depth': 8, 'num_leaves': 271}"
92,100,97,91,39,"{'max_depth': 8, 'num_leaves': 281}"
88,116,99,96,8,"{'max_depth': 8, 'num_leaves': 291}"
103,92,102,102,59,"{'max_depth': 8, 'num_leaves': 301}"
84,99,94,95,5,"{'max_depth': 8, 'num_leaves': 311}"
88,114,96,96,8,"{'max_depth': 8, 'num_leaves': 321}"
88,117,100,96,8,"{'max_depth': 8, 'num_leaves': 331}"
101,81,95,100,24,"{'max_depth': 8, 'num_leaves': 341}"
37,96,81,80,8,"{'max_depth': 9, 'num_leaves': 221}"
40,70,82,77,22,"{'max_depth': 9, 'num_leaves': 231}"
50,43,72,81,13,"{'max_depth': 9, 'num_leaves': 241}"
98,69,89,89,77,"{'max_depth': 9, 'num_leaves': 251}"
67,95,80,77,45,"{'max_depth': 9, 'num_leaves': 261}"
64,73,85,81,23,"{'max_depth': 9, 'num_leaves': 271}"
98,86,87,89,77,"{'max_depth': 9, 'num_leaves': 281}"
50,20,76,81,13,"{'max_depth': 9, 'num_leaves': 291}"
49,46,88,73,41,"{'max_depth': 9, 'num_leaves': 301}"
95,68,90,88,84,"{'max_depth': 9, 'num_leaves': 311}"
55,88,86,85,15,"{'max_depth': 9, 'num_leaves': 321}"
102,82,91,91,99,"{'max_depth': 9, 'num_leaves': 331}"
73,71,83,85,43,"{'max_depth': 9, 'num_leaves': 341}"
9,63,79,49,35,"{'max_depth': 10, 'num_leaves': 221}"
19,78,70,58,38,"{'max_depth': 10, 'num_leaves': 231}"
39,32,73,70,39,"{'max_depth': 10, 'num_leaves': 241}"
76,90,78,75,88,"{'max_depth': 10, 'num_leaves': 251}"
94,60,84,87,112,"{'max_depth': 10, 'num_leaves': 261}"
15,58,75,49,44,"{'max_depth': 10, 'num_leaves': 271}"
9,7,39,49,35,"{'max_depth': 10, 'num_leaves': 281}"
68,65,68,75,62,"{'max_depth': 10, 'num_leaves': 291}"
13,84,61,67,7,"{'max_depth': 10, 'num_leaves': 301}"
28,41,71,55,76,"{'max_depth': 10, 'num_leaves': 311}"
63,85,77,70,61,"{'max_depth': 10, 'num_leaves': 321}"
66,75,64,69,77,"{'max_depth': 10, 'num_leaves': 331}"
7,77,66,61,6,"{'max_depth': 10, 'num_leaves': 341}"
85,45,63,77,118,"{'max_depth': 11, 'num_leaves': 221}"
71,14,65,70,87,"{'max_depth': 11, 'num_leaves': 231}"
14,89,50,55,37,"{'max_depth': 11, 'num_leaves': 241}"
93,57,74,81,121,"{'max_depth': 11, 'num_leaves': 251}"
44,66,37,39,106,"{'max_depth': 11, 'num_leaves': 261}"
4,31,28,19,34,"{'max_depth': 11, 'num_leaves': 271}"
38,62,45,55,83,"{'max_depth': 11, 'num_leaves': 281}"
34,61,51,39,96,"{'max_depth': 11, 'num_leaves': 291}"
62,80,69,65,86,"{'max_depth': 11, 'num_leaves': 301}"
3,9,58,9,42,"{'max_depth': 11, 'num_leaves': 311}"
