rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
12,1,7,10,35,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
20,10,17,17,37,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
82,55,35,65,86,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
8,7,3,6,32,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
82,55,35,65,86,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
76,13,48,74,72,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
14,77,32,13,14,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
4,19,15,1,30,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
57,79,64,48,67,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
92,96,97,89,80,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
1,4,1,1,2,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
7,6,6,11,10,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
80,45,29,48,99,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
1,4,1,1,2,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
80,45,29,48,99,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
48,74,51,39,64,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
56,21,76,39,78,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
11,22,12,13,11,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
64,83,96,65,57,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
86,93,83,74,79,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
95,86,69,94,90,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
90,80,94,79,95,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
64,36,22,65,57,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
95,86,69,94,90,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
64,36,22,65,57,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
48,98,91,39,64,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
58,91,81,39,84,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
60,65,58,60,68,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
44,26,54,34,62,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
99,94,99,99,97,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
8,7,3,6,32,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
6,3,11,6,24,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
82,55,35,65,86,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
8,7,3,6,32,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
