rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
29,6,30,21,44,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
44,92,50,49,30,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
29,21,54,21,44,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
3,4,16,3,9,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
4,70,23,7,4,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
2,49,6,1,3,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
6,35,49,4,18,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
22,83,42,14,40,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
96,48,79,77,98,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
48,43,58,68,32,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
22,81,40,14,40,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
92,68,46,77,96,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
48,66,8,49,55,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
5,78,72,21,1,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
48,67,9,49,55,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
13,75,26,7,20,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
80,82,99,38,89,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
79,73,25,49,85,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
36,40,13,38,16,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
65,59,91,77,35,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
48,61,68,49,55,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
47,96,67,77,8,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
48,51,28,49,55,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
40,41,11,38,51,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
48,50,27,49,55,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
48,60,76,49,55,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
93,87,96,99,82,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
39,56,57,38,29,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
69,62,90,49,76,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
8,79,38,7,10,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
29,7,31,21,44,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
13,2,5,7,20,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
29,20,53,21,44,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
13,1,17,7,20,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
12,69,64,4,39,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
88,42,62,68,94,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
6,34,48,4,18,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
22,84,43,14,40,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
96,47,78,77,98,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
48,44,59,68,32,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
26,54,18,21,25,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
91,8,75,92,88,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
48,51,28,49,55,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
80,26,45,38,89,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
78,10,63,68,79,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
98,24,41,95,93,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
17,16,55,14,24,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
65,30,22,77,35,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
73,22,66,77,68,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
34,76,80,32,27,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
40,58,65,38,51,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
44,27,7,49,30,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
88,13,83,68,94,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
48,80,33,38,74,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
37,18,35,32,49,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
13,98,71,7,20,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
68,23,73,68,67,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
18,53,44,21,12,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
65,88,32,77,35,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
87,89,95,90,87,"{'reg_alpha': 0.3, 'reg_lambda': 1.0}"
85,90,87,68,86,"{'reg_alpha': 0.5, 'reg_lambda': 1e-05}"
86,99,69,49,91,"{'reg_alpha': 0.5, 'reg_lambda': 0.001}"
22,100,51,14,40,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
82,65,37,92,38,"{'reg_alpha': 0.5, 'reg_lambda': 0.0}"
26,11,12,21,25,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
8,91,20,7,10,"{'reg_alpha': 0.5, 'reg_lambda': 0.3}"
72,86,85,38,84,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
100,31,93,95,100,"{'reg_alpha': 0.5, 'reg_lambda': 0.7}"
34,46,10,32,27,"{'reg_alpha': 0.5, 'reg_lambda': 0.9}"
73,57,86,77,68,"{'reg_alpha': 0.5, 'reg_lambda': 1.0}"
99,74,97,95,97,"{'reg_alpha': 0.7, 'reg_lambda': 1e-05}"
95,5,94,92,92,"{'reg_alpha': 0.7, 'reg_lambda': 0.001}"
18,33,1,21,12,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
73,19,56,77,68,"{'reg_alpha': 0.7, 'reg_lambda': 0.0}"
18,32,2,21,12,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
48,72,15,38,74,"{'reg_alpha': 0.7, 'reg_lambda': 0.3}"
29,97,100,21,44,"{'reg_alpha': 0.7, 'reg_lambda': 0.5}"
37,93,84,32,49,"{'reg_alpha': 0.7, 'reg_lambda': 0.7}"
83,45,77,90,73,"{'reg_alpha': 0.7, 'reg_lambda': 0.9}"
48,15,70,49,55,"{'reg_alpha': 0.7, 'reg_lambda': 1.0}"
69,28,61,49,76,"{'reg_alpha': 0.9, 'reg_lambda': 1e-05}"
46,9,52,68,17,"{'reg_alpha': 0.9, 'reg_lambda': 0.001}"
10,63,3,14,5,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
69,29,60,49,76,"{'reg_alpha': 0.9, 'reg_lambda': 0.0}"
10,64,4,14,5,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
73,36,74,77,68,"{'reg_alpha': 0.9, 'reg_lambda': 0.3}"
40,14,21,38,51,"{'reg_alpha': 0.9, 'reg_lambda': 0.5}"
28,37,19,32,15,"{'reg_alpha': 0.9, 'reg_lambda': 0.7}"
48,77,82,68,32,"{'reg_alpha': 0.9, 'reg_lambda': 0.9}"
90,38,81,95,81,"{'reg_alpha': 0.9, 'reg_lambda': 1.0}"
1,17,14,1,2,"{'reg_alpha': 1.0, 'reg_lambda': 1e-05}"
48,85,88,49,55,"{'reg_alpha': 1.0, 'reg_lambda': 0.001}"
48,95,24,49,55,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
73,94,89,77,68,"{'reg_alpha': 1.0, 'reg_lambda': 0.0}"
48,55,92,49,55,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
84,39,36,77,80,"{'reg_alpha': 1.0, 'reg_lambda': 0.3}"
40,25,47,38,51,"{'reg_alpha': 1.0, 'reg_lambda': 0.5}"
48,3,34,49,55,"{'reg_alpha': 1.0, 'reg_lambda': 0.7}"
21,12,39,32,7,"{'reg_alpha': 1.0, 'reg_lambda': 0.9}"
93,71,98,99,82,"{'reg_alpha': 1.0, 'reg_lambda': 1.0}"
