rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
81,81,81,81,81,"{'learning_rate': 0.001, 'n_estimators': 50}"
80,80,80,80,80,"{'learning_rate': 0.001, 'n_estimators': 75}"
79,79,79,79,79,"{'learning_rate': 0.001, 'n_estimators': 100}"
78,78,78,78,78,"{'learning_rate': 0.001, 'n_estimators': 125}"
77,77,77,77,77,"{'learning_rate': 0.001, 'n_estimators': 150}"
76,76,76,76,67,"{'learning_rate': 0.001, 'n_estimators': 175}"
75,75,75,75,64,"{'learning_rate': 0.001, 'n_estimators': 200}"
74,74,74,74,54,"{'learning_rate': 0.001, 'n_estimators': 225}"
73,73,73,73,44,"{'learning_rate': 0.001, 'n_estimators': 250}"
72,54,72,72,13,"{'learning_rate': 0.01, 'n_estimators': 50}"
71,44,71,71,9,"{'learning_rate': 0.01, 'n_estimators': 75}"
70,43,70,70,11,"{'learning_rate': 0.01, 'n_estimators': 100}"
68,41,69,69,2,"{'learning_rate': 0.01, 'n_estimators': 125}"
69,39,68,68,8,"{'learning_rate': 0.01, 'n_estimators': 150}"
67,38,67,67,6,"{'learning_rate': 0.01, 'n_estimators': 175}"
48,37,57,66,3,"{'learning_rate': 0.01, 'n_estimators': 200}"
47,33,55,65,7,"{'learning_rate': 0.01, 'n_estimators': 225}"
45,32,45,63,4,"{'learning_rate': 0.01, 'n_estimators': 250}"
46,40,56,64,1,"{'learning_rate': 0.05, 'n_estimators': 50}"
43,36,40,43,5,"{'learning_rate': 0.05, 'n_estimators': 75}"
22,30,31,41,10,"{'learning_rate': 0.05, 'n_estimators': 100}"
18,31,21,37,15,"{'learning_rate': 0.05, 'n_estimators': 125}"
16,22,19,17,23,"{'learning_rate': 0.05, 'n_estimators': 150}"
17,21,17,17,30,"{'learning_rate': 0.05, 'n_estimators': 175}"
11,20,15,13,28,"{'learning_rate': 0.05, 'n_estimators': 200}"
7,19,14,8,26,"{'learning_rate': 0.05, 'n_estimators': 225}"
6,17,6,7,29,"{'learning_rate': 0.05, 'n_estimators': 250}"
44,34,44,44,12,"{'learning_rate': 0.07, 'n_estimators': 50}"
31,18,30,40,14,"{'learning_rate': 0.07, 'n_estimators': 75}"
19,16,18,34,18,"{'learning_rate': 0.07, 'n_estimators': 100}"
13,11,9,15,22,"{'learning_rate': 0.07, 'n_estimators': 125}"
4,13,5,4,20,"{'learning_rate': 0.07, 'n_estimators': 150}"
3,10,4,3,19,"{'learning_rate': 0.07, 'n_estimators': 175}"
2,15,3,2,25,"{'learning_rate': 0.07, 'n_estimators': 200}"
8,9,2,4,40,"{'learning_rate': 0.07, 'n_estimators': 225}"
1,14,1,1,24,"{'learning_rate': 0.07, 'n_estimators': 250}"
42,12,36,42,16,"{'learning_rate': 0.1, 'n_estimators': 50}"
39,8,20,38,27,"{'learning_rate': 0.1, 'n_estimators': 75}"
9,6,16,13,17,"{'learning_rate': 0.1, 'n_estimators': 100}"
20,2,8,16,65,"{'learning_rate': 0.1, 'n_estimators': 125}"
12,1,7,9,32,"{'learning_rate': 0.1, 'n_estimators': 150}"
10,3,11,9,31,"{'learning_rate': 0.1, 'n_estimators': 175}"
4,7,10,4,20,"{'learning_rate': 0.1, 'n_estimators': 200}"
14,4,12,11,34,"{'learning_rate': 0.1, 'n_estimators': 225}"
14,4,12,11,34,"{'learning_rate': 0.1, 'n_estimators': 250}"
41,42,32,39,33,"{'learning_rate': 0.2, 'n_estimators': 50}"
21,35,29,19,41,"{'learning_rate': 0.2, 'n_estimators': 75}"
24,29,22,20,45,"{'learning_rate': 0.2, 'n_estimators': 100}"
24,24,24,20,45,"{'learning_rate': 0.2, 'n_estimators': 125}"
24,24,24,20,45,"{'learning_rate': 0.2, 'n_estimators': 150}"
24,24,24,20,45,"{'learning_rate': 0.2, 'n_estimators': 175}"
24,23,23,20,45,"{'learning_rate': 0.2, 'n_estimators': 200}"
24,24,24,20,45,"{'learning_rate': 0.2, 'n_estimators': 225}"
24,24,24,20,45,"{'learning_rate': 0.2, 'n_estimators': 250}"
