rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
45,33,4,45,59,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
162,41,200,147,165,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
119,27,219,119,114,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
188,130,195,184,129,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
141,15,168,167,5,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
217,32,153,217,138,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
219,151,218,221,58,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
197,45,197,200,94,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
218,26,209,217,176,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
74,112,52,45,178,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
35,128,205,14,103,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
37,25,185,33,25,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
151,24,104,147,90,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
162,170,183,147,165,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
90,156,196,119,15,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
194,68,187,184,175,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
196,136,203,184,205,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
180,122,74,184,34,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
74,112,52,45,178,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
117,153,179,105,154,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
7,60,58,6,98,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
66,180,133,45,107,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
111,161,110,105,112,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
162,69,107,147,165,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
200,19,30,194,206,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
173,57,39,167,124,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
188,51,60,184,129,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
74,110,50,45,178,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
132,73,151,119,156,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
95,124,204,86,142,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
107,101,127,78,214,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
121,117,175,105,192,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
216,44,130,206,222,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
10,210,170,9,100,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
173,199,177,167,124,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
66,159,132,45,107,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
45,33,4,45,59,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
45,33,4,45,59,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
45,33,4,45,59,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
74,112,52,45,178,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
45,33,4,45,59,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
45,33,4,45,59,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
74,112,52,45,178,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
74,110,50,45,178,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
45,33,4,45,59,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
121,96,211,105,192,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
71,14,38,78,80,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
146,203,193,119,198,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
38,30,59,33,55,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
132,46,12,119,156,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
66,202,156,86,4,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
187,142,189,177,174,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
200,212,178,194,206,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
171,207,139,177,32,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
121,95,210,105,192,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
111,181,75,105,112,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
42,55,155,33,105,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
116,65,101,119,85,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
92,66,152,105,82,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
142,59,190,147,29,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
150,176,159,167,17,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
186,54,49,184,92,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
203,177,157,209,38,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 80}"
121,96,211,105,192,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 0}"
42,31,42,33,105,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 10}"
4,125,35,3,95,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 20}"
146,131,28,119,198,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 30}"
144,126,45,141,116,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 40}"
14,218,109,14,24,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 50}"
208,137,41,200,218,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 60}"
144,145,137,141,116,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 70}"
162,162,27,147,165,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 80}"
16,152,11,14,40,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 0}"
87,118,184,78,186,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 10}"
6,178,64,6,39,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 20}"
74,197,73,45,178,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 30}"
108,67,154,45,224,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 40}"
117,70,142,105,154,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 50}"
35,108,108,14,103,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 60}"
87,104,62,78,186,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 70}"
74,143,150,45,178,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 80}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 0}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 10}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 20}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 30}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 40}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 50}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 60}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 70}"
95,83,76,86,142,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 80}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 0}"
85,64,65,86,110,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 10}"
38,63,220,33,55,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 20}"
45,132,141,45,59,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 30}"
142,200,186,147,29,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 40}"
127,21,206,167,2,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 50}"
115,48,174,147,1,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 60}"
180,29,113,184,34,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 70}"
161,53,198,177,18,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 80}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 0}"
12,215,194,14,8,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 10}"
173,140,56,167,124,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 20}"
128,74,119,141,86,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 30}"
184,223,222,167,202,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 40}"
176,81,67,184,19,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 50}"
162,144,202,147,165,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 60}"
155,82,208,147,118,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 70}"
70,158,182,86,13,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 80}"
45,191,94,45,59,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 0}"
146,220,188,119,198,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 10}"
87,133,169,78,186,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 20}"
182,72,199,177,127,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 30}"
72,219,191,33,212,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 40}"
121,216,136,105,192,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 50}"
182,211,69,177,127,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 60}"
90,209,117,119,15,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 70}"
109,213,192,119,27,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 80}"
45,191,94,45,59,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 0}"
178,201,116,167,173,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 10}"
146,155,128,119,198,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 20}"
3,50,106,3,37,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 30}"
2,58,40,1,22,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 40}"
5,174,43,3,133,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 50}"
10,18,36,9,100,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 60}"
13,20,37,12,102,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 70}"
9,40,48,6,137,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 80}"
45,191,94,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 0}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 10}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 20}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 30}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 40}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 50}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 60}"
45,182,85,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 70}"
45,191,94,45,59,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 80}"
155,76,120,147,118,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 0}"
92,52,158,105,82,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 10}"
206,224,215,194,220,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 20}"
171,172,173,177,32,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 30}"
128,28,134,141,86,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 40}"
176,106,112,184,19,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 50}"
195,43,70,200,36,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 60}"
193,23,68,194,93,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 70}"
204,22,149,209,96,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 80}"
155,76,120,147,118,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 0}"
213,204,172,206,209,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 10}"
31,139,115,33,9,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 20}"
31,62,102,33,9,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 30}"
210,17,126,209,134,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 40}"
224,138,147,224,191,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 50}"
204,47,47,209,96,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 60}"
192,133,100,200,21,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 70}"
198,123,46,209,7,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 80}"
132,163,161,119,156,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 0}"
121,119,143,105,192,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 10}"
154,49,180,167,31,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 20}"
200,205,44,194,206,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 30}"
44,42,1,33,140,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 40}"
153,107,29,119,216,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 50}"
113,149,34,86,189,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 60}"
191,175,66,177,204,"{'colsample_bytree': 0.9, 'subsample': 0.8, 'subsample_freq': 70}"
