nohup: ignoring input
experiment: GM12878 eiip_rf
trainSet len:[X=76020,y=76020]
testSet len:[X=4431,y=4431]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=4431, TP=120, TN=4169, FP=51, FN=91; precision=0.702, recall=0.569
accuracy: (test=0.968) average_precision: (test=0.588) balanced_accuracy: (test=0.778) f1: (test=0.628) roc_auc: (test=0.861) 3.44s
[fit 2/34] END n_estimators=20; total=4431, TP=121, TN=4170, FP=50, FN=90; precision=0.708, recall=0.573
accuracy: (test=0.968) average_precision: (test=0.643) balanced_accuracy: (test=0.781) f1: (test=0.634) roc_auc: (test=0.880) 5.07s
[fit 3/34] END n_estimators=30; total=4431, TP=120, TN=4193, FP=27, FN=91; precision=0.816, recall=0.569
accuracy: (test=0.973) average_precision: (test=0.694) balanced_accuracy: (test=0.781) f1: (test=0.670) roc_auc: (test=0.903) 7.34s
[fit 4/34] END n_estimators=40; total=4431, TP=129, TN=4187, FP=33, FN=82; precision=0.796, recall=0.611
accuracy: (test=0.974) average_precision: (test=0.709) balanced_accuracy: (test=0.802) f1: (test=0.692) roc_auc: (test=0.904) 10.35s
[fit 5/34] END n_estimators=50; total=4431, TP=130, TN=4187, FP=33, FN=81; precision=0.798, recall=0.616
accuracy: (test=0.974) average_precision: (test=0.729) balanced_accuracy: (test=0.804) f1: (test=0.695) roc_auc: (test=0.907) 16.74s
[fit 6/34] END n_estimators=60; total=4431, TP=123, TN=4195, FP=25, FN=88; precision=0.831, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.720) balanced_accuracy: (test=0.789) f1: (test=0.685) roc_auc: (test=0.904) 26.19s
[fit 7/34] END n_estimators=70; total=4431, TP=127, TN=4187, FP=33, FN=84; precision=0.794, recall=0.602
accuracy: (test=0.974) average_precision: (test=0.720) balanced_accuracy: (test=0.797) f1: (test=0.685) roc_auc: (test=0.912) 38.80s
[fit 8/34] END n_estimators=80; total=4431, TP=127, TN=4192, FP=28, FN=84; precision=0.819, recall=0.602
accuracy: (test=0.975) average_precision: (test=0.732) balanced_accuracy: (test=0.798) f1: (test=0.694) roc_auc: (test=0.918) 45.80s
[fit 9/34] END n_estimators=90; total=4431, TP=128, TN=4185, FP=35, FN=83; precision=0.785, recall=0.607
accuracy: (test=0.973) average_precision: (test=0.720) balanced_accuracy: (test=0.799) f1: (test=0.684) roc_auc: (test=0.909) 53.99s
[fit 10/34] END n_estimators=100; total=4431, TP=126, TN=4182, FP=38, FN=85; precision=0.768, recall=0.597
accuracy: (test=0.972) average_precision: (test=0.721) balanced_accuracy: (test=0.794) f1: (test=0.672) roc_auc: (test=0.913) 1.00min
[fit 11/34] END n_estimators=110; total=4431, TP=130, TN=4195, FP=25, FN=81; precision=0.839, recall=0.616
accuracy: (test=0.976) average_precision: (test=0.735) balanced_accuracy: (test=0.805) f1: (test=0.710) roc_auc: (test=0.916) 1.10min
[fit 12/34] END n_estimators=120; total=4431, TP=129, TN=4189, FP=31, FN=82; precision=0.806, recall=0.611
accuracy: (test=0.974) average_precision: (test=0.722) balanced_accuracy: (test=0.802) f1: (test=0.695) roc_auc: (test=0.907) 1.17min
[fit 13/34] END n_estimators=130; total=4431, TP=125, TN=4184, FP=36, FN=86; precision=0.776, recall=0.592
accuracy: (test=0.972) average_precision: (test=0.728) balanced_accuracy: (test=0.792) f1: (test=0.672) roc_auc: (test=0.913) 1.32min
[fit 14/34] END n_estimators=140; total=4431, TP=130, TN=4189, FP=31, FN=81; precision=0.807, recall=0.616
accuracy: (test=0.975) average_precision: (test=0.734) balanced_accuracy: (test=0.804) f1: (test=0.699) roc_auc: (test=0.914) 1.43min
[fit 15/34] END n_estimators=150; total=4431, TP=127, TN=4185, FP=35, FN=84; precision=0.784, recall=0.602
accuracy: (test=0.973) average_precision: (test=0.732) balanced_accuracy: (test=0.797) f1: (test=0.681) roc_auc: (test=0.912) 1.49min
[fit 16/34] END n_estimators=160; total=4431, TP=131, TN=4187, FP=33, FN=80; precision=0.799, recall=0.621
accuracy: (test=0.974) average_precision: (test=0.737) balanced_accuracy: (test=0.807) f1: (test=0.699) roc_auc: (test=0.915) 1.64min
[fit 17/34] END n_estimators=170; total=4431, TP=128, TN=4188, FP=32, FN=83; precision=0.800, recall=0.607
accuracy: (test=0.974) average_precision: (test=0.734) balanced_accuracy: (test=0.800) f1: (test=0.690) roc_auc: (test=0.910) 1.76min
[fit 18/34] END n_estimators=180; total=4431, TP=124, TN=4191, FP=29, FN=87; precision=0.810, recall=0.588
