nohup: ignoring input
experiment: HeLa-S3 eiip_rf
trainSet len:[X=62640,y=62640]
testSet len:[X=3654,y=3654]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3654, TP=104, TN=3449, FP=31, FN=70; precision=0.770, recall=0.598
accuracy: (test=0.972) average_precision: (test=0.633) balanced_accuracy: (test=0.794) f1: (test=0.673) roc_auc: (test=0.909) 3.63s
[fit 2/34] END n_estimators=20; total=3654, TP=107, TN=3452, FP=28, FN=67; precision=0.793, recall=0.615
accuracy: (test=0.974) average_precision: (test=0.699) balanced_accuracy: (test=0.803) f1: (test=0.693) roc_auc: (test=0.918) 5.74s
[fit 3/34] END n_estimators=30; total=3654, TP=109, TN=3450, FP=30, FN=65; precision=0.784, recall=0.626
accuracy: (test=0.974) average_precision: (test=0.737) balanced_accuracy: (test=0.809) f1: (test=0.696) roc_auc: (test=0.935) 9.41s
[fit 4/34] END n_estimators=40; total=3654, TP=115, TN=3459, FP=21, FN=59; precision=0.846, recall=0.661
accuracy: (test=0.978) average_precision: (test=0.760) balanced_accuracy: (test=0.827) f1: (test=0.742) roc_auc: (test=0.926) 14.73s
[fit 5/34] END n_estimators=50; total=3654, TP=111, TN=3456, FP=24, FN=63; precision=0.822, recall=0.638
accuracy: (test=0.976) average_precision: (test=0.764) balanced_accuracy: (test=0.816) f1: (test=0.718) roc_auc: (test=0.934) 19.81s
[fit 6/34] END n_estimators=60; total=3654, TP=110, TN=3449, FP=31, FN=64; precision=0.780, recall=0.632
accuracy: (test=0.974) average_precision: (test=0.768) balanced_accuracy: (test=0.812) f1: (test=0.698) roc_auc: (test=0.943) 26.17s
[fit 7/34] END n_estimators=70; total=3654, TP=115, TN=3460, FP=20, FN=59; precision=0.852, recall=0.661
accuracy: (test=0.978) average_precision: (test=0.769) balanced_accuracy: (test=0.828) f1: (test=0.744) roc_auc: (test=0.933) 31.43s
[fit 8/34] END n_estimators=80; total=3654, TP=113, TN=3458, FP=22, FN=61; precision=0.837, recall=0.649
accuracy: (test=0.977) average_precision: (test=0.777) balanced_accuracy: (test=0.822) f1: (test=0.731) roc_auc: (test=0.942) 38.05s
[fit 9/34] END n_estimators=90; total=3654, TP=114, TN=3455, FP=25, FN=60; precision=0.820, recall=0.655
accuracy: (test=0.977) average_precision: (test=0.778) balanced_accuracy: (test=0.824) f1: (test=0.728) roc_auc: (test=0.937) 40.89s
[fit 10/34] END n_estimators=100; total=3654, TP=118, TN=3454, FP=26, FN=56; precision=0.819, recall=0.678
accuracy: (test=0.978) average_precision: (test=0.787) balanced_accuracy: (test=0.835) f1: (test=0.742) roc_auc: (test=0.943) 47.16s
[fit 11/34] END n_estimators=110; total=3654, TP=114, TN=3456, FP=24, FN=60; precision=0.826, recall=0.655
accuracy: (test=0.977) average_precision: (test=0.776) balanced_accuracy: (test=0.824) f1: (test=0.731) roc_auc: (test=0.939) 49.86s
[fit 12/34] END n_estimators=120; total=3654, TP=115, TN=3456, FP=24, FN=59; precision=0.827, recall=0.661
accuracy: (test=0.977) average_precision: (test=0.780) balanced_accuracy: (test=0.827) f1: (test=0.735) roc_auc: (test=0.942) 57.08s
[fit 13/34] END n_estimators=130; total=3654, TP=110, TN=3457, FP=23, FN=64; precision=0.827, recall=0.632
accuracy: (test=0.976) average_precision: (test=0.780) balanced_accuracy: (test=0.813) f1: (test=0.717) roc_auc: (test=0.937) 59.25s
[fit 14/34] END n_estimators=140; total=3654, TP=113, TN=3459, FP=21, FN=61; precision=0.843, recall=0.649
accuracy: (test=0.978) average_precision: (test=0.792) balanced_accuracy: (test=0.822) f1: (test=0.734) roc_auc: (test=0.942) 1.05min
[fit 15/34] END n_estimators=150; total=3654, TP=113, TN=3457, FP=23, FN=61; precision=0.831, recall=0.649
accuracy: (test=0.977) average_precision: (test=0.786) balanced_accuracy: (test=0.821) f1: (test=0.729) roc_auc: (test=0.943) 1.17min
[fit 16/34] END n_estimators=160; total=3654, TP=113, TN=3455, FP=25, FN=61; precision=0.819, recall=0.649
accuracy: (test=0.976) average_precision: (test=0.780) balanced_accuracy: (test=0.821) f1: (test=0.724) roc_auc: (test=0.939) 1.23min
[fit 17/34] END n_estimators=170; total=3654, TP=114, TN=3458, FP=22, FN=60; precision=0.838, recall=0.655
accuracy: (test=0.978) average_precision: (test=0.793) balanced_accuracy: (test=0.824) f1: (test=0.735) roc_auc: (test=0.941) 1.29min
[fit 18/34] END n_estimators=180; total=3654, TP=115, TN=3456, FP=24, FN=59; precision=0.827, recall=0.661
accuracy: (test=0.977) average_precision: (test=0.793) balanced_accuracy: (test=0.827) f1: (test=0.735) roc_auc: (test=0.946) 1.40min
[fit 19/34] END n_estimators=190; total=3654, TP=115, TN=3456, FP=24, FN=59; precision=0.827, recall=0.661
accuracy: (test=0.977) average_precision: (test=0.794) balanced_accuracy: (test=0.827) f1: (test=0.735) roc_auc: (test=0.945) 1.47min
[fit 20/34] END n_estimators=200; total=3654, TP=113, TN=3457, FP=23, FN=61; precision=0.831, recall=0.649
accuracy: (test=0.977) average_precision: (test=0.792) balanced_accuracy: (test=0.821) f1: (test=0.729) roc_auc: (test=0.939) 1.54min
[fit 21/34] END n_estimators=210; total=3654, TP=114, TN=3456, FP=24, FN=60; precision=0.826, recall=0.655
accuracy: (test=0.977) average_precision: (test=0.794) balanced_accuracy: (test=0.824) f1: (test=0.731) roc_auc: (test=0.941) 1.65min
[fit 22/34] END n_estimators=220; total=3654, TP=113, TN=3455, FP=25, FN=61; precision=0.819, recall=0.649
accuracy: (test=0.976) average_precision: (test=0.787) balanced_accuracy: (test=0.821) f1: (test=0.724) roc_auc: (test=0.932) 1.69min
[fit 23/34] END n_estimators=230; total=3654, TP=113, TN=3456, FP=24, FN=61; precision=0.825, recall=0.649
accuracy: (test=0.977) average_precision: (test=0.797) balanced_accuracy: (test=0.821) f1: (test=0.727) roc_auc: (test=0.940) 1.78min
[fit 24/34] END n_estimators=240; total=3654, TP=118, TN=3459, FP=21, FN=56; precision=0.849, recall=0.678
accuracy: (test=0.979) average_precision: (test=0.794) balanced_accuracy: (test=0.836) f1: (test=0.754) roc_auc: (test=0.939) 1.85min
[fit 25/34] END n_estimators=250; total=3654, TP=117, TN=3456, FP=24, FN=57; precision=0.830, recall=0.672
accuracy: (test=0.978) average_precision: (test=0.795) balanced_accuracy: (test=0.833) f1: (test=0.743) roc_auc: (test=0.943) 2.00min
[fit 26/34] END n_estimators=260; total=3654, TP=115, TN=3457, FP=23, FN=59; precision=0.833, recall=0.661
accuracy: (test=0.978) average_precision: (test=0.794) balanced_accuracy: (test=0.827) f1: (test=0.737) roc_auc: (test=0.944) 2.03min
[fit 27/34] END n_estimators=270; total=3654, TP=116, TN=3458, FP=22, FN=58; precision=0.841, recall=0.667
accuracy: (test=0.978) average_precision: (test=0.797) balanced_accuracy: (test=0.830) f1: (test=0.744) roc_auc: (test=0.941) 2.09min
[fit 28/34] END n_estimators=280; total=3654, TP=114, TN=3457, FP=23, FN=60; precision=0.832, recall=0.655
accuracy: (test=0.977) average_precision: (test=0.795) balanced_accuracy: (test=0.824) f1: (test=0.733) roc_auc: (test=0.943) 2.15min
[fit 29/34] END n_estimators=290; total=3654, TP=112, TN=3457, FP=23, FN=62; precision=0.830, recall=0.644
accuracy: (test=0.977) average_precision: (test=0.799) balanced_accuracy: (test=0.819) f1: (test=0.725) roc_auc: (test=0.944) 2.20min
[fit 30/34] END n_estimators=300; total=3654, TP=114, TN=3455, FP=25, FN=60; precision=0.820, recall=0.655
accuracy: (test=0.977) average_precision: (test=0.794) balanced_accuracy: (test=0.824) f1: (test=0.728) roc_auc: (test=0.944) 2.30min
[fit 31/34] END n_estimators=310; total=3654, TP=113, TN=3454, FP=26, FN=61; precision=0.813, recall=0.649
accuracy: (test=0.976) average_precision: (test=0.790) balanced_accuracy: (test=0.821) f1: (test=0.722) roc_auc: (test=0.938) 2.51min
[fit 32/34] END n_estimators=320; total=3654, TP=112, TN=3457, FP=23, FN=62; precision=0.830, recall=0.644
accuracy: (test=0.977) average_precision: (test=0.793) balanced_accuracy: (test=0.819) f1: (test=0.725) roc_auc: (test=0.941) 2.54min
[fit 33/34] END n_estimators=330; total=3654, TP=115, TN=3457, FP=23, FN=59; precision=0.833, recall=0.661
accuracy: (test=0.978) average_precision: (test=0.792) balanced_accuracy: (test=0.827) f1: (test=0.737) roc_auc: (test=0.942) 2.66min
[fit 34/34] END n_estimators=340; total=3654, TP=115, TN=3460, FP=20, FN=59; precision=0.852, recall=0.661
accuracy: (test=0.978) average_precision: (test=0.802) balanced_accuracy: (test=0.828) f1: (test=0.744) roc_auc: (test=0.939) 2.77min
clf.best_estimator_params: {'n_estimators': 180}
best params found in line [19] for metric [roc_auc] in rank file
best params found in fit [18] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3654) TP: (test=115.000) TN: (test=3456.000) FP: (test=24.000) FN: (test=59.000) precision: (test=0.827) recall: (test=0.661) accuracy: (test=0.977) average_precision: (test=0.793) balanced_accuracy: (test=0.827) f1: (test=0.735) roc_auc: (test=0.946) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 180, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=3654, TP=112, TN=3459, FP=21, FN=62; precision=0.842, recall=0.644
accuracy: (test=0.977) average_precision: (test=0.803) balanced_accuracy: (test=0.819) f1: (test=0.730) roc_auc: (test=0.944) 1.51min
[fit 2/150] END max_depth=1; total=3654, TP=107, TN=1882, FP=1598, FN=67; precision=0.063, recall=0.615
accuracy: (test=0.544) average_precision: (test=0.063) balanced_accuracy: (test=0.578) f1: (test=0.114) roc_auc: (test=0.594) 12.11s
[fit 3/150] END max_depth=2; total=3654, TP=114, TN=1870, FP=1610, FN=60; precision=0.066, recall=0.655
accuracy: (test=0.543) average_precision: (test=0.089) balanced_accuracy: (test=0.596) f1: (test=0.120) roc_auc: (test=0.617) 17.38s
[fit 4/150] END max_depth=3; total=3654, TP=111, TN=2004, FP=1476, FN=63; precision=0.070, recall=0.638
accuracy: (test=0.579) average_precision: (test=0.102) balanced_accuracy: (test=0.607) f1: (test=0.126) roc_auc: (test=0.641) 24.56s
[fit 5/150] END max_depth=4; total=3654, TP=110, TN=2116, FP=1364, FN=64; precision=0.075, recall=0.632
accuracy: (test=0.609) average_precision: (test=0.145) balanced_accuracy: (test=0.620) f1: (test=0.133) roc_auc: (test=0.675) 30.29s
[fit 6/150] END max_depth=5; total=3654, TP=113, TN=2282, FP=1198, FN=61; precision=0.086, recall=0.649
accuracy: (test=0.655) average_precision: (test=0.194) balanced_accuracy: (test=0.653) f1: (test=0.152) roc_auc: (test=0.719) 36.26s
[fit 7/150] END max_depth=6; total=3654, TP=114, TN=2520, FP=960, FN=60; precision=0.106, recall=0.655
accuracy: (test=0.721) average_precision: (test=0.285) balanced_accuracy: (test=0.690) f1: (test=0.183) roc_auc: (test=0.765) 40.97s
[fit 8/150] END max_depth=7; total=3654, TP=114, TN=2825, FP=655, FN=60; precision=0.148, recall=0.655
accuracy: (test=0.804) average_precision: (test=0.341) balanced_accuracy: (test=0.733) f1: (test=0.242) roc_auc: (test=0.803) 43.60s
[fit 9/150] END max_depth=8; total=3654, TP=118, TN=3113, FP=367, FN=56; precision=0.243, recall=0.678
accuracy: (test=0.884) average_precision: (test=0.442) balanced_accuracy: (test=0.786) f1: (test=0.358) roc_auc: (test=0.850) 47.63s
[fit 10/150] END max_depth=9; total=3654, TP=117, TN=3284, FP=196, FN=57; precision=0.374, recall=0.672
accuracy: (test=0.931) average_precision: (test=0.512) balanced_accuracy: (test=0.808) f1: (test=0.480) roc_auc: (test=0.875) 51.48s
[fit 11/150] END max_depth=10; total=3654, TP=117, TN=3376, FP=104, FN=57; precision=0.529, recall=0.672
accuracy: (test=0.956) average_precision: (test=0.568) balanced_accuracy: (test=0.821) f1: (test=0.592) roc_auc: (test=0.896) 56.60s
[fit 12/150] END max_depth=11; total=3654, TP=123, TN=3405, FP=75, FN=51; precision=0.621, recall=0.707
accuracy: (test=0.966) average_precision: (test=0.624) balanced_accuracy: (test=0.843) f1: (test=0.661) roc_auc: (test=0.909) 1.00min
[fit 13/150] END max_depth=12; total=3654, TP=117, TN=3413, FP=67, FN=57; precision=0.636, recall=0.672
accuracy: (test=0.966) average_precision: (test=0.648) balanced_accuracy: (test=0.827) f1: (test=0.654) roc_auc: (test=0.919) 1.00min
[fit 14/150] END max_depth=13; total=3654, TP=122, TN=3423, FP=57, FN=52; precision=0.682, recall=0.701
accuracy: (test=0.970) average_precision: (test=0.687) balanced_accuracy: (test=0.842) f1: (test=0.691) roc_auc: (test=0.932) 1.05min
[fit 15/150] END max_depth=14; total=3654, TP=121, TN=3434, FP=46, FN=53; precision=0.725, recall=0.695
accuracy: (test=0.973) average_precision: (test=0.723) balanced_accuracy: (test=0.841) f1: (test=0.710) roc_auc: (test=0.935) 1.09min
[fit 16/150] END max_depth=15; total=3654, TP=118, TN=3433, FP=47, FN=56; precision=0.715, recall=0.678
accuracy: (test=0.972) average_precision: (test=0.733) balanced_accuracy: (test=0.832) f1: (test=0.696) roc_auc: (test=0.938) 1.16min
[fit 17/150] END max_depth=16; total=3654, TP=119, TN=3439, FP=41, FN=55; precision=0.744, recall=0.684
accuracy: (test=0.974) average_precision: (test=0.746) balanced_accuracy: (test=0.836) f1: (test=0.713) roc_auc: (test=0.939) 1.21min
[fit 18/150] END max_depth=17; total=3654, TP=118, TN=3442, FP=38, FN=56; precision=0.756, recall=0.678
accuracy: (test=0.974) average_precision: (test=0.747) balanced_accuracy: (test=0.834) f1: (test=0.715) roc_auc: (test=0.933) 1.23min
[fit 19/150] END max_depth=18; total=3654, TP=118, TN=3447, FP=33, FN=56; precision=0.781, recall=0.678
accuracy: (test=0.976) average_precision: (test=0.769) balanced_accuracy: (test=0.834) f1: (test=0.726) roc_auc: (test=0.938) 1.25min
[fit 20/150] END max_depth=19; total=3654, TP=119, TN=3447, FP=33, FN=55; precision=0.783, recall=0.684
accuracy: (test=0.976) average_precision: (test=0.768) balanced_accuracy: (test=0.837) f1: (test=0.730) roc_auc: (test=0.937) 1.29min
[fit 21/150] END max_depth=20; total=3654, TP=117, TN=3446, FP=34, FN=57; precision=0.775, recall=0.672
accuracy: (test=0.975) average_precision: (test=0.773) balanced_accuracy: (test=0.831) f1: (test=0.720) roc_auc: (test=0.939) 1.32min
[fit 22/150] END max_depth=21; total=3654, TP=117, TN=3451, FP=29, FN=57; precision=0.801, recall=0.672
accuracy: (test=0.976) average_precision: (test=0.781) balanced_accuracy: (test=0.832) f1: (test=0.731) roc_auc: (test=0.936) 1.41min
[fit 23/150] END max_depth=22; total=3654, TP=118, TN=3452, FP=28, FN=56; precision=0.808, recall=0.678
accuracy: (test=0.977) average_precision: (test=0.790) balanced_accuracy: (test=0.835) f1: (test=0.737) roc_auc: (test=0.944) 1.39min
[fit 24/150] END max_depth=23; total=3654, TP=117, TN=3446, FP=34, FN=57; precision=0.775, recall=0.672
accuracy: (test=0.975) average_precision: (test=0.780) balanced_accuracy: (test=0.831) f1: (test=0.720) roc_auc: (test=0.939) 1.38min
[fit 25/150] END max_depth=24; total=3654, TP=118, TN=3452, FP=28, FN=56; precision=0.808, recall=0.678
accuracy: (test=0.977) average_precision: (test=0.793) balanced_accuracy: (test=0.835) f1: (test=0.737) roc_auc: (test=0.947) 1.36min
[fit 26/150] END max_depth=25; total=3654, TP=118, TN=3450, FP=30, FN=56; precision=0.797, recall=0.678
accuracy: (test=0.976) average_precision: (test=0.785) balanced_accuracy: (test=0.835) f1: (test=0.733) roc_auc: (test=0.944) 1.40min
[fit 27/150] END max_depth=26; total=3654, TP=117, TN=3452, FP=28, FN=57; precision=0.807, recall=0.672
accuracy: (test=0.977) average_precision: (test=0.784) balanced_accuracy: (test=0.832) f1: (test=0.734) roc_auc: (test=0.942) 1.44min
[fit 28/150] END max_depth=27; total=3654, TP=117, TN=3454, FP=26, FN=57; precision=0.818, recall=0.672
accuracy: (test=0.977) average_precision: (test=0.795) balanced_accuracy: (test=0.832) f1: (test=0.738) roc_auc: (test=0.941) 1.40min
[fit 29/150] END max_depth=28; total=3654, TP=116, TN=3453, FP=27, FN=58; precision=0.811, recall=0.667
accuracy: (test=0.977) average_precision: (test=0.786) balanced_accuracy: (test=0.829) f1: (test=0.732) roc_auc: (test=0.940) 1.35min
