rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
10,28,10,8,63,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
10,85,5,8,63,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
8,68,2,5,62,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
31,73,13,19,83,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
5,72,12,5,27,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
29,1,7,15,88,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
37,2,3,24,84,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
3,4,1,2,41,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
52,56,20,35,86,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
13,35,17,8,77,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
9,9,4,8,47,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
16,36,6,12,78,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
1,16,8,1,6,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
32,40,15,28,70,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
7,44,26,5,43,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
29,11,16,15,88,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
58,23,23,35,90,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
18,57,29,19,32,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
2,10,18,3,16,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
4,14,9,3,25,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
21,65,14,19,67,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
42,48,28,28,85,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
25,38,19,19,79,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
14,51,24,12,65,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
26,26,27,24,68,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
43,24,22,35,71,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
17,33,33,15,50,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
22,27,25,24,52,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
26,7,11,24,68,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
20,67,21,19,51,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
38,41,39,35,56,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
15,89,36,14,49,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
6,8,30,15,1,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
59,76,31,49,72,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
33,52,32,31,53,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
52,13,38,35,86,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
24,55,35,35,10,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
38,34,40,35,56,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
47,29,37,47,33,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
44,17,42,44,58,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
50,6,47,49,34,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
33,75,43,31,53,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
28,18,34,35,19,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
33,22,44,31,53,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
44,5,45,44,58,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
71,69,46,54,81,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
12,42,48,28,2,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
40,79,56,54,4,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
60,25,52,54,61,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
36,86,51,47,11,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
63,46,50,54,73,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
54,61,53,54,35,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
44,54,49,44,58,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
23,58,41,31,18,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
55,21,61,62,12,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
