rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
104,75,59,65,116,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,112,{'max_depth': 10}
140,140,140,140,16,{'max_depth': 11}
139,139,139,139,4,{'max_depth': 12}
138,138,138,138,1,{'max_depth': 13}
133,136,137,137,2,{'max_depth': 14}
111,137,136,136,5,{'max_depth': 15}
42,135,135,125,9,{'max_depth': 16}
26,132,134,125,3,{'max_depth': 17}
75,122,132,132,15,{'max_depth': 18}
16,134,133,86,7,{'max_depth': 19}
30,85,131,117,8,{'max_depth': 20}
127,123,128,135,54,{'max_depth': 21}
23,128,129,38,30,{'max_depth': 22}
43,69,130,86,34,{'max_depth': 23}
35,30,99,104,14,{'max_depth': 24}
13,18,110,38,12,{'max_depth': 25}
13,127,127,38,12,{'max_depth': 26}
23,130,105,38,30,{'max_depth': 27}
21,1,4,11,37,{'max_depth': 28}
27,96,85,20,39,{'max_depth': 29}
65,20,78,86,50,{'max_depth': 30}
36,73,25,38,42,{'max_depth': 31}
56,60,48,38,66,{'max_depth': 32}
123,44,29,104,132,{'max_depth': 33}
43,32,39,86,34,{'max_depth': 34}
45,58,41,20,58,{'max_depth': 35}
123,101,92,104,132,{'max_depth': 36}
65,115,74,86,50,{'max_depth': 37}
11,36,63,11,24,{'max_depth': 38}
45,43,89,20,58,{'max_depth': 39}
100,93,112,86,103,{'max_depth': 40}
53,28,16,65,48,{'max_depth': 41}
131,89,80,117,136,{'max_depth': 42}
80,10,43,86,79,{'max_depth': 43}
123,92,52,104,132,{'max_depth': 44}
100,34,46,86,103,{'max_depth': 45}
80,102,97,86,79,{'max_depth': 46}
8,29,90,7,21,{'max_depth': 47}
68,13,38,20,87,{'max_depth': 48}
100,126,123,86,103,{'max_depth': 49}
4,15,9,2,17,{'max_depth': 50}
84,76,58,65,94,{'max_depth': 51}
36,71,83,38,42,{'max_depth': 52}
27,106,67,20,39,{'max_depth': 53}
97,3,7,38,113,{'max_depth': 54}
56,84,72,38,66,{'max_depth': 55}
36,121,32,38,42,{'max_depth': 56}
36,94,62,38,42,{'max_depth': 57}
45,9,73,20,58,{'max_depth': 58}
100,39,66,86,103,{'max_depth': 59}
84,22,95,65,94,{'max_depth': 60}
97,4,36,38,113,{'max_depth': 61}
84,16,3,65,94,{'max_depth': 62}
8,64,18,7,21,{'max_depth': 63}
23,19,34,38,30,{'max_depth': 64}
4,129,60,2,17,{'max_depth': 65}
36,108,79,38,42,{'max_depth': 66}
104,95,124,65,116,{'max_depth': 67}
71,81,101,65,75,{'max_depth': 68}
8,114,44,7,21,{'max_depth': 69}
45,83,71,20,58,{'max_depth': 70}
84,87,76,65,94,{'max_depth': 71}
104,80,64,65,116,{'max_depth': 72}
56,79,125,38,66,{'max_depth': 73}
76,47,54,38,90,{'max_depth': 74}
112,88,93,86,121,{'max_depth': 75}
97,113,17,38,113,{'max_depth': 76}
45,77,126,20,58,{'max_depth': 77}
53,11,1,65,48,{'max_depth': 78}
104,105,111,65,116,{'max_depth': 79}
137,25,69,132,141,{'max_depth': 80}
117,27,40,117,109,{'max_depth': 81}
17,112,68,20,26,{'max_depth': 82}
121,104,113,125,111,{'max_depth': 83}
93,120,47,104,82,{'max_depth': 84}
