rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,33,33,31,33,{'n_estimators': 20}
32,28,32,31,32,{'n_estimators': 30}
7,32,31,4,7,{'n_estimators': 40}
29,29,30,28,29,{'n_estimators': 50}
31,7,29,31,31,{'n_estimators': 60}
2,30,28,2,5,{'n_estimators': 70}
16,14,26,12,20,{'n_estimators': 80}
21,26,25,21,17,{'n_estimators': 90}
6,6,20,7,2,{'n_estimators': 100}
17,22,27,17,15,{'n_estimators': 110}
11,12,24,12,10,{'n_estimators': 120}
30,27,23,28,30,{'n_estimators': 130}
14,13,16,7,19,{'n_estimators': 140}
19,8,21,17,21,{'n_estimators': 150}
26,20,22,26,24,{'n_estimators': 160}
10,18,14,7,13,{'n_estimators': 170}
11,1,13,12,10,{'n_estimators': 180}
11,2,8,12,10,{'n_estimators': 190}
19,21,17,17,21,{'n_estimators': 200}
17,15,10,17,15,{'n_estimators': 210}
26,31,19,26,24,{'n_estimators': 220}
23,19,4,21,23,{'n_estimators': 230}
1,23,7,1,1,{'n_estimators': 240}
5,9,6,6,3,{'n_estimators': 250}
8,3,11,7,8,{'n_estimators': 260}
4,16,3,4,4,{'n_estimators': 270}
15,10,5,12,14,{'n_estimators': 280}
24,4,2,21,27,{'n_estimators': 290}
21,5,9,21,17,{'n_estimators': 300}
28,25,18,28,26,{'n_estimators': 310}
24,17,12,21,27,{'n_estimators': 320}
8,11,15,7,8,{'n_estimators': 330}
2,24,1,2,5,{'n_estimators': 340}
