rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
40,1,6,26,65,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
10,33,12,7,28,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
1,10,2,1,10,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
2,5,1,4,3,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
32,62,41,21,62,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
2,12,14,2,11,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
8,23,38,12,14,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
17,70,26,17,34,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
32,3,3,21,62,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
2,6,16,4,3,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
2,17,7,2,11,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
15,46,10,12,33,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
16,35,19,21,16,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
19,4,5,12,59,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
10,14,8,7,28,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
10,15,11,7,28,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
57,63,28,56,47,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
29,32,17,26,37,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
64,11,31,42,83,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
10,27,9,7,28,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
19,53,21,12,59,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
29,68,47,26,37,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
24,77,24,21,36,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
25,2,15,17,61,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
52,37,20,33,81,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
6,64,49,4,13,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
37,73,60,33,40,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
10,51,36,7,28,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
23,7,33,26,17,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
43,31,13,42,43,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
17,38,32,17,34,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
49,80,25,42,68,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
72,61,40,56,86,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
47,58,50,50,45,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
32,13,4,21,62,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
27,18,29,33,18,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
40,59,27,26,65,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
37,21,18,33,40,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
52,57,46,33,81,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
62,34,37,50,71,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
77,16,34,70,74,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
49,42,42,42,68,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
64,9,44,42,83,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
40,40,22,26,65,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
27,25,23,33,18,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
8,72,35,12,14,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
29,47,39,26,37,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
57,89,67,56,47,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
64,90,51,42,83,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
37,19,48,33,40,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
49,28,30,42,68,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
7,41,54,17,5,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
62,30,55,50,71,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
82,29,58,70,88,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
89,52,68,88,80,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
21,50,56,33,6,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
74,36,52,77,54,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
74,20,53,77,54,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
47,78,75,50,45,"{'min_samples_leaf': 7, 'min_samples_split': 6}"
57,56,43,56,47,"{'min_samples_leaf': 7, 'min_samples_split': 7}"
55,8,61,65,22,"{'min_samples_leaf': 7, 'min_samples_split': 8}"
69,22,73,65,52,"{'min_samples_leaf': 7, 'min_samples_split': 9}"
43,67,63,42,43,"{'min_samples_leaf': 7, 'min_samples_split': 10}"
67,48,69,70,24,"{'min_samples_leaf': 8, 'min_samples_split': 2}"
57,88,70,56,47,"{'min_samples_leaf': 8, 'min_samples_split': 3}"
78,24,59,65,87,"{'min_samples_leaf': 8, 'min_samples_split': 4}"
57,85,64,56,47,"{'min_samples_leaf': 8, 'min_samples_split': 5}"
71,45,66,65,73,"{'min_samples_leaf': 8, 'min_samples_split': 6}"
55,39,45,65,22,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
67,49,57,70,24,"{'min_samples_leaf': 8, 'min_samples_split': 8}"
80,54,80,77,75,"{'min_samples_leaf': 8, 'min_samples_split': 9}"
86,82,79,82,77,"{'min_samples_leaf': 8, 'min_samples_split': 10}"
36,55,84,50,8,"{'min_samples_leaf': 9, 'min_samples_split': 2}"
70,75,83,70,53,"{'min_samples_leaf': 9, 'min_samples_split': 3}"
84,26,65,88,27,"{'min_samples_leaf': 9, 'min_samples_split': 4}"
45,44,62,56,20,"{'min_samples_leaf': 9, 'min_samples_split': 5}"
21,69,74,33,6,"{'min_samples_leaf': 9, 'min_samples_split': 6}"
86,86,85,82,77,"{'min_samples_leaf': 9, 'min_samples_split': 7}"
