rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
123,113,109,111,122,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,148,149,{'max_depth': 2}
148,148,148,149,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,124,{'max_depth': 10}
140,140,140,140,113,{'max_depth': 11}
138,138,139,139,3,{'max_depth': 12}
139,139,138,138,93,{'max_depth': 13}
137,137,137,137,13,{'max_depth': 14}
136,136,136,136,14,{'max_depth': 15}
128,135,135,134,4,{'max_depth': 16}
113,134,134,133,1,{'max_depth': 17}
120,131,133,131,8,{'max_depth': 18}
134,132,132,135,17,{'max_depth': 19}
52,130,131,124,2,{'max_depth': 20}
130,103,130,131,27,{'max_depth': 21}
117,51,129,128,20,{'max_depth': 22}
100,80,118,129,7,{'max_depth': 23}
135,64,41,130,109,{'max_depth': 24}
65,90,121,111,9,{'max_depth': 25}
129,91,100,124,123,{'max_depth': 26}
86,101,126,127,5,{'max_depth': 27}
104,57,94,111,70,{'max_depth': 28}
25,35,53,34,28,{'max_depth': 29}
104,126,83,111,70,{'max_depth': 30}
45,50,58,46,59,{'max_depth': 31}
103,83,75,118,50,{'max_depth': 32}
125,34,51,124,91,{'max_depth': 33}
114,65,69,111,90,{'max_depth': 34}
73,32,43,92,47,{'max_depth': 35}
104,129,119,111,70,{'max_depth': 36}
107,109,124,92,119,{'max_depth': 37}
96,96,95,92,103,{'max_depth': 38}
48,108,67,34,78,{'max_depth': 39}
81,68,23,92,67,{'max_depth': 40}
95,4,104,104,89,{'max_depth': 41}
78,128,47,58,99,{'max_depth': 42}
109,16,12,75,135,{'max_depth': 43}
73,55,46,92,47,{'max_depth': 44}
33,3,10,29,56,{'max_depth': 45}
64,99,97,29,110,{'max_depth': 46}
115,39,111,104,120,{'max_depth': 47}
27,21,11,24,54,{'max_depth': 48}
34,69,39,75,16,{'max_depth': 49}
96,111,72,92,103,{'max_depth': 50}
85,88,59,58,114,{'max_depth': 51}
37,70,26,34,57,{'max_depth': 52}
99,100,19,87,118,{'max_depth': 53}
9,77,14,10,23,{'max_depth': 54}
12,75,92,24,15,{'max_depth': 55}
90,86,24,75,115,{'max_depth': 56}
30,82,96,10,92,{'max_depth': 57}
37,106,78,34,57,{'max_depth': 58}
62,116,49,34,94,{'max_depth': 59}
53,122,62,75,44,{'max_depth': 60}
132,125,99,118,139,{'max_depth': 61}
76,30,98,87,66,{'max_depth': 62}
101,43,102,58,133,{'max_depth': 63}
6,47,30,6,21,{'max_depth': 64}
39,74,63,29,76,{'max_depth': 65}
55,61,38,58,62,{'max_depth': 66}
67,112,37,58,84,{'max_depth': 67}
115,14,108,104,120,{'max_depth': 68}
109,84,115,75,135,{'max_depth': 69}
45,36,21,46,59,{'max_depth': 70}
48,15,29,34,78,{'max_depth': 71}
66,62,64,87,46,{'max_depth': 72}
24,28,55,16,53,{'max_depth': 73}
124,124,127,109,129,{'max_depth': 74}
101,25,22,58,133,{'max_depth': 75}
69,13,6,46,96,{'max_depth': 76}
42,72,45,58,41,{'max_depth': 77}
69,117,35,46,96,{'max_depth': 78}
19,8,28,6,73,{'max_depth': 79}
42,7,76,58,41,{'max_depth': 80}
48,31,103,34,78,{'max_depth': 81}
87,24,40,92,87,{'max_depth': 82}
81,114,123,92,67,{'max_depth': 83}
109,95,65,75,135,{'max_depth': 84}
72,20,1,34,111,{'max_depth': 85}
59,120,128,46,81,{'max_depth': 86}
127,76,110,109,138,{'max_depth': 87}
11,9,73,16,25,{'max_depth': 88}
51,38,8,10,131,{'max_depth': 89}
1,63,3,1,18,{'max_depth': 90}
87,12,33,92,87,{'max_depth': 91}
77,66,66,75,86,{'max_depth': 92}
45,1,2,46,59,{'max_depth': 93}
121,92,17,118,106,{'max_depth': 94}
13,22,71,29,12,{'max_depth': 95}
19,105,18,10,51,{'max_depth': 96}
89,97,116,87,102,{'max_depth': 97}
118,17,80,104,127,{'max_depth': 98}
69,29,91,46,96,{'max_depth': 99}
4,49,7,4,6,{'max_depth': 100}
14,52,52,24,26,{'max_depth': 101}
14,81,15,16,33,{'max_depth': 102}
1,85,56,1,18,{'max_depth': 103}
55,98,61,58,62,{'max_depth': 104}
93,110,107,58,125,{'max_depth': 105}
96,79,13,92,103,{'max_depth': 106}
27,59,60,24,54,{'max_depth': 107}
31,53,44,34,38,{'max_depth': 108}
23,10,36,24,37,{'max_depth': 109}
112,73,84,58,140,{'max_depth': 110}
108,118,120,87,126,{'max_depth': 111}
19,123,16,6,73,{'max_depth': 112}
19,23,9,10,51,{'max_depth': 113}
62,58,86,34,94,{'max_depth': 114}
90,89,114,75,115,{'max_depth': 115}
41,133,68,75,31,{'max_depth': 116}
9,60,27,10,23,{'max_depth': 117}
42,127,105,58,41,{'max_depth': 118}
53,56,54,75,44,{'max_depth': 119}
39,40,42,29,76,{'max_depth': 120}
29,115,20,16,75,{'max_depth': 121}
5,19,4,4,32,{'max_depth': 122}
14,102,82,16,33,{'max_depth': 123}
36,33,74,46,40,{'max_depth': 124}
