rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
27,72,33,28,29,"{'reg_alpha': 0, 'reg_lambda': 0}"
51,11,22,64,12,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
62,53,41,67,24,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
12,15,2,13,16,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
75,39,61,75,54,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
31,48,67,20,59,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
31,1,11,20,59,"{'reg_alpha': 0, 'reg_lambda': 1}"
15,30,51,20,9,"{'reg_alpha': 0, 'reg_lambda': 2}"
43,54,34,34,47,"{'reg_alpha': 0, 'reg_lambda': 3}"
7,75,69,6,14,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
29,81,35,34,21,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
40,63,58,34,31,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
40,43,66,34,31,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
79,71,62,75,79,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
16,14,4,6,40,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
57,61,47,50,65,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
3,79,30,4,5,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
57,52,75,50,65,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
36,8,38,28,44,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
31,17,68,20,59,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
67,25,71,64,71,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
54,73,57,50,51,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
40,62,36,34,31,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
61,55,70,34,81,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
16,70,54,6,40,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
56,33,44,43,74,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
