rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
52,52,52,51,15,"{'max_depth': 3, 'min_child_weight': 1}"
51,51,51,51,12,"{'max_depth': 3, 'min_child_weight': 2}"
49,49,53,49,14,"{'max_depth': 3, 'min_child_weight': 3}"
50,53,50,50,10,"{'max_depth': 3, 'min_child_weight': 4}"
53,50,49,53,19,"{'max_depth': 3, 'min_child_weight': 5}"
54,54,54,54,26,"{'max_depth': 3, 'min_child_weight': 6}"
43,44,45,46,1,"{'max_depth': 4, 'min_child_weight': 1}"
47,45,47,43,9,"{'max_depth': 4, 'min_child_weight': 2}"
45,47,46,45,6,"{'max_depth': 4, 'min_child_weight': 3}"
44,43,43,43,3,"{'max_depth': 4, 'min_child_weight': 4}"
46,46,48,47,7,"{'max_depth': 4, 'min_child_weight': 5}"
48,48,44,48,16,"{'max_depth': 4, 'min_child_weight': 6}"
9,36,37,36,5,"{'max_depth': 5, 'min_child_weight': 1}"
22,32,39,39,4,"{'max_depth': 5, 'min_child_weight': 2}"
38,41,41,42,8,"{'max_depth': 5, 'min_child_weight': 3}"
23,38,42,41,2,"{'max_depth': 5, 'min_child_weight': 4}"
27,42,38,38,11,"{'max_depth': 5, 'min_child_weight': 5}"
33,40,40,40,13,"{'max_depth': 5, 'min_child_weight': 6}"
17,39,34,28,21,"{'max_depth': 6, 'min_child_weight': 1}"
20,29,30,33,18,"{'max_depth': 6, 'min_child_weight': 2}"
40,19,33,35,41,"{'max_depth': 6, 'min_child_weight': 3}"
18,11,35,30,20,"{'max_depth': 6, 'min_child_weight': 4}"
36,37,36,36,22,"{'max_depth': 6, 'min_child_weight': 5}"
12,35,32,32,17,"{'max_depth': 6, 'min_child_weight': 6}"
39,34,21,29,50,"{'max_depth': 7, 'min_child_weight': 1}"
21,15,26,17,30,"{'max_depth': 7, 'min_child_weight': 2}"
28,33,24,23,38,"{'max_depth': 7, 'min_child_weight': 3}"
4,7,11,14,24,"{'max_depth': 7, 'min_child_weight': 4}"
13,28,29,23,25,"{'max_depth': 7, 'min_child_weight': 5}"
37,24,31,33,39,"{'max_depth': 7, 'min_child_weight': 6}"
35,1,4,27,49,"{'max_depth': 8, 'min_child_weight': 1}"
26,30,27,10,47,"{'max_depth': 8, 'min_child_weight': 2}"
10,26,10,7,32,"{'max_depth': 8, 'min_child_weight': 3}"
3,22,8,10,23,"{'max_depth': 8, 'min_child_weight': 4}"
25,13,19,17,42,"{'max_depth': 8, 'min_child_weight': 5}"
5,17,17,7,28,"{'max_depth': 8, 'min_child_weight': 6}"
32,8,5,20,51,"{'max_depth': 9, 'min_child_weight': 1}"
31,2,15,23,45,"{'max_depth': 9, 'min_child_weight': 2}"
19,31,23,14,36,"{'max_depth': 9, 'min_child_weight': 3}"
15,18,25,10,34,"{'max_depth': 9, 'min_child_weight': 4}"
24,10,2,17,37,"{'max_depth': 9, 'min_child_weight': 5}"
29,27,28,20,43,"{'max_depth': 9, 'min_child_weight': 6}"
14,20,3,5,44,"{'max_depth': 10, 'min_child_weight': 1}"
7,3,14,3,40,"{'max_depth': 10, 'min_child_weight': 2}"
42,23,22,30,53,"{'max_depth': 10, 'min_child_weight': 3}"
1,12,18,2,29,"{'max_depth': 10, 'min_child_weight': 4}"
15,25,6,10,34,"{'max_depth': 10, 'min_child_weight': 5}"
8,6,9,6,31,"{'max_depth': 10, 'min_child_weight': 6}"
6,5,1,1,46,"{'max_depth': 12, 'min_child_weight': 1}"
41,4,13,20,54,"{'max_depth': 12, 'min_child_weight': 2}"
34,9,16,23,52,"{'max_depth': 12, 'min_child_weight': 3}"
30,16,12,16,48,"{'max_depth': 12, 'min_child_weight': 4}"
10,21,20,7,32,"{'max_depth': 12, 'min_child_weight': 5}"
2,14,7,3,27,"{'max_depth': 12, 'min_child_weight': 6}"
