rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
81,81,81,81,80,"{'learning_rate': 0.001, 'n_estimators': 50}"
80,80,80,80,81,"{'learning_rate': 0.001, 'n_estimators': 75}"
78,79,79,79,78,"{'learning_rate': 0.001, 'n_estimators': 100}"
79,78,78,78,79,"{'learning_rate': 0.001, 'n_estimators': 125}"
77,77,77,77,77,"{'learning_rate': 0.001, 'n_estimators': 150}"
76,76,76,76,76,"{'learning_rate': 0.001, 'n_estimators': 175}"
75,75,75,75,75,"{'learning_rate': 0.001, 'n_estimators': 200}"
74,74,74,74,74,"{'learning_rate': 0.001, 'n_estimators': 225}"
73,73,73,73,68,"{'learning_rate': 0.001, 'n_estimators': 250}"
72,72,72,72,69,"{'learning_rate': 0.01, 'n_estimators': 50}"
71,71,71,71,55,"{'learning_rate': 0.01, 'n_estimators': 75}"
70,70,70,70,46,"{'learning_rate': 0.01, 'n_estimators': 100}"
69,67,69,69,20,"{'learning_rate': 0.01, 'n_estimators': 125}"
68,57,68,68,19,"{'learning_rate': 0.01, 'n_estimators': 150}"
67,49,67,67,22,"{'learning_rate': 0.01, 'n_estimators': 175}"
66,47,66,66,24,"{'learning_rate': 0.01, 'n_estimators': 200}"
62,46,64,64,3,"{'learning_rate': 0.01, 'n_estimators': 225}"
64,45,63,64,5,"{'learning_rate': 0.01, 'n_estimators': 250}"
61,48,65,63,4,"{'learning_rate': 0.05, 'n_estimators': 50}"
41,42,62,51,1,"{'learning_rate': 0.05, 'n_estimators': 75}"
37,32,58,47,2,"{'learning_rate': 0.05, 'n_estimators': 100}"
32,24,39,37,8,"{'learning_rate': 0.05, 'n_estimators': 125}"
20,14,34,34,5,"{'learning_rate': 0.05, 'n_estimators': 150}"
24,11,24,33,11,"{'learning_rate': 0.05, 'n_estimators': 175}"
8,10,20,27,14,"{'learning_rate': 0.05, 'n_estimators': 200}"
2,8,18,15,13,"{'learning_rate': 0.05, 'n_estimators': 225}"
1,9,13,8,12,"{'learning_rate': 0.05, 'n_estimators': 250}"
58,44,61,62,15,"{'learning_rate': 0.07, 'n_estimators': 50}"
39,31,46,47,9,"{'learning_rate': 0.07, 'n_estimators': 75}"
40,29,36,46,17,"{'learning_rate': 0.07, 'n_estimators': 100}"
38,26,32,34,25,"{'learning_rate': 0.07, 'n_estimators': 125}"
29,22,22,30,28,"{'learning_rate': 0.07, 'n_estimators': 150}"
17,19,17,20,37,"{'learning_rate': 0.07, 'n_estimators': 175}"
16,18,14,12,47,"{'learning_rate': 0.07, 'n_estimators': 200}"
13,20,10,6,57,"{'learning_rate': 0.07, 'n_estimators': 225}"
7,23,8,2,45,"{'learning_rate': 0.07, 'n_estimators': 250}"
50,30,55,59,10,"{'learning_rate': 0.1, 'n_estimators': 50}"
31,7,35,36,7,"{'learning_rate': 0.1, 'n_estimators': 75}"
19,2,21,30,18,"{'learning_rate': 0.1, 'n_estimators': 100}"
9,1,15,20,26,"{'learning_rate': 0.1, 'n_estimators': 125}"
34,3,12,25,64,"{'learning_rate': 0.1, 'n_estimators': 150}"
26,6,9,12,62,"{'learning_rate': 0.1, 'n_estimators': 175}"
4,21,5,6,30,"{'learning_rate': 0.1, 'n_estimators': 200}"
3,5,4,1,36,"{'learning_rate': 0.1, 'n_estimators': 225}"
18,4,3,8,60,"{'learning_rate': 0.1, 'n_estimators': 250}"
42,35,38,45,23,"{'learning_rate': 0.2, 'n_estimators': 50}"
36,28,23,28,58,"{'learning_rate': 0.2, 'n_estimators': 75}"
34,25,19,25,64,"{'learning_rate': 0.2, 'n_estimators': 100}"
26,27,16,12,62,"{'learning_rate': 0.2, 'n_estimators': 125}"
25,17,11,8,67,"{'learning_rate': 0.2, 'n_estimators': 150}"
30,13,7,8,73,"{'learning_rate': 0.2, 'n_estimators': 175}"
21,12,6,2,70,"{'learning_rate': 0.2, 'n_estimators': 200}"
21,15,2,2,70,"{'learning_rate': 0.2, 'n_estimators': 225}"
21,16,1,2,70,"{'learning_rate': 0.2, 'n_estimators': 250}"
33,43,37,32,29,"{'learning_rate': 0.5, 'n_estimators': 50}"
28,41,33,29,27,"{'learning_rate': 0.5, 'n_estimators': 75}"
5,40,31,20,16,"{'learning_rate': 0.5, 'n_estimators': 100}"
6,39,25,15,20,"{'learning_rate': 0.5, 'n_estimators': 125}"
14,33,30,20,34,"{'learning_rate': 0.5, 'n_estimators': 150}"
14,34,26,20,34,"{'learning_rate': 0.5, 'n_estimators': 175}"
10,36,27,15,31,"{'learning_rate': 0.5, 'n_estimators': 200}"
10,36,27,15,31,"{'learning_rate': 0.5, 'n_estimators': 225}"
10,36,27,15,31,"{'learning_rate': 0.5, 'n_estimators': 250}"
60,68,59,50,61,"{'learning_rate': 0.75, 'n_estimators': 50}"
57,58,57,49,66,"{'learning_rate': 0.75, 'n_estimators': 75}"
43,56,47,37,48,"{'learning_rate': 0.75, 'n_estimators': 100}"
43,50,40,37,48,"{'learning_rate': 0.75, 'n_estimators': 125}"
43,50,40,37,48,"{'learning_rate': 0.75, 'n_estimators': 150}"
43,50,40,37,48,"{'learning_rate': 0.75, 'n_estimators': 175}"
43,50,40,37,48,"{'learning_rate': 0.75, 'n_estimators': 200}"
43,50,40,37,48,"{'learning_rate': 0.75, 'n_estimators': 225}"
43,50,40,37,48,"{'learning_rate': 0.75, 'n_estimators': 250}"
63,69,60,60,56,"{'learning_rate': 1.0, 'n_estimators': 50}"
65,66,56,60,59,"{'learning_rate': 1.0, 'n_estimators': 75}"
59,59,48,58,44,"{'learning_rate': 1.0, 'n_estimators': 100}"
51,60,49,52,38,"{'learning_rate': 1.0, 'n_estimators': 125}"
51,60,49,52,38,"{'learning_rate': 1.0, 'n_estimators': 150}"
51,60,49,52,38,"{'learning_rate': 1.0, 'n_estimators': 175}"
51,60,49,52,38,"{'learning_rate': 1.0, 'n_estimators': 200}"
51,60,49,52,38,"{'learning_rate': 1.0, 'n_estimators': 225}"
51,60,49,52,38,"{'learning_rate': 1.0, 'n_estimators': 250}"
