rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
31,5,11,22,41,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
15,3,13,19,28,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
64,54,5,45,90,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
47,7,51,37,67,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
55,17,2,29,96,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
37,13,10,37,38,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
19,89,59,22,16,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
33,95,92,13,87,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
94,86,98,77,94,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
26,94,70,29,18,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
21,11,31,29,8,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
24,1,30,16,51,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
70,67,81,65,56,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
19,14,4,22,16,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
70,67,81,65,56,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
13,66,69,13,15,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
85,53,58,88,61,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
50,84,86,37,74,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
90,74,94,77,83,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
77,30,45,65,71,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
10,75,28,6,25,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
54,10,15,58,47,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
1,46,33,1,10,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
22,36,26,22,31,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
1,48,35,1,10,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
46,99,41,22,73,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
90,23,62,77,83,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
60,83,57,58,54,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
51,38,50,45,68,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
56,62,74,37,89,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
31,2,22,22,41,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
15,4,14,19,28,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
64,54,5,45,90,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
14,6,12,9,37,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
64,54,5,45,90,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
41,9,1,45,35,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
43,82,54,37,45,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
33,95,92,13,87,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
97,78,96,95,98,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
22,92,79,22,31,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
10,75,28,6,25,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
8,45,8,5,24,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
1,48,35,1,10,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
9,32,3,6,14,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
1,46,33,1,10,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
74,100,65,58,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
90,23,62,77,83,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
84,88,64,77,72,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
89,19,67,65,93,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
63,33,48,37,97,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
74,64,71,58,77,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
70,93,32,65,56,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
81,90,52,65,80,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
74,64,71,58,77,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
81,90,52,65,80,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
99,39,38,98,99,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
90,29,75,77,83,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
45,12,47,45,40,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
100,98,97,100,100,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
85,79,46,88,61,"{'reg_alpha': 0.3, 'reg_lambda': 1.0}"
37,34,21,37,38,"{'reg_alpha': 0.5, 'reg_lambda': 1e-05}"
68,72,25,54,76,"{'reg_alpha': 0.5, 'reg_lambda': 0.001}"
6,60,16,9,5,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
49,80,44,54,46,"{'reg_alpha': 0.5, 'reg_lambda': 0.0}"
6,60,16,9,5,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
95,31,56,96,65,"{'reg_alpha': 0.5, 'reg_lambda': 0.3}"
35,87,61,29,43,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
80,63,77,88,50,"{'reg_alpha': 0.5, 'reg_lambda': 0.7}"
44,42,85,65,7,"{'reg_alpha': 0.5, 'reg_lambda': 0.9}"
78,59,80,77,59,"{'reg_alpha': 0.5, 'reg_lambda': 1.0}"
15,52,87,19,28,"{'reg_alpha': 0.7, 'reg_lambda': 1e-05}"
24,77,88,16,51,"{'reg_alpha': 0.7, 'reg_lambda': 0.001}"
28,18,37,29,33,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
12,28,84,9,27,"{'reg_alpha': 0.7, 'reg_lambda': 0.0}"
26,16,40,29,18,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
85,97,91,88,61,"{'reg_alpha': 0.7, 'reg_lambda': 0.3}"
69,51,95,58,70,"{'reg_alpha': 0.7, 'reg_lambda': 0.5}"
60,85,24,58,54,"{'reg_alpha': 0.7, 'reg_lambda': 0.7}"
48,25,9,45,53,"{'reg_alpha': 0.7, 'reg_lambda': 0.9}"
28,8,23,29,33,"{'reg_alpha': 0.7, 'reg_lambda': 1.0}"
59,44,83,54,69,"{'reg_alpha': 0.9, 'reg_lambda': 1e-05}"
98,22,49,96,95,"{'reg_alpha': 0.9, 'reg_lambda': 0.001}"
67,41,60,88,36,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
57,20,76,45,75,"{'reg_alpha': 0.9, 'reg_lambda': 0.0}"
62,73,39,65,48,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
73,15,42,77,49,"{'reg_alpha': 0.9, 'reg_lambda': 0.3}"
85,21,100,88,61,"{'reg_alpha': 0.9, 'reg_lambda': 0.5}"
35,35,27,29,43,"{'reg_alpha': 0.9, 'reg_lambda': 0.7}"
78,70,99,77,59,"{'reg_alpha': 0.9, 'reg_lambda': 0.9}"
58,50,43,88,23,"{'reg_alpha': 0.9, 'reg_lambda': 1.0}"
52,57,18,77,21,"{'reg_alpha': 1.0, 'reg_lambda': 1e-05}"
18,37,20,37,2,"{'reg_alpha': 1.0, 'reg_lambda': 0.001}"
39,26,89,65,3,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
52,57,18,77,21,"{'reg_alpha': 1.0, 'reg_lambda': 0.0}"
39,27,90,65,3,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
5,40,55,16,1,"{'reg_alpha': 1.0, 'reg_lambda': 0.3}"
96,43,66,98,66,"{'reg_alpha': 1.0, 'reg_lambda': 0.5}"
