rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
42,12,21,27,69,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
45,25,49,43,55,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
27,83,56,18,46,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
42,12,21,27,69,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
27,86,59,18,46,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
53,45,43,27,84,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
21,70,6,13,45,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
92,61,46,82,93,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
7,80,74,5,7,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
31,33,10,43,21,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
25,59,19,13,67,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
16,41,9,13,33,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
46,7,29,51,36,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
25,60,20,13,67,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
46,9,40,51,36,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
81,18,65,58,90,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
53,48,24,51,56,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
36,27,38,27,50,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
41,78,66,51,25,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
72,42,41,43,97,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
1,94,68,1,2,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
23,35,50,27,19,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
53,63,64,51,56,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
1,94,68,1,2,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
69,3,8,58,72,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
36,10,3,27,50,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
61,43,84,68,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
19,66,45,27,15,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
69,75,34,58,72,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
91,19,37,94,66,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
42,12,21,27,69,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
18,32,17,18,18,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
27,83,56,18,46,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
63,2,5,43,88,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
27,83,56,18,46,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
53,46,44,27,84,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
69,37,39,58,72,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
49,55,25,58,26,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
7,80,74,5,7,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
31,33,10,43,21,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
1,94,68,1,2,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
23,35,50,27,19,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
53,21,14,27,84,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
1,94,68,1,2,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
53,21,14,27,84,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
36,10,3,27,50,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
61,43,84,68,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
84,72,53,68,91,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
19,54,36,27,15,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
99,71,97,94,100,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
49,5,16,58,26,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
46,4,2,51,36,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
87,16,91,82,78,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
13,20,13,18,12,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
87,16,91,82,78,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
13,23,32,18,12,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
79,69,52,68,75,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
84,87,100,68,91,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
12,98,47,5,32,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
96,100,80,97,83,"{'reg_alpha': 0.3, 'reg_lambda': 1.0}"
31,73,26,43,21,"{'reg_alpha': 0.5, 'reg_lambda': 1e-05}"
97,67,73,97,98,"{'reg_alpha': 0.5, 'reg_lambda': 0.001}"
22,58,35,18,35,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
31,73,26,43,21,"{'reg_alpha': 0.5, 'reg_lambda': 0.0}"
16,56,33,13,33,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
95,76,98,91,95,"{'reg_alpha': 0.5, 'reg_lambda': 0.3}"
36,24,12,27,50,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
74,51,48,82,44,"{'reg_alpha': 0.5, 'reg_lambda': 0.7}"
83,8,54,76,77,"{'reg_alpha': 0.5, 'reg_lambda': 0.9}"
87,53,94,82,78,"{'reg_alpha': 0.5, 'reg_lambda': 1.0}"
9,52,60,9,9,"{'reg_alpha': 0.7, 'reg_lambda': 1e-05}"
67,30,67,68,58,"{'reg_alpha': 0.7, 'reg_lambda': 0.001}"
49,40,31,58,26,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
86,65,90,91,65,"{'reg_alpha': 0.7, 'reg_lambda': 0.0}"
49,39,30,58,26,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
79,31,77,68,75,"{'reg_alpha': 0.7, 'reg_lambda': 0.3}"
92,91,99,82,93,"{'reg_alpha': 0.7, 'reg_lambda': 0.5}"
53,15,83,58,39,"{'reg_alpha': 0.7, 'reg_lambda': 0.7}"
36,1,7,27,50,"{'reg_alpha': 0.7, 'reg_lambda': 0.9}"
5,6,1,5,1,"{'reg_alpha': 0.7, 'reg_lambda': 1.0}"
9,88,88,9,9,"{'reg_alpha': 0.9, 'reg_lambda': 1e-05}"
87,90,95,82,78,"{'reg_alpha': 0.9, 'reg_lambda': 0.001}"
13,92,63,18,12,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
9,88,88,9,9,"{'reg_alpha': 0.9, 'reg_lambda': 0.0}"
66,38,42,76,43,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
100,93,96,100,96,"{'reg_alpha': 0.9, 'reg_lambda': 0.3}"
