rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
49,2,8,27,67,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
17,36,17,16,24,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
7,47,38,7,10,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
49,3,9,27,67,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
7,47,38,7,10,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
75,25,47,50,95,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
95,82,99,88,91,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
13,22,25,7,33,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
99,61,68,88,98,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
62,28,31,68,48,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
5,8,5,2,8,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
1,30,7,1,3,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
20,46,28,45,14,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
5,8,5,2,8,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
77,27,34,88,32,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
39,91,94,27,39,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
56,40,33,45,71,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
78,7,19,79,60,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
85,81,55,58,99,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
26,57,37,27,26,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
35,98,89,7,80,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
40,51,80,20,52,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
26,92,71,27,26,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
45,77,88,50,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
26,92,71,27,26,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
11,64,42,27,5,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
58,58,51,27,82,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
91,55,69,83,87,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
91,87,79,83,87,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
23,89,65,16,35,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
49,3,9,27,67,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
17,36,17,16,24,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
78,88,87,79,60,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
40,1,24,20,52,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
7,47,38,7,10,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
75,25,47,50,95,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
65,85,82,58,56,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
19,16,46,13,34,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
49,33,63,27,67,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
45,32,44,50,41,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
43,68,92,45,40,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
40,51,80,20,52,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
26,92,71,27,26,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
35,98,89,7,80,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
26,92,71,27,26,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
44,65,86,27,55,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
58,58,51,27,82,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
91,55,69,83,87,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
83,72,49,83,62,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
23,89,65,16,35,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
33,66,60,13,65,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
31,60,21,20,37,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
72,13,29,68,74,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
33,66,60,13,65,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
72,13,29,68,74,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
84,45,93,97,51,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
69,19,43,58,73,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
88,10,75,88,77,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
3,11,1,2,7,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
