rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
7,31,18,2,51,{'max_depth': None}
149,149,149,150,149,{'max_depth': 1}
150,150,150,149,150,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,141,{'max_depth': 10}
140,140,140,140,114,{'max_depth': 11}
139,139,139,139,18,{'max_depth': 12}
138,138,138,138,27,{'max_depth': 13}
137,137,137,137,1,{'max_depth': 14}
136,136,136,136,17,{'max_depth': 15}
134,135,135,134,9,{'max_depth': 16}
135,133,134,135,50,{'max_depth': 17}
117,132,133,131,3,{'max_depth': 18}
130,130,132,133,12,{'max_depth': 19}
121,86,131,129,11,{'max_depth': 20}
116,17,129,129,5,{'max_depth': 21}
120,75,114,127,28,{'max_depth': 22}
71,53,120,115,10,{'max_depth': 23}
133,125,130,132,112,{'max_depth': 24}
33,21,48,40,38,{'max_depth': 25}
47,70,82,92,8,{'max_depth': 26}
77,89,69,92,45,{'max_depth': 27}
18,43,127,28,14,{'max_depth': 28}
100,15,88,115,48,{'max_depth': 29}
104,116,112,92,108,{'max_depth': 30}
44,91,44,67,24,{'max_depth': 31}
54,57,23,50,59,{'max_depth': 32}
32,117,113,28,57,{'max_depth': 33}
98,124,98,107,68,{'max_depth': 34}
13,45,31,28,7,{'max_depth': 35}
23,65,80,40,16,{'max_depth': 36}
92,105,71,92,87,{'max_depth': 37}
106,41,17,107,93,{'max_depth': 38}
124,134,123,107,137,{'max_depth': 39}
39,103,89,28,73,{'max_depth': 40}
30,1,1,17,71,{'max_depth': 41}
70,76,11,83,44,{'max_depth': 42}
115,85,65,115,95,{'max_depth': 43}
84,10,36,67,104,{'max_depth': 44}
