rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
10,20,11,12,11,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
48,13,7,25,71,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
8,1,1,6,24,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
48,16,3,25,71,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
14,6,2,2,55,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
23,39,5,19,35,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
1,38,6,2,2,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
84,50,17,33,90,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
62,35,15,25,80,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
29,57,20,12,57,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
12,2,4,2,32,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
46,33,8,8,79,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
80,3,21,44,86,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
48,18,14,25,71,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
80,12,9,44,86,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
2,17,22,1,23,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
72,24,25,53,76,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
80,41,23,44,86,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
38,4,12,33,40,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
4,9,10,2,9,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
76,14,27,33,85,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
59,8,26,33,75,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
48,19,24,25,71,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
23,7,13,19,35,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
16,5,18,12,33,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
42,48,31,25,61,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
16,25,29,12,33,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
13,44,30,8,25,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
23,11,19,19,35,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
38,21,28,33,40,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
6,15,35,8,10,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
79,55,36,69,78,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
29,30,16,12,57,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
29,54,32,12,57,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
42,63,45,25,61,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
38,29,40,33,40,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
55,26,43,44,63,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
38,36,37,33,40,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
19,59,39,8,56,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
23,10,34,19,35,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
3,43,33,6,4,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
36,40,38,19,60,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
83,32,44,69,82,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
10,51,47,12,11,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
35,23,41,25,39,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
75,31,51,44,81,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
60,47,42,53,65,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
