rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
16,56,19,7,87,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
29,53,6,13,80,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
3,2,3,2,28,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
33,16,1,21,73,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
17,10,9,10,79,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
56,15,17,30,89,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
46,18,5,21,88,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
15,7,4,13,47,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
29,37,15,13,80,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
4,1,2,2,45,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
8,22,7,7,31,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
14,17,16,10,70,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
23,24,13,21,48,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
50,23,12,30,82,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
5,26,11,5,29,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
20,59,8,13,71,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
5,6,14,5,29,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
1,69,10,2,4,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
2,63,20,1,27,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
20,46,31,13,71,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
33,89,36,21,73,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
67,39,24,46,84,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
36,9,29,30,53,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
9,4,18,7,46,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
42,12,27,36,54,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
23,38,23,21,48,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
63,29,21,52,60,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
