rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,33,33,33,33,{'n_estimators': 20}
31,30,31,27,31,{'n_estimators': 30}
29,32,32,30,24,{'n_estimators': 40}
19,28,29,27,6,{'n_estimators': 50}
32,14,28,32,32,{'n_estimators': 60}
11,31,30,5,14,{'n_estimators': 70}
20,17,14,17,19,{'n_estimators': 80}
1,25,24,1,1,{'n_estimators': 90}
26,23,11,27,23,{'n_estimators': 100}
1,19,4,1,1,{'n_estimators': 110}
20,27,27,17,19,{'n_estimators': 120}
20,29,25,17,19,{'n_estimators': 130}
7,26,10,5,8,{'n_estimators': 140}
8,24,3,11,9,{'n_estimators': 150}
27,22,23,24,28,{'n_estimators': 160}
6,8,22,11,5,{'n_estimators': 170}
17,11,18,11,17,{'n_estimators': 180}
24,21,21,17,26,{'n_estimators': 190}
30,20,26,30,30,{'n_estimators': 200}
14,9,19,4,25,{'n_estimators': 210}
27,2,7,24,28,{'n_estimators': 220}
15,4,9,17,12,{'n_estimators': 230}
17,13,12,11,17,{'n_estimators': 240}
3,7,1,1,7,{'n_estimators': 250}
5,10,6,5,4,{'n_estimators': 260}
4,12,17,5,3,{'n_estimators': 270}
15,1,5,17,12,{'n_estimators': 280}
24,16,16,17,26,{'n_estimators': 290}
11,6,8,5,14,{'n_estimators': 300}
8,18,15,11,9,{'n_estimators': 310}
8,15,13,11,9,{'n_estimators': 320}
23,3,20,24,22,{'n_estimators': 330}
11,5,2,5,14,{'n_estimators': 340}
