rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,33,34,{'n_estimators': 10}
33,32,33,33,33,{'n_estimators': 20}
11,30,32,11,12,{'n_estimators': 30}
32,33,31,32,32,{'n_estimators': 40}
6,27,30,2,20,{'n_estimators': 50}
30,15,28,27,29,{'n_estimators': 60}
1,2,5,1,1,{'n_estimators': 70}
14,29,27,16,14,{'n_estimators': 80}
3,16,18,4,2,{'n_estimators': 90}
20,17,20,23,15,{'n_estimators': 100}
4,23,22,5,4,{'n_estimators': 110}
31,11,29,31,30,{'n_estimators': 120}
19,8,14,27,10,{'n_estimators': 130}
13,31,26,9,21,{'n_estimators': 140}
28,6,21,16,31,{'n_estimators': 150}
25,7,17,27,19,{'n_estimators': 160}
8,28,24,9,7,{'n_estimators': 170}
29,9,23,30,27,{'n_estimators': 180}
24,22,25,21,25,{'n_estimators': 190}
4,24,16,5,4,{'n_estimators': 200}
2,18,9,3,3,{'n_estimators': 210}
26,13,11,23,26,{'n_estimators': 220}
18,4,6,13,22,{'n_estimators': 230}
10,5,13,11,8,{'n_estimators': 240}
21,26,19,16,23,{'n_estimators': 250}
16,21,12,23,9,{'n_estimators': 260}
23,20,10,23,18,{'n_estimators': 270}
12,19,7,13,13,{'n_estimators': 280}
6,1,3,5,6,{'n_estimators': 290}
27,25,2,21,28,{'n_estimators': 300}
15,14,8,13,16,{'n_estimators': 310}
9,3,4,5,11,{'n_estimators': 320}
21,12,15,16,23,{'n_estimators': 330}
17,10,1,16,17,{'n_estimators': 340}
