rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
109,11,49,112,89,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
148,149,149,149,148,{'max_depth': 2}
149,148,148,148,149,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,143,{'max_depth': 7}
143,143,143,143,144,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,131,{'max_depth': 10}
140,139,140,140,127,{'max_depth': 11}
139,54,139,139,39,{'max_depth': 12}
138,136,138,138,92,{'max_depth': 13}
137,131,137,137,18,{'max_depth': 14}
136,118,134,136,6,{'max_depth': 15}
135,99,135,135,5,{'max_depth': 16}
134,63,136,134,3,{'max_depth': 17}
132,88,126,131,116,{'max_depth': 18}
109,123,133,122,9,{'max_depth': 19}
127,44,131,129,59,{'max_depth': 20}
126,64,114,131,22,{'max_depth': 21}
87,20,78,100,8,{'max_depth': 22}
101,84,43,112,20,{'max_depth': 23}
101,58,17,112,20,{'max_depth': 24}
77,85,113,100,2,{'max_depth': 25}
57,126,76,50,50,{'max_depth': 26}
49,128,54,50,31,{'max_depth': 27}
91,9,71,100,19,{'max_depth': 28}
133,30,86,133,93,{'max_depth': 29}
65,87,88,50,75,{'max_depth': 30}
35,60,64,23,97,{'max_depth': 31}
49,132,29,50,31,{'max_depth': 32}
120,116,57,100,141,{'max_depth': 33}
122,80,37,117,128,{'max_depth': 34}
80,98,20,75,78,{'max_depth': 35}
93,7,63,90,84,{'max_depth': 36}
8,25,60,10,10,{'max_depth': 37}
131,113,100,127,137,{'max_depth': 38}
29,48,12,23,65,{'max_depth': 39}
25,102,74,23,44,{'max_depth': 40}
13,94,16,10,25,{'max_depth': 41}
64,18,14,36,118,{'max_depth': 42}
40,108,24,50,14,{'max_depth': 43}
44,49,117,36,70,{'max_depth': 44}
116,104,23,112,126,{'max_depth': 45}
