rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
237,240,240,237,236,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
239,239,238,240,228,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
236,236,236,236,235,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
234,231,231,231,232,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
226,226,226,226,223,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
225,220,220,222,222,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
219,213,210,217,216,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
218,205,204,203,215,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
194,193,184,187,196,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
158,164,159,163,136,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
144,145,141,145,127,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
127,138,129,130,98,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
123,136,126,121,100,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
106,128,112,98,129,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
129,105,87,79,230,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
148,127,64,81,239,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
237,238,239,237,236,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
240,235,235,239,238,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
228,232,232,232,225,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
227,227,227,227,224,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
220,221,221,220,217,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
213,214,214,216,207,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
217,206,203,206,214,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
189,194,189,190,184,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
163,170,164,166,144,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
143,146,143,148,123,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
128,129,127,131,96,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
111,104,111,114,33,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
105,107,104,106,32,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
103,109,101,101,97,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
83,102,85,33,145,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
148,126,65,81,239,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
235,237,237,235,233,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
230,233,233,234,227,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
233,228,228,228,233,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
221,222,222,221,218,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
206,215,215,213,204,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
210,207,205,207,210,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
195,196,190,195,191,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
173,178,168,174,159,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
151,153,148,153,133,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
132,133,134,136,102,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
113,72,114,117,44,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
80,54,96,97,11,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
