rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
240,236,236,114,239,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
237,235,239,240,240,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
232,239,237,234,232,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
233,231,234,238,234,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
226,226,229,229,226,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
219,220,220,224,218,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
211,213,219,217,211,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
201,201,210,208,201,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
177,185,188,194,171,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
162,162,159,166,159,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
141,145,137,144,138,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
131,136,123,129,131,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
122,130,115,120,113,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
106,126,104,106,110,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
117,91,90,84,188,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
117,95,54,84,188,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
238,240,240,138,233,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
239,238,238,152,238,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
234,232,233,239,235,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
229,227,226,233,229,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
224,221,221,227,223,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
210,214,213,216,210,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
204,205,212,209,204,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
189,189,193,198,183,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
166,167,164,170,162,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
144,146,144,147,140,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
130,129,125,127,117,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
110,87,107,110,93,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
100,74,97,100,72,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
96,88,96,97,89,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
65,90,89,59,88,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
117,96,55,84,188,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
231,237,235,232,231,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
236,233,232,237,237,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
230,228,230,235,230,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
225,222,225,228,225,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
