rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
238,238,237,238,238,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
237,240,235,235,237,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
236,237,239,237,236,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
233,231,231,231,233,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
226,226,226,226,226,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
225,221,220,219,225,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
219,214,213,210,219,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
204,203,186,205,204,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
187,181,155,191,186,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
165,159,145,165,164,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
145,144,132,144,146,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
131,135,122,128,135,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
120,129,115,119,112,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
96,107,105,95,102,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
103,102,91,89,158,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
109,123,57,91,174,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
240,239,236,240,240,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
235,236,238,236,234,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
234,234,233,232,235,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
229,227,227,227,230,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
221,220,221,221,222,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
213,213,214,214,216,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
209,206,204,206,212,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
192,189,163,193,190,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
172,161,148,172,170,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
146,146,136,146,145,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
130,130,123,130,132,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
112,104,106,112,98,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
101,100,96,103,84,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
90,105,95,93,54,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
13,103,92,13,97,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
109,122,56,91,174,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
239,235,240,239,239,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
231,232,232,233,231,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
227,228,228,228,227,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
223,222,222,222,223,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
216,215,215,215,217,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
206,207,207,207,201,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
193,194,176,196,193,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
178,168,156,178,179,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
150,150,142,153,143,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
135,133,128,135,130,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
116,83,110,116,99,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
97,65,85,100,10,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
81,69,36,82,4,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
82,86,55,81,31,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
18,101,87,17,32,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
49,124,82,14,107,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
232,233,234,234,232,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
228,229,229,229,228,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
224,225,223,223,224,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
218,216,216,216,215,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
208,208,208,208,208,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
197,198,190,199,197,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
185,180,167,186,185,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
161,157,151,161,156,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
140,140,137,141,137,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
123,108,118,123,106,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
100,50,101,104,8,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
58,46,33,79,2,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
54,64,32,66,16,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
38,84,54,39,26,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
1,98,69,1,57,"{'C': 0.5, 'gamma': 1024.0, 'kernel': 'rbf'}"
52,121,81,37,113,"{'C': 0.5, 'gamma': 2048.0, 'kernel': 'rbf'}"
230,230,230,230,229,"{'C': 1.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
220,223,224,223,220,"{'C': 1.0, 'gamma': 0.125, 'kernel': 'rbf'}"
214,217,217,217,210,"{'C': 1.0, 'gamma': 0.25, 'kernel': 'rbf'}"
207,209,210,209,205,"{'C': 1.0, 'gamma': 0.5, 'kernel': 'rbf'}"
198,200,201,200,198,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}"
189,187,180,190,189,"{'C': 1.0, 'gamma': 2.0, 'kernel': 'rbf'}"
170,167,162,169,168,"{'C': 1.0, 'gamma': 4.0, 'kernel': 'rbf'}"
148,147,146,150,142,"{'C': 1.0, 'gamma': 8.0, 'kernel': 'rbf'}"
132,131,130,132,128,"{'C': 1.0, 'gamma': 16.0, 'kernel': 'rbf'}"
113,66,111,113,82,"{'C': 1.0, 'gamma': 32.0, 'kernel': 'rbf'}"
