rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
4,1,2,3,5,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
8,6,3,7,9,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
15,16,15,14,15,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
5,12,4,7,3,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
10,8,1,9,10,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
16,9,6,16,16,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
1,11,5,1,2,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
7,4,11,4,11,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
9,7,14,11,4,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
6,14,12,4,8,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
13,2,7,14,12,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
12,3,9,11,13,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
3,5,10,1,7,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
13,13,8,9,14,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
11,10,16,11,6,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
2,15,13,4,1,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
