rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,20,20,20,20,{'n_estimators': 50}
19,19,19,19,19,{'n_estimators': 100}
18,18,18,18,18,{'n_estimators': 150}
17,17,17,17,15,{'n_estimators': 200}
16,16,16,16,2,{'n_estimators': 250}
15,15,15,15,3,{'n_estimators': 300}
14,14,14,14,1,{'n_estimators': 350}
13,8,13,13,6,{'n_estimators': 400}
12,11,12,12,11,{'n_estimators': 450}
11,12,11,11,17,{'n_estimators': 500}
10,10,10,10,8,{'n_estimators': 550}
9,13,9,9,14,{'n_estimators': 600}
8,9,8,8,10,{'n_estimators': 650}
7,7,7,7,9,{'n_estimators': 700}
6,4,6,6,5,{'n_estimators': 750}
5,3,5,5,4,{'n_estimators': 800}
3,5,4,4,7,{'n_estimators': 850}
2,6,2,2,12,{'n_estimators': 900}
4,2,3,3,13,{'n_estimators': 950}
1,1,1,1,16,{'n_estimators': 1000}
